shelfname|interface|portoperationalstate|protocol|info1
BEL5MU|100GE5/0/0|up|up|Enlace 100G DWDM MUN1NA_G0/9/0/3 Linea:15008029 - UPLINK NA
BEL5MU|100GE9/0/0|up|up|Enlace 100G FO BEL1NA_G0/9/0/3 Linea:15008030 - UPLINK NA
BEL5MU|100GE13/1/0|down|down|
BEL5MU|Eth-Trunk1|up|down|LAG PTN HWI 75BEL01_G30/1-G31/1
BEL5MU|Eth-Trunk1.8|*down|down|
BEL5MU|Eth-Trunk1.491|up|up|TIP_TIPWILTELRME(2813959)REFE:678170_Ges.TECO
BEL5MU|Eth-Trunk1.538|up|up|L2LATTEZE(2826463)REFE:720585_Ges.TECO
BEL5MU|Eth-Trunk1.740|*down|down|L2L_L2LORANGEEZE(2811537)REFE:673534_Ges.TECO
BEL5MU|Eth-Trunk1.938|up|up|L2L_ORANGEEZE(2836828)REFE:742372_Ges.Cliente - ELAN_93233_0938
BEL5MU|Eth-Trunk1.940|up|up|L2L_L2LWILTELMORON(2845053)REFE:778968_Ges.TECO
BEL5MU|Eth-Trunk1.1022|up|up|VPN PLATINIUM - PAMI - Ref:716924 - Linea:2824272 - Frontera:75BEL01
BEL5MU|Eth-Trunk1.1109|up|up|Gestion GESTION TX RE RAMOS CENTRO- RAMOS MEJIA-linea:15000485
BEL5MU|Eth-Trunk1.1183|up|up|VPN PLATINUM + L2L + SWISS MEDICAL S.A.- Ref. 251587- BEL1MB 0/5/0/16.1183
BEL5MU|Eth-Trunk1.1216|up|up|GESTION Radio Sistema GUTIERREZ 51G
BEL5MU|Eth-Trunk1.1233|up|up|VPN - GPBA - Ref.:734388 - Linea.:2832094
BEL5MU|Eth-Trunk1.1247|*down|down|TLS - GCBA (TETRA) - Ref:792710 - Acc:1SZ2D01_IDU/1/21/LAN1 (RE)
BEL5MU|Eth-Trunk1.1257|up|up|VPN PLATINIUM - ORSNA - Ref:748632 - Linea:2839551 - Acc:35EZE01 Slot:15 Port:1
