shelfname|interface|portoperationalstate|protocol|info1
BVD3MU|Eth-Trunk10|up|down|LAG 1+1 BVDM01 L 13001266
BVD3MU|Eth-Trunk10.1|up|up|LAG 1+1 HSI BVDM01 - CEN2MB
BVD3MU|Eth-Trunk10.6|up|up|IPTV BVDM01 IGMP-PIM
BVD3MU|Eth-Trunk10.7|up|up|[DHCP] [IPTV] BVDM01 HUA 5600T [GPON]]
BVD3MU|Eth-Trunk10.10|up|up|QINQ BVDM01_01 - CEN2MB
BVD3MU|Eth-Trunk10.11|up|up|QINQ BVDM01_02 - CEN2MB
BVD3MU|Eth-Trunk10.12|up|up|QINQ BVDM01_03 - CEN2MB
BVD3MU|GE0/0/0|down|down|
BVD3MU|GE1/0/0|up|down|ADSL BVD41D - 9700471
BVD3MU|GE1/0/0.1|up|up|HSI BVD41D - CEN2MB
BVD3MU|GE1/0/1|up|down|ADSL BVD51D - 9701249
BVD3MU|GE1/0/1.1|up|up|HSI BVD51D - CEN2MB
BVD3MU|GE1/0/2|up|down|ADSL 22X11C - 13001314
BVD3MU|GE1/0/2.1|up|up|HSI 22X11C - CEN2MB
BVD3MU|GE1/0/3|up|down|NGN + ADSL - ARM CALLE SINSACATE 2419 144G01-LINEA:13001726
BVD3MU|GE1/0/3.1|up|up|HSI 144G01 - CEN2MB
BVD3MU|GE1/0/3.3601|up|up|NGN - ARM CALLE SINSACATE 2419 144G01-LINEA:13001726
BVD3MU|GE1/0/4|up|down|NGN + ADSL - ARM. ROSARIO -SANTA FE 2390- 148G01 - Linea 13001727
BVD3MU|GE1/0/4.1|up|up|HSI 148G01 - COE2MB
BVD3MU|GE1/0/4.3601|up|up|NGN - ARM. ROSARIO -SANTA FE 2390- 148G01 - Linea 13001727
BVD3MU|GE1/0/5|down|down|
BVD3MU|GE1/0/6|up|down|ADSL BVDB1D - 13004128
BVD3MU|GE1/0/6.1|up|up|HSI BVDB1D - CEN2MB
BVD3MU|GE1/0/7|up|down|ADSL BVDA1D - 13004127
BVD3MU|GE1/0/7.1|up|up|HSI BVDA1D - CEN2MB
BVD3MU|GE1/0/8|up|down|ADSL BVD91D - 13004126
BVD3MU|GE1/0/8.1|up|up|HSI BVD91D - CEN2MB
BVD3MU|GE1/0/9|up|down|ADSL BVD81D - 13004125
BVD3MU|GE1/0/9.1|up|up|HSI BVD81D - CEN2MB
BVD3MU|GE1/0/10|up|up|CONEXION 2/2 BVDM01 HSI
BVD3MU|GE1/0/11|up|down|ACCESO 22M11C  - LINEA 13001313
BVD3MU|GE1/0/11.1|up|up|HSI 22M11C  - CEN2MB
BVD3MU|GE1/0/12|up|down|ACCESO 2HM11C  - LINEA 13001571
BVD3MU|GE1/0/12.1|up|up|HSI 2HM11C  - CEN2MB
BVD3MU|GE1/0/13|up|down|ACCESO 22Q11C  - LINEA 13001312
BVD3MU|GE1/0/13.1|up|up|HSI 22Q11C  - CEN2MB
BVD3MU|GE1/0/14|up|down|ACCESO 22Z11C  - LINEA 13001311
BVD3MU|GE1/0/14.1|up|up|HSI 22Z11C  - CEN2MB
BVD3MU|GE1/0/15|up|down|ACCESO 20U11C  - LINEA 13001298
BVD3MU|GE1/0/15.1|up|up|HSI 20U11C  - CEN2MB
BVD3MU|GE1/0/16|up|down|ACCESO 2HK11C  - LINEA 13001570
BVD3MU|GE1/0/16.1|up|up|HSI 2HK11C  - CEN2MB
BVD3MU|GE1/0/17|up|down|ACCESO 22V11C  - LINEA 13001315
BVD3MU|GE1/0/17.1|up|up|HSI 22V11C  - CEN2MB
BVD3MU|GE1/0/18|up|down|ACCESO 2HN11C  - LINEA 13001580
BVD3MU|GE1/0/18.1|up|up|HSI 2HN11C  - CEN2MB
BVD3MU|GE1/0/19|up|down|ACCESO B8311C  - LINEA 13000430
BVD3MU|GE1/0/19.1|up|up|HSI B8311C  - CEN2MB
BVD3MU|GE1/0/20|up|down|ACCESO B8111C  - LINEA 13000429
BVD3MU|GE1/0/20.1|up|up|HSI B8111C  - CEN2MB
BVD3MU|GE1/0/21|up|down|ACCESO B8211C  - LINEA 13000759
BVD3MU|GE1/0/21.1|up|up|HSI B8211C  - CEN2MB
BVD3MU|GE1/0/22|down|down|
BVD3MU|GE1/0/23|up|down|ACCESO 21P11C  - LINEA 13001328
BVD3MU|GE1/0/23.1|up|up|HSI 21P11C  - CEN2MB
BVD3MU|GE1/1/0|up|down|ACCESO 2H811C - LINEA 13001577
BVD3MU|GE1/1/0.1|up|up|HSI 2H811C - CEN2MB
BVD3MU|GE1/1/1|up|down|ADSL BVDC1D - 13004384
BVD3MU|GE1/1/1.1|up|up|HSI BVDC1D - CEN2MB
BVD3MU|GE1/1/2|up|down|ADSL BVDD1D - 13004385
BVD3MU|GE1/1/2.1|up|up|HSI BVDD1D - CEN2MB
BVD3MU|GE1/1/3|up|down|ADSL BVDE1D - 13004386
BVD3MU|GE1/1/3.1|up|up|HSI BVDE1D - COE2MB
BVD3MU|GE1/1/4|up|down|ADSL BVDF1D - 13004387
BVD3MU|GE1/1/4.1|up|up|HSI BVDF1D - CEN2MB
BVD3MU|GE1/1/5|up|down|INTEGRA - SANATORIO DEL SALVADOR - REF:748551 LIN:2839482 - TRZ43209 #4007 / 133-134
BVD3MU|GE1/1/5.2|up|up|INTEGRA - SANATORIO DEL SALVADOR - REF:748551 LIN:2839482 - TRZ43209 #4007 / 133-134
BVD3MU|GE1/1/6|up|down|VDSL Cordoba BVD21D  HUA 5100 - L.9701277
BVD3MU|GE1/1/6.1|up|up|Gestion BVD21D - COE2MB
BVD3MU|GE1/1/7|*down|down|ACCESO BVD21D - LINEA 9702299 ***servicios volcados a BVD71D por baja ***
BVD3MU|GE1/1/8|down|down|ACCESO 2HL11C - LINEA 13001581
BVD3MU|GE1/1/8.1|down|down|HSI 2HL11C - COE2MB
BVD3MU|GE1/1/9|up|down|ACCESO 2H911C - LINEA 13001578
BVD3MU|GE1/1/9.1|up|up|HSI 2H911C - COE2MB
BVD3MU|GE1/1/10|up|down|ACCESO 2H711C - LINEA 13001576
BVD3MU|GE1/1/10.1|up|up|HSI 2H711C - COE2MB
BVD3MU|GE1/1/11|up|down|ACCESO 2H611C - LINEA 13001575
BVD3MU|GE1/1/11.1|up|up|HSI 2H611C - COE2MB
BVD3MU|GE1/1/12|up|down|ACCESO 2HO11C - LINEA 13001573
BVD3MU|GE1/1/12.1|up|up|HSI 2HO11C - COE2MB
BVD3MU|GE1/1/13|down|down|
BVD3MU|GE1/1/14|up|up|CONEXION 1/2 BVDM01 HSI
BVD3MU|GE1/1/15|up|down|TLS - FUNDACION PARA EL PROGRESO DELA UNIVERSIDAD CATOLICA DE CBA - Ref:876798 - Lin:2856569
BVD3MU|GE1/1/15.2|up|up|TLS - FUNDACION PARA EL PROGRESO DELA UNIVERSIDAD CATOLICA DE CBA - Ref:876797 - Lin:2856569
BVD3MU|GE1/1/15.4000|up|up|Gestion TLS - FUNDACION PARA EL PROGRESO DELA UNIVERSIDAD CATOLICA DE CBA - Ref:876797 - Lin:2856569
BVD3MU|GE1/1/16|up|down|### INTEGRA - TARJETA NARANJA S.A. - REFERENCIA: 878022 LINEA: 2857350 TRZ: XXXXX ###
BVD3MU|GE1/1/16.16|up|up|### INTEGRA - TARJETA NARANJA S.A. - REFERENCIA: 878022 LINEA: 2857350 TRZ: XXXXX  ###
BVD3MU|GE1/1/17|up|down|VPN PLATINUM - UNIV CATOLICA CORDOBA - REF: 613042 - LINEA: 2782958 - ACC: 1/1/17
BVD3MU|GE1/1/17.2|up|up|VPN PLATINUM - UNIV CATOLICA CORDOBA - REF: 613042 - LINEA: 2782958 - ACC: 1/1/17
BVD3MU|GE1/1/17.4|up|up|INTEGRA - UNIVERSIDAD CATOLICA DE CORDOBA - REF: 613043 - LINEA: 2782965 - ACC: 1/1/17 GESTION 64K
BVD3MU|GE1/1/17.12|up|up|INTEGRA - UNIVERSIDAD CATOLICA DE CORDOBA - REF: 613043 - LINEA: 2782965 - ACC: 1/1/17
BVD3MU|GE1/1/18|up|down|INTEGRA - MOLFINO HNOS SOCIEDAD ANONIMA - REF: 670147 - LINEA: 2808966 - ACC: 1/1/18
BVD3MU|GE1/1/18.24|up|up|INTEGRA - MOLFINO HNOS SOCIEDAD ANONIMA - REF: 670147 - LINEA: 2808966 - ACC: 1/1/18
BVD3MU|GE1/1/19|down|down|INTEGRA - INTERTRON S.A. - REF: 186062 - LINEA: 2598192 - ACC: 1/1/19
BVD3MU|GE1/1/19.23|down|down|INTEGRA - INTERTRON S.A. - REF: 186062 - LINEA: 2598192 - ACC: 1/1/19
BVD3MU|GE1/1/20|up|down|INTEGRA - EMPRENDIMIENTOS S.R.L. - REF: 657722 - LINEA: 2807520 - ACC: 1/1/20
BVD3MU|GE1/1/20.21|up|up|INTEGRA - EMPRENDIMIENTOS S.R.L. - REF: 657722 - LINEA: 2807520 - ACC: 1/1/20
BVD3MU|GE1/1/21|down|down|
BVD3MU|GE1/1/22|down|down|
BVD3MU|GE1/1/23|down|down|
BVD3MU|GE2/0/0|down|down|
BVD3MU|GE2/0/1|up|down|VPN PLATINUM - BANCO MACRO SA - REF: 943288 - LINEA: 2869028 - ACC: BVD3MU 2/0/1
BVD3MU|GE2/0/1.2|up|up|GESTION - BANCO MACRO SA - REF: 943288 - LINEA: 2869028 - ACC: BVD3MU 2/0/1
BVD3MU|GE2/0/1.3|up|up|VPN PLATINUM - BANCO MACRO SA - REF: 943288 - LINEA: 2869028 - ACC: BVD3MU 2/0/1
BVD3MU|GE2/0/2|down|down|
BVD3MU|GE2/0/3|down|down|
BVD3MU|GE2/0/4|down|down|
BVD3MU|GE2/0/5|down|down|
BVD3MU|GE2/0/6|down|down|
BVD3MU|GE2/0/7|down|down|
BVD3MU|GE2/0/8|down|down|
BVD3MU|GE2/0/9|down|down|
BVD3MU|GE2/0/10|down|down|
BVD3MU|GE2/0/11|down|down|
BVD3MU|GE2/0/12|down|down|
BVD3MU|GE2/0/13|down|down|
BVD3MU|GE2/0/14|down|down|
BVD3MU|GE2/0/15|down|down|
BVD3MU|GE2/0/16|down|down|
BVD3MU|GE2/0/17|down|down|
BVD3MU|GE2/0/18|down|down|
BVD3MU|GE2/0/19|down|down|
BVD3MU|GE2/0/20|down|down|
BVD3MU|GE2/0/21|down|down|
BVD3MU|GE2/0/22|down|down|
BVD3MU|GE2/0/23|down|down|
BVD3MU|GE2/1/0|down|down|
BVD3MU|GE2/1/1|down|down|
BVD3MU|GE2/1/2|down|down|
BVD3MU|GE2/1/3|down|down|
BVD3MU|GE2/1/4|down|down|
BVD3MU|GE2/1/5|down|down|
BVD3MU|GE2/1/6|down|down|
BVD3MU|GE2/1/7|down|down|
BVD3MU|GE2/1/8|down|down|
BVD3MU|GE2/1/9|down|down|
BVD3MU|GE2/1/10|down|down|
BVD3MU|GE2/1/11|down|down|
BVD3MU|GE2/1/12|down|down|
BVD3MU|GE2/1/13|down|down|
BVD3MU|GE2/1/14|down|down|
BVD3MU|GE2/1/15|down|down|
BVD3MU|GE2/1/16|down|down|
BVD3MU|GE2/1/17|down|down|
BVD3MU|GE2/1/18|down|down|
BVD3MU|GE2/1/19|down|down|
BVD3MU|GE2/1/20|down|down|
BVD3MU|GE2/1/21|down|down|
BVD3MU|GE2/1/22|down|down|
BVD3MU|GE2/1/23|down|down|
BVD3MU|GE3/0/0(10G)|up|up|Enlace 10G FO CEN2MB_G0/2/0/12 Linea: 13004055 - UPLINK MSBNG
BVD3MU|GE3/0/1(10G)|up|up|Enlace 10G FO CEN2MB_G0/2/0/1 Linea:13007087 - UPLINK MSBNG
BVD3MU|GE3/1/0|up|down|ACCESO 2HP11C - LINEA 13001572
BVD3MU|GE3/1/0.1|up|up|HSI 2HP11C - CEN2MB
BVD3MU|GE3/1/1|up|down|ACCESO 2HB11C - LINEA 13001569
BVD3MU|GE3/1/1.1|up|up|HSI 2HB11C - CEN2MB
BVD3MU|GE3/1/2|up|down|ACCESO 2HA11C - LINEA 13001568
BVD3MU|GE3/1/2.1|up|up|HSI 2HA11C - CEN2MB
BVD3MU|GE3/1/3|up|down|ACCESO 1ZIC01 - LINEA 13001327
BVD3MU|GE3/1/3.1|up|up|HSI 1ZIC01 - CEN2MB
BVD3MU|GE3/1/4|up|down|ACCESO 21I11C - LINEA 13001299
BVD3MU|GE3/1/4.1|up|up|HSI 21I11C - CEN2MB
BVD3MU|GE3/1/5|up|down|ACCESO 1ZZ11C - LINEA 13001297
BVD3MU|GE3/1/5.1|up|up|HSI 1ZZ11C - CEN2MB
BVD3MU|GE3/1/6|up|down|ACCESO ADSL A 1ZO11C - Linea 13001296
BVD3MU|GE3/1/6.1|up|up|HSI 1ZO11C - CEN2MB
BVD3MU|GE3/1/7|up|down|ACCESO ADSL A 1ZM11C - Linea 13001295
BVD3MU|GE3/1/7.1|up|up|HSI 1ZM11C - CEN2MB
BVD3MU|GE3/1/8|up|down|ACCESO ADSL A XDG11C - Linea 13000769
BVD3MU|GE3/1/8.1|up|up|HSI XDG11C - CEN2MB
BVD3MU|GE3/1/9|up|down|ACCESO ADSL A XDF11C - Linea 13000768
BVD3MU|GE3/1/9.1|up|up|HSI XDF11C - CEN2MB
BVD3MU|GE3/1/10|up|down|ACCESO ADSL A XDE11C - Linea 13000767
BVD3MU|GE3/1/10.1|up|up|HSI XDE11C - CEN2MB
BVD3MU|GE3/1/11|up|down|ACCESO ADSL A B8711C - Linea 13000602
BVD3MU|GE3/1/11.1|up|up|HSI B8711C - CEN2MB
BVD3MU|GE3/1/12|up|down|ACCESO ADSL A B8511C - Linea 13000432
BVD3MU|GE3/1/12.1|up|up|HSI B8511C - CEN2MB
BVD3MU|GE3/1/13|up|down|ACCESO ADSL A B8411C - Linea 13000431
BVD3MU|GE3/1/13.1|up|up|HSI B8411C - CEN2MB
BVD3MU|GE3/1/14|up|down|ACCESO HSI + G. BVD71D - LINEA 13000107
BVD3MU|GE3/1/14.1|up|up|HSI BVD71D - CEN2MB
BVD3MU|GE3/1/14.3618|up|up|VPN Branch Office - HSBC - Ref:632312 Lin:2788418
BVD3MU|GE3/1/14.3620|up|up|ACCESO CENTRAL VIRTUAL - FARMACIAS LIDER. - Ref:719391 - Acc:BVD71D 17 5
BVD3MU|GE3/1/14.3638|up|up|VPN Head Quarter -Farnacia Lider - Ref:570799 Lin:2767262 Acc:BV
BVD3MU|GE3/1/14.3648|*down|down|VPN - BANCO MACRO - REF: 264337 - LINEA: 2720686 // migro a ref. 943288 -  ACC:BVD71D 16/1
BVD3MU|GE3/1/14.3649|up|up|VPN - GIRE S.A. - REF: 232388 - LINEA: 2708058 -  ACC:BVD71D 16/2
BVD3MU|GE3/1/14.3650|up|up|VPN Head Quarter - MunicipalidadCba CPC Pueyrredon - Ref 647341
BVD3MU|GE3/1/14.3652|up|up|PRESURIZACION BOULEVARD - REF:943187 - ACC:BVD71D 0/16/5
BVD3MU|GE3/1/14.3653|up|up|VPN - JUMBO RETAIL ARGENTINA SOCIEDA - REF: 85226 - LINEA: 2598739 -  ACC:BVD71D 16/6
BVD3MU|GE3/1/14.3656|up|up|VPN - BANCO DE LA PROVINCIA DE CORDOBA - REF:171003 - LINEA:2704832 - ACC:BVD71D 16/9-10
BVD3MU|GE3/1/14.3660|up|down|VPN Head Quarter - PODER JUDICIAL GOB.DE LA PROV. DE CORDOBA - R
BVD3MU|GE3/1/14.3664|up|up|HYPERWAY HEAD QUARTER - BANCO DE LA PROVINCIA DE CORDOBA - Ref:2
BVD3MU|GE3/1/14.3668|up|up|VPN Head Quarter - Bco Pcia Cba - Ref:591077 Lin:2769346  ACC:BVD71D 16/21
BVD3MU|GE3/1/14.3669|up|up|VPN - MACRO - REF: :290219 - LINEA: 2732962 -  ACC:BVD71D 16/22
BVD3MU|GE3/1/14.3676|up|up|VPN - MinGobCba - REF: 87744 - LINEA: 2501725 -  ACC:BVD71D 16/29-30
BVD3MU|GE3/1/14.3808|up|up|Integra Light U.A.T.R.E ref-631675 Lin:2788919 BVD71D_1_17
BVD3MU|GE3/1/14.3812|up|up|IntegraLight - FARMACIAS LIDER S.A. - Ref:635300 - Lin:2790311 A
BVD3MU|GE3/1/14.3818|up|up|INTEGRA - CULLIGAN ARGENTINA S.A. - REF: 647603 - LINEA: 2797254 - ACC: BVD71D 1/17/11
BVD3MU|GE3/1/14.3822|up|up|INTEGRA - MINISTERIO DE EDUCACION - REF: 654263 - LINEA: 2800569 - ACC: BVD71D 1/17/15-16
BVD3MU|GE3/1/14.3840|*down|down|GESTION  VPN - BANCO MACRO - REF: 264337 - LINEA: 2720686 // migro a ref. 943288 -  ACC:BVD71D 16/1
BVD3MU|GE3/1/14.3844|up|up|PRESURIZACION BOULEVARD - REF:943187 - ACC:BVD71D 0/16/5
BVD3MU|GE3/1/14.3845|up|up|GSTION- VPN - JUMBO RETAIL ARGENTINA SOCIEDA - REF: 85226 - LINEA: 2598739 -  ACC:BVD71D 16/6
BVD3MU|GE3/1/14.3850|up|up|IntegraLight - CONIFERAL S.A.C.I.F. - Ref:587774 - Lin:2768519 A ACC:BVD71D 16/11-12
BVD3MU|GE3/1/14.3854|up|up|INTEGRA - DECADE S.A. - REF: 790366 - LINEA: 2850993 - ACC: BVD71D 1/16/15-16
BVD3MU|GE3/1/14.3861|up|up|VPN - MACRO - REF:290219 - LINEA: 2732962 -  ACC:BVD71D 16/22
BVD3MU|GE3/1/14.3862|up|up|Integra Light 2M - BLANCH BENJAMIN - Ref:714785 Lin:2823893 Acc: ACC:BVD71D 16/23-24
BVD3MU|GE3/1/14.3864|up|up|Integra Light 2M_INVEL LATINOAMERICANA _Ref:304245 Lin:2736519  ACC:BVD71D 16/25-26
