shelfname|interface|portoperationalstate|protocol|info1
CCP2MU|100GE3/0/0|up|up|Enlace 100G DWDM COE1NA_G0/14/0/5 Linea:13007024 - UPLINK NA
CCP2MU|100GE6/0/0|up|up|Enlace 100G DWDM BUA1NA_G0/7/0/1 Linea:13007025 - UPLINK NA
CCP2MU|Eth-Trunk1|down|down|LAG CCP1MB_BE1000
CCP2MU|Eth-Trunk2|up|down|LAG SDH-NG 35CNP01- GE1/1/23 - GE8/1/21
CCP2MU|Eth-Trunk2.1036|up|up|GESTION PTN ANDALGALA  CUESTA DE BELEN  ACCESO de ELAN_DCN_GESTION_ACCESO (Linea 70000988)
CCP2MU|Eth-Trunk2.1038|up|up|Gestion ATN910I TINOGASTA - TIG01MS - Linea 70001091 - DWTIG01 19/2
CCP2MU|Eth-Trunk2.1039|up|up|Gestion ATN910I BELEN REPETIDORA - BLR01MS - Linea 70001092 - DWBLR01 19/2
CCP2MU|Eth-Trunk2.1407|*down|down|TIP_TIPCOOPTELBELAND(5645612)REFE:333046_Ges.TECO
CCP2MU|Eth-Trunk2.30005|up|down|
CCP2MU|Eth-Trunk2.12041000|up|down|
CCP2MU|Eth-Trunk2.15020003|up|up|INTEGRA - VERGARA OSCAR RENE - REF: 783630 - LINEA:  - ACC: CCP2MU  Eth-Trunk 2.15020003
CCP2MU|Eth-Trunk2.15040006|up|up|INTEGRA - YACIMIENTOS MINEROS AGUA DEDIONISIO - REF: 712344 - LINEA: 2819579 - ACC: CCP2MU  Eth-Trunk 2.15040006
CCP2MU|Eth-Trunk2.36180002|*down|down|[SIGN] TIGG01 HUA 5600_T [NGN]
CCP2MU|Eth-Trunk2.36180003|*down|down|[RTP] TIGG01 HUA 5600_T [NGN]
CCP2MU|Eth-Trunk2.36180004|*down|down|[GESTION] TIGG01 HUA 5600_T [NGN]
CCP2MU|Eth-Trunk3|down|down|ENTREAYUDA CCP1MA_ETH-2 - NO UTILIZAR
CCP2MU|Eth-Trunk3.102911|down|down|
CCP2MU|Eth-Trunk4|up|down|LAG PTN ALU 18CNP01_G17/1-G18/1
CCP2MU|Eth-Trunk4.1036|up|up|Enlace JUA1MU_G0/5/0.1036 Linea:13002285
CCP2MU|Eth-Trunk4.1037|up|up|Enlace JUA1MU_G0/6/0.1037 Linea:13002286
CCP2MU|Eth-Trunk4.1210|up|up|TWAMP 5RAMA01
CCP2MU|Eth-Trunk4.1211|up|up|TWAMP 5RRSA01
CCP2MU|Eth-Trunk4.1238|up|up|TWAMP 5RLKO01
CCP2MU|Eth-Trunk4.1239|up|up|TWAMP 5RJUA01
CCP2MU|Eth-Trunk4.1240|up|up|TWAMP 5RLKO01
CCP2MU|Eth-Trunk4.1241|up|up|TWAMP 5RMNT01
CCP2MU|Eth-Trunk4.1245|up|up|TWAMP 5REMW01
CCP2MU|Eth-Trunk4.1246|up|up|TWAMP 5RTDV01
