shelfname|interface|portoperationalstate|protocol|info1
COL2MU|Eth-Trunk1|down|down|[LAG 10+10] EQUIPO-OLT COLN01  HUAWEI 5800 [GPON] L:11005692
COL2MU|Eth-Trunk1.6|down|down|[IPTV] COLN01 HUAWEI 5800 [GPON] L:11005692 IGMP-PIM
COL2MU|Eth-Trunk1.7|down|down|[DHCP] [IPTV] COLN01 HUAWEI 5800 [GPON] L:11005692
COL2MU|Eth-Trunk1.30|down|down|[DATOS] COLN01  HUAWEI 5800 [GPON] L:11005692
COL2MU|Eth-Trunk1.2101|down|down|[GESTION] COLN01  HUAWEI 5800 [GPON] L:11005692
COL2MU|Eth-Trunk1.2901|down|down|[TOIP] COLN01 HUAWEI 5800 [GPON]
COL2MU|GE0/0/0|down|down|
COL2MU|GE1/0/0|up|down|[ACCESO HSI][FI] COL51D L11003329
COL2MU|GE1/0/0.2101|up|up|[GESTION] COL51D ZTE 9210 [ADS2]
COL2MU|GE1/0/0.3101|up|up|[TOIP] COL51D ZTE 9210 [ADS2]
COL2MU|GE1/0/0.4101|up|up|[DATOS] COL51D ZTE 9210 [ADS2][L3]
COL2MU|GE1/0/1|up|down|[ACCESO HSI][FI] COLM01 11001795
COL2MU|GE1/0/1.2101|up|up|[GESTION] COLM01 ALU 7302 [VDS2]
COL2MU|GE1/0/1.3101|up|up|[TOIP] COLM01 ALU 7302 [VDS2]
COL2MU|GE1/0/1.4101|up|up|[DATOS] COLM01 ALU 7302 [VDS2][L3]
COL2MU|GE1/0/2|up|down|[ACCESO HSI][FI] D2F11C L11004495
COL2MU|GE1/0/2.2101|up|up|[GESTION] D2F11C ALU 7330 [VDS2]
COL2MU|GE1/0/2.3101|up|up|[TOIP] D2F11C ALU 7330 [VDS2]
COL2MU|GE1/0/2.4101|up|up|[DATOS] D2F11C ALU 7330 [VDS2][L3]
COL2MU|GE1/0/3|up|down|[ACCESO HSI][FI] D2D11C L11004493
COL2MU|GE1/0/3.2101|up|up|[GESTION] D2D11C ALU 7330 [VDS2]
COL2MU|GE1/0/3.3101|up|up|[TOIP] D2D11C ALU 7330 [VDS2]
COL2MU|GE1/0/3.4101|up|up|[DATOS] D2D11C ALU 7330 [VDS2][L3]
COL2MU|GE1/0/4|up|down|[ACCESO HSI][FI] D1611C L11004497
COL2MU|GE1/0/4.2101|up|up|[GESTION] D1611C ALU 7330 [VDS2]
COL2MU|GE1/0/4.3101|up|up|[TOIP] D1611C ALU 7330 [VDS2]
COL2MU|GE1/0/4.4101|up|up|[DATOS] D1611C ALU 7330 [VDS2][L3]
COL2MU|GE1/0/5|up|down|[ACCESO HSI][FI] D1Z11C L11004491
COL2MU|GE1/0/5.2101|up|up|[GESTION] D1Z11C ALU 7330 [VDS2]
COL2MU|GE1/0/5.3101|up|up|[TOIP] D1Z11C ALU 7330 [VDS2]
COL2MU|GE1/0/5.4101|up|up|[DATOS] D1Z11C ALU 7330 [VDS2][L3]
COL2MU|GE1/0/6|up|down|[ACCESO HSI][FI] D2E11C L11004494
