shelfname|interface|portoperationalstate|protocol|info1
COS3MU|100GE2/1/0|up|up|Enlace 100G DWDM BEL1NA_G0/19/0/4 Linea:15007836 - UPLINK NA
COS3MU|100GE5/1/0|up|up|Enlace 100G DWDM MUN1NA_G0/19/0/4 Linea:15007837 - UPLINK NA
COS3MU|Eth-Trunk11|down|down|
COS3MU|GE0/0/0|down|down|
COS3MU|GE1/0/0(10G)|*down|down|
COS3MU|GE1/0/1(10G)|up|down|ACCESO COSO01- LINEA 15006221
COS3MU|GE1/0/1.6(10G)|up|up|IPTV COSO01 IGMP-PIM
COS3MU|GE1/0/1.7(10G)|up|up|[DHCP] [IPTV] COSO01 HUA 5600T [GPON]
COS3MU|GE1/0/1.10(10G)|up|up|[DATOS] COSO01 10  HUA 5600_T [GPON][L2]
COS3MU|GE1/0/1.11(10G)|up|up|[DATOS] COSO01 11  HUA 5600_T [GPON][L2]
COS3MU|GE1/0/1.12(10G)|up|up|[DATOS] COSO01 12  HUA 5600_T [GPON][L2]
COS3MU|GE1/0/1.34(10G)|up|up|VDSLCORP COSO01 - CLI1MB
COS3MU|GE1/0/1.2101(10G)|up|up|[GESTION] COSO01  HUA 5600_T [GPON]
COS3MU|GE1/0/1.3101(10G)|up|up|[TOIP] COSO01 HUA 5600_T [GPON]
COS3MU|GE1/0/1.4101(10G)|up|up|[DATOS] COSO01  HUA 5600_T [GPON]
COS3MU|GE1/1/0|up|down|NGN - UA5000 COSI01 CABA L15005337
COS3MU|GE1/1/0.3|up|up|SIG+RTP NGN - UA5000 COSI01 CABA L15005337
COS3MU|GE1/1/0.4|up|up|IPMB NGN - UA5000 COSI01 CABA L15005337
COS3MU|GE1/1/0.5|up|up|IPMB NGN - UA5000 COSI01 CABA L15005337
COS3MU|GE1/1/1|*down|down|
COS3MU|GE1/1/2|up|down|NODOB eNODOB BARRIO_PARQUE CPU401 (448609) (448653) (448725)
COS3MU|GE1/1/2.1000|up|up|eNODOB BARRIO_PARQUE CPU401 (1) (448609) - S1
COS3MU|GE1/1/2.1001|up|up|eNODOB BARRIO_PARQUE CPU401 (2) (448609) - S1MME
COS3MU|GE1/1/2.1002|up|up|eNODOB eNODOB BARRIO_PARQUE CPU401 (3) (448609) - GOMRAN
COS3MU|GE1/1/2.1003|up|up|NODOB BARRIO_PARQUE CPU401 (448653) - 3G
COS3MU|GE1/1/2.1004|up|up|NODOB BARRIO_PARQUE CPU401 (448725) - 2G
COS3MU|GE1/1/3|up|down|NODOB eNODOB ALCORTA CPU070 (434821) NODOB (436858) (436796)
COS3MU|GE1/1/3.5|*down|down|INTEGRA - INTEGRA - CFI - Ref 748689 - Lin:2708603 - Secundario
COS3MU|GE1/1/3.1057|up|up|eNODOB - ALCORTA -  CPU070 (1) (434821) - S1
COS3MU|GE1/1/3.1058|up|up|eNODOB - ALCORTA - CPU070 (2) (434821) - S1MME
COS3MU|GE1/1/3.1059|up|up|eNODOB - ALCORTA -  CPU070 (3) (434821) - GOMRAN
COS3MU|GE1/1/3.1060|up|up|NODOB - ALCORTA -  CPU070 (613736) (436796) - 3G
COS3MU|GE1/1/3.1061|up|up|NODOB - ALCORTA -  CPU070 (613852) (436858) - 2G
COS3MU|GE1/1/4|up|down|eNODOB  HOTEL_ALVEAR CI_008
COS3MU|GE1/1/4.1000|up|up|eNODOB HOTEL_ALVEAR CI_008 (1) 507458 - S1
COS3MU|GE1/1/4.1001|up|up|eNODOB HOTEL_ALVEAR CI_008 (2) 507458 - S1MME
COS3MU|GE1/1/4.1002|up|up|eNODOB HOTEL_ALVEAR CI_008 (3) 507458 - GOMRAN
COS3MU|GE1/1/4.1003|up|up|eNODOB HOTEL_ALVEAR CI_008 (1) 507458 - 3G
COS3MU|GE1/1/4.1004|up|up|eNODOB HOTEL_ALVEAR CI_008 (1) 507675 - 2G
COS3MU|GE1/1/5|up|down|VPN - AFIP - Ref:294356 - Linea:2733410
COS3MU|GE1/1/5.3|up|up|VPN - AFIP - REF: 294356 - LINEA: 2733410 - ACC: 1/1/5
COS3MU|GE1/1/6|up|down|NODOB eNODOB ZOOLOGICO CPU080 (422328) NODOB (436463) (436572)
COS3MU|GE1/1/6.1012|up|up|eNODO_B - ZOOLOGICO - (5683821) (913425) - S1
COS3MU|GE1/1/6.1013|up|up|eNODO_B - ZOOLOGICO - (5683822) (913425) - S1MME
COS3MU|GE1/1/6.1014|up|up|eNODO_B - ZOOLOGICO - (5683823) (913425) - GOMRAN
COS3MU|GE1/1/6.1062|up|up|NODOB - ZOOLOGICO - CPU080 (613500) (436463) - 3G
COS3MU|GE1/1/6.1063|up|up|NODOB - ZOOLOGICO - CPU080 (613524) (436572) - 2G
COS3MU|GE1/1/7|up|down|VPN - CERVECERIA Y MALTERIA QUILMES - Ref: 718883 - Lin: 2825377
COS3MU|GE1/1/7.14|up|up|description VPN - CERVECERIA Y MALTERIA QUILMES - Ref: 718883 - Lin: 2825377
COS3MU|GE1/1/8|up|down|NODOB eNODOB MARANGONI CPU084 (432079) NODOB (435246) (435245)
COS3MU|GE1/1/8.1064|up|up|eNODOB - MARANGONI - CPU084 (1) (432079) - S1
COS3MU|GE1/1/8.1065|up|up|eNODOB - MARANGONI - CPU084 (1) (432079) - S1MME
COS3MU|GE1/1/8.1066|up|up|eNODOB - MARANGONI - CPU084 (1) (432079) - GOMRAN
COS3MU|GE1/1/8.1067|up|up|NODOB - MARANGONI - CPU084 (613740) (435246) - 3G
COS3MU|GE1/1/8.1068|up|up|NODOB - MARANGONI - CPU084 (613740) (435246) - 2G
COS3MU|GE1/1/9|down|down|
COS3MU|GE1/1/10|up|down|VPN+TIP - TELECOM PERSONAL - Ref-Lin (433044-5691877)(433034-5691919)(433024-5691921)-AccCLI1MB 0/1/0/1
COS3MU|GE1/1/10.2|up|up|TIP - TELECOM PERSONAL CYCSA - REF: 433024 - LINEA: 5691921 - ACC: 1/1/10
COS3MU|GE1/1/10.3|up|up|VPN - TELECOM PERSONAL - Ref:_433044 - Acc: CLI1MB 0/1/0/1.30003
COS3MU|GE1/1/10.7|up|up|VPN - TELECOM PERSONAL CYCSA - REF: 433034 - LINEA: 5691919 - ACC: 1/1/10
COS3MU|GE1/1/10.1000|up|up|eNODOB - DAS_PASEO_ALCORTA - CI_508 - (1) (763623) - S1
COS3MU|GE1/1/10.1001|up|up|eNODOB - DAS_PASEO_ALCORTA - CI_508 - (2) (763623) - S1MME
COS3MU|GE1/1/10.2002|up|up|eNODOB - DAS_PASEO_ALCORTA - CI_508 - (3) (763623) - GOMRAN
COS3MU|GE1/1/10.2003|up|up|NODOB - DAS_PASEO_ALCORTA - CI_508 - (1) (763622) - 3G
COS3MU|GE1/1/11|up|down|NGN - UAdescription NGN - UA5000 COSG01 COSTANERA SALA DE CONMUTACION NEAX L15004686
COS3MU|GE1/1/11.3|up|up|[RTP][SIGN] COSG01 HUA 5000 [NGN]
COS3MU|GE1/1/11.4|up|up|[GESTION][IPMB] COSG01 HUA 5000 [NGN]
COS3MU|GE1/1/11.5|up|up|[GESTION][PVM] COSG01 HUA 5000 [NGN]
COS3MU|GE1/1/12|up|down|ADSL C8Q11C - 15000681
COS3MU|GE1/1/12.2101|up|up|[GESTION] C8Q11C ECI HIFS [VDS2]
COS3MU|GE1/1/12.3101|up|up|[TOIP] C8Q11C ECI HIFS [VDS2]
COS3MU|GE1/1/12.4101|up|up|[DATOS] C8Q11C ECI HIFS [VDS2][L2]
COS3MU|GE1/1/13|*down|down|INTEGRA - LOGISTICAL S.A. - Ref 674452 - ACC: RET1MB 0/1/0/2.3
COS3MU|GE1/1/13.3|down|down|INTEGRA - LOGISTICAL S.A. - Ref 674452 - ACC: RET1MB 0/1/0/2.3
COS3MU|GE1/1/14|up|down|VPN Platinum - ICBC - Ref:664359 - Lin:2806290
COS3MU|GE1/1/14.6|up|up|VPN Platinum - ICBC - Ref:664359 - Lin:2806290
COS3MU|GE1/1/14.10|up|up|VPN Platinum - ICBC - Ref:664359 - Lin:2806290
COS3MU|GE1/1/15|up|down|[ACCESO HSI][VI] 0CA11C 15001147
