shelfname|interface|portoperationalstate|protocol|info1
CTE3MU|100GE2/1/0|up|up|Enlace 100G DWDM RES1NA_G0/18/0/4 Linea:11004623 - UPLINK NA
CTE3MU|100GE6/1/0|up|up|Enlace 100G DWDM CTE1NA_G0/3/0/0 Linea:11004624 - UPLINK NA
CTE3MU|Eth-Trunk1|up|down|LAG 75CRR01_G6/1-7/2
CTE3MU|Eth-Trunk1.1232|up|up|[TAT] GESTION TX - SAN ROQUE CTES. - Linea:80001373
CTE3MU|Eth-Trunk1.1383|up|up|GESTION ATN910I San Roque - SRQ2MS - Linea 80002901 (RE LH San Roque -  Bella Vista)
CTE3MU|Eth-Trunk1.10502|up|up|GESTION LAN TO LAN - RADIODIFUSORA VIRGEN DEL CARMEN SRL - REF: 941559 - LINEA: 2868327 - ACC: BEAT1, 55BEA02, 04, GE_03
CTE3MU|Eth-Trunk1.10503|up|up|LAN TO LAN - RADIODIFUSORA VIRGEN DEL CARMEN SRL - REF: 941559 - LINEA: 2868327 - ACC: BEAT1, 55BEA02, 04, GE_03
CTE3MU|Eth-Trunk1.10552|up|up|VPN PLATINUM -AGUAS DE CORRIENTES S.A.- Ref 875087 - Lin 2855726 - Acc 55EPD01 5/4/3
CTE3MU|Eth-Trunk1.11103|up|up|LAN TO LAN - RADIODIFUSORA VIRGEN DEL CARMEN SRL - REF: 941560 - LINEA: 2868328 - ACC: SALT1, 55SDS01, 04, GE_03
CTE3MU|Eth-Trunk1.11104|up|up|GESTION LAN TO LAN - RADIODIFUSORA VIRGEN DEL CARMEN SRL - REF: 941560 - LINEA: 2868328 - ACC: SALT1, 55SDS01, 04, GE_03
CTE3MU|Eth-Trunk1.12022|up|up|VPN PLATINUM - AGUAS DE CORRIENTES S.A. - Ref 875097 Lin 2855736 - Acc 55ESQ01 5/4/3
CTE3MU|Eth-Trunk1.12332|up|up|VPN PLATINUM - AGUAS DE CORRIENTES - Ref 875098 - Lin 2855737 - Acc 55BEA02 3/8/2
CTE3MU|Eth-Trunk1.13105|up|up|HSI - SALM01 - Linea 11002352 - CTE1MB
CTE3MU|Eth-Trunk1.13802|up|up|VPN PLATINUM - AGUAS DE CORRIENTES - Ref 875093 - Lin 2855732 - Acc 55SDS01 3/8/8
CTE3MU|Eth-Trunk1.13822|up|up|VPN PLATINUM - AGUAS DE CORRIENTES S.A. - Ref 875092 - Lin 2855731 - Acc 55SLC01 5/4/3
CTE3MU|Eth-Trunk1.40852|up|up|VPN PLATINUM - CETROGAR SA - Ref: 789895 Lin: 2850524
CTE3MU|Eth-Trunk1.331042|up|up|[SIGN] SLCG01 HUA 5600_T [NGN]
CTE3MU|Eth-Trunk1.331043|up|up|[RTP] SLCG01 HUA 5600_T [NGN]
CTE3MU|Eth-Trunk1.331044|up|up|[GESTION] SLCG01 HUA 5600_T [NGN]
CTE3MU|Eth-Trunk1.333693|up|up|[RTP][SIGN] WC4G01 HUA 5000 [NGN]
CTE3MU|Eth-Trunk1.333694|up|up|[GESTION][IPMB] WC4G01 HUA 5000 [NGN]
CTE3MU|Eth-Trunk1.333695|up|up|[GESTION][PVM] WC4G01 HUA 5000 [NGN]
CTE3MU|Eth-Trunk1.334012|up|up|SIGN. ESMG01 MA5616 EL SOMBRERO - CORRIENTES L.11001932
