shelfname|interface|portoperationalstate|protocol|info1
ESP3MU|Eth-Trunk5|up|up|CNX:ENLACE:ROA1.ESP1(Gi 1/0/0+Gi 1/1/0 + Gi 1/3/0 >ae 5)
ESP3MU|Eth-Trunk6|up|up|CNX:ENLACE:ROA1.ESP1(Gi 5/1/0+Gi 8/0/0 + Gi 8/2/0 >ae 6)
ESP3MU|GE0/0/0|down|down|
ESP3MU|GE1/0/0|down|down|
ESP3MU|GE1/0/1|up|down|eNODOB ESPERANZA_3 - A07-S376 (761807) NODOB (761806) (761805)
ESP3MU|GE1/0/1.1218|up|up|eNODOB - ESPERANZA_3 - A07-S376 - (1) (761807) - S1
ESP3MU|GE1/0/1.1219|up|up|eNODOB - ESPERANZA_3 - A07-S376 - (2) (761807) - S1MME
ESP3MU|GE1/0/1.1220|up|up|eNODOB - ESPERANZA_3 - A07-S376 - (3) (761807) - GOMRAN
ESP3MU|GE1/0/1.1221|up|up|NODOB - ESPERANZA_3 - A07-S376 - (1) (761806) - 3G
ESP3MU|GE1/0/1.1222|up|up|NODOB - ESPERANZA_3 - A07-S376- (1) (761805) - 2G
ESP3MU|GE1/0/2|up|down|#### TARJETA NARANJA S.A. - REF: 878808 - LINEA: 2857768 - TRZXXXX ####
ESP3MU|GE1/0/2.2|up|up|#### INTEGRA PLATINUM - TARJETA NARANJA S.A. - REF: 878808 - LINEA: 2857768 ####
ESP3MU|GE1/0/3|up|down|[ACCESO HSI][FI] ESP71D L11002873
ESP3MU|GE1/0/3.2101|up|up|[GESTION] ESP71D ZTE 9210 [ADS2]
ESP3MU|GE1/0/3.3101|up|up|[TOIP] ESP71D ZTE 9210 [ADS2]
ESP3MU|GE1/0/3.4101|up|up|[DATOS] ESP71D ZTE 9210 [ADS2][L3]
ESP3MU|GE1/0/4|up|down|[ACCESO HSI][FI] ESP81D L11002874
ESP3MU|GE1/0/4.2101|up|up|[GESTION] ESP81D ZTE 9210 [ADS2]
ESP3MU|GE1/0/4.3101|up|up|[TOIP] ESP81D ZTE 9210 [ADS2]
ESP3MU|GE1/0/4.4101|up|up|[DATOS] ESP81D ZTE 9210 [ADS2][L3]
ESP3MU|GE1/0/5|up|down|[ACCESO HSI][FI] ESP91D L11002875
ESP3MU|GE1/0/5.2101|up|up|[GESTION] ESP91D ZTE 9210 [ADS2]
ESP3MU|GE1/0/5.3101|up|up|[TOIP] ESP91D ZTE 9210 [ADS2]
ESP3MU|GE1/0/5.4101|up|up|[DATOS] ESP91D ZTE 9210 [ADS2][L3]
ESP3MU|GE1/0/6|up|down|[ACCESO HSI][FI] ESPM01 L11002360
ESP3MU|GE1/0/6.2101|up|up|[GESTION] ESPM01 HUA 5600_T [VDS2]
ESP3MU|GE1/0/6.3101|up|up|[TOIP] ESPM01 HUA 5600_T [VDS2]
ESP3MU|GE1/0/6.3104|up|up|VDSLCORP ESPM01 IRD2MB
ESP3MU|GE1/0/6.4101|up|up|[DATOS] ESPM01 HUA 5600_T [VDS2][L3]
ESP3MU|GE1/0/7|up|down|[ACCESO HSI][FI] ESP61D L11002872
ESP3MU|GE1/0/7.2101|up|up|[GESTION] ESP61D ZTE 9210 [ADS2]
ESP3MU|GE1/0/7.3101|up|up|[TOIP] ESP61D ZTE 9210 [ADS2]
ESP3MU|GE1/0/7.4101|up|up|[DATOS] ESP61D ZTE 9210 [ADS2][L3]
ESP3MU|GE1/0/8|up|down|[ACCESO HSI][FI] ESPA1D L11003999
ESP3MU|GE1/0/8.2101|up|up|[GESTION] ESPA1D ZTE 9800 [ADS2]
ESP3MU|GE1/0/8.3101|up|up|[TOIP] ESPA1D ZTE 9800 [ADS2]
ESP3MU|GE1/0/8.4101|up|up|[DATOS] ESPA1D ZTE 9800 [ADS2][L3]
ESP3MU|GE1/0/9|up|down|NGN + ADSL NGN ZTE ERNG01 Outdoor Esperanza Norte  L9704792
ESP3MU|GE1/0/9.2|up|up|SIGNALING NGN ZTE ERNG01 Outdoor Esperanza Norte  L9704792
ESP3MU|GE1/0/9.3|up|up|RTP NGN - ZTE ERNG01 Outdoor Esperanza Norte  L9704792
