shelfname|interface|portoperationalstate|protocol|info1
G2R1MS|DCN-Serial0/2/0:0|UP|UP|HUAWEI, DCN-Serial0/2/0:0 Interface
G2R1MS|Ethernet0/0/0|DOWN|DOWN|HUAWEI, Ethernet0/0/0 Interface
G2R1MS|GigabitEthernet0/2/0|UP|DOWN|CONEXION A GSU1MS GigabitEthernet0/2/1.2 REIP SPU1152 - Linea:15008752
G2R1MS|GigabitEthernet0/2/0.2|UP|UP|HUAWEI, GigabitEthernet0/2/0.2 Interface
G2R1MS|GigabitEthernet0/2/0.1000|UP|UP|ENLACE A GSU1MS 0/2/1- LUMINARIA AUBASA 24 - (1) (763747) - S1
G2R1MS|GigabitEthernet0/2/0.1001|UP|UP|ENLACE A GSU1MS 0/2/1- LUMINARIA AUBASA 24 - (2) (763747) - S1MME
G2R1MS|GigabitEthernet0/2/0.1002|UP|UP|ENLACE A GSU1MS 0/2/1- LUMINARIA AUBASA 24 - (3) (763747) - GOMRAN
G2R1MS|GigabitEthernet0/2/0.1003|UP|UP|ENLACE A GSU1MS 0/2/1- LUMINARIA AUBASA 24 - (1) (763746) - 3G
G2R1MS|GigabitEthernet0/2/0.1004|UP|UP|ENLACE A GSU1MS 0/2/1- LUMINARIA AUBASA 24 - (1) (763745) - 2G
G2R1MS|GigabitEthernet0/2/1|DOWN|DOWN|eNODOB PRUEBA ACCESO (X.X.X.X) NODOB (X.X.X.X) (X.X.X.X)
G2R1MS|GigabitEthernet0/2/1.1000|DOWN|DOWN|ENLACE A KL21MA - AUBASA LUMINARIA 24- (1) (763747) - S1
G2R1MS|GigabitEthernet0/2/1.1001|DOWN|DOWN|ENLACE A KL21MA - AUBASA LUMINARIA 24- (2) (763747) - S1MME
G2R1MS|GigabitEthernet0/2/1.1002|DOWN|DOWN|ENLACE A KL21MA - AUBASA LUMINARIA 24- (3) (763747) - GOMRAN
G2R1MS|GigabitEthernet0/2/1.1003|DOWN|DOWN|ENLACE A KL21MA - AUBASA LUMINARIA 24- (1) (763746) - 3G
G2R1MS|GigabitEthernet0/2/1.1004|DOWN|DOWN|ENLACE A KL21MA - AUBASA LUMINARIA 24- (1) (763745)- 2G
G2R1MS|GigabitEthernet0/2/2|DOWN|DOWN|HUAWEI, GigabitEthernet0/2/2 Interface
G2R1MS|GigabitEthernet0/2/3|DOWN|DOWN|HUAWEI, GigabitEthernet0/2/3 Interface
G2R1MS|GigabitEthernet0/2/4|UP|DOWN|eNODOB LUMINARIA_AUBASA_24 - SPU1152 (763747) NODOB (763746) (763745)
G2R1MS|GigabitEthernet0/2/4.1000|UP|UP|eNODOB - LUMINARIA_AUBASA_24 - SPU1152 - (1) (763747) - S1
G2R1MS|GigabitEthernet0/2/4.1001|UP|UP|eNODOB - LUMINARIA_AUBASA_24 - SPU1152 - (2) (763747) - S1MME
G2R1MS|GigabitEthernet0/2/4.1002|UP|UP|eNODOB - LUMINARIA_AUBASA_24 - SPU1152 - (3) (763747) - GOMRAN
G2R1MS|GigabitEthernet0/2/4.1003|UP|UP|NODOB - LUMINARIA_AUBASA_24 - SPU1152 - (1) (763746) - 3G
G2R1MS|GigabitEthernet0/2/4.1004|UP|UP|NODOB - LUMINARIA_AUBASA_24 - SPU1152- (1) (763745) - 2G
G2R1MS|GigabitEthernet0/2/5|DOWN|DOWN|HUAWEI, GigabitEthernet0/2/5 Interface
G2R1MS|GigabitEthernet0/2/6|DOWN|DOWN|HUAWEI, GigabitEthernet0/2/6 Interface
G2R1MS|GigabitEthernet0/2/7|DOWN|DOWN|HUAWEI, GigabitEthernet0/2/7 Interface
G2R1MS|GigabitEthernet0/2/8|DOWN|DOWN|HUAWEI, GigabitEthernet0/2/8 Interface
G2R1MS|GigabitEthernet0/2/9|DOWN|DOWN|HUAWEI, GigabitEthernet0/2/9 Interface
G2R1MS|GigabitEthernet0/2/10|DOWN|DOWN|HUAWEI, GigabitEthernet0/2/10 Interface
G2R1MS|GigabitEthernet0/2/11|DOWN|DOWN|HUAWEI, GigabitEthernet0/2/11 Interface
G2R1MS|LoopBack0|UP|UP|HUAWEI, LoopBack0 Interface
G2R1MS|LoopBack1023|UP|UP|DCN loopback interface
G2R1MS|NULL0|UP|UP|HUAWEI, NULL0 Interface


