shelfname|interface|portoperationalstate|protocol|info1
GNC1MU|GE0/0/0|down|down|
GNC1MU|GE0/1/0|down|down|
GNC1MU|GE0/1/1|down|down|
GNC1MU|GE0/1/2|down|down|
GNC1MU|GE0/1/3|down|down|
GNC1MU|GE0/1/4|down|down|
GNC1MU|GE0/1/5|down|down|
GNC1MU|GE0/1/6|down|down|
GNC1MU|GE0/1/7|down|down|
GNC1MU|GE0/1/8|down|down|
GNC1MU|GE0/1/9|down|down|
GNC1MU|GE0/2/0|down|down|
GNC1MU|GE0/2/1|down|down|
GNC1MU|GE0/2/2|down|down|
GNC1MU|GE0/2/3|down|down|
GNC1MU|GE0/2/4|down|down|
GNC1MU|GE0/2/5|down|down|
GNC1MU|GE0/2/6|down|down|
GNC1MU|GE0/2/7|down|down|
GNC1MU|GE0/2/8|down|down|
GNC1MU|GE0/2/9|down|down|
GNC1MU|GE0/3/0(10G)|up|up|Enlace 10G DWDM ARU1MU_G0/5/0 Linea:15008629 - UPLINK MSBNG
GNC1MU|GE0/3/1|down|down|
GNC1MU|GE0/3/2|down|down|
GNC1MU|GE0/3/3|down|down|
GNC1MU|GE0/3/4|down|down|
GNC1MU|GE0/3/5|down|down|
GNC1MU|GE0/3/6|down|down|
GNC1MU|GE0/3/7|down|down|
GNC1MU|GE0/3/8|down|down|
GNC1MU|GE0/5/0(10G)|up|up|Enlace 10G DWDM CYU1MU_G0/5/0 Linea:15008627 - UPLINK MSBNG
GNC1MU|GE0/5/1|down|down|
GNC1MU|GE0/5/2|down|down|
GNC1MU|GE0/5/3|down|down|
GNC1MU|GE0/5/4|down|down|
GNC1MU|GE0/5/5|down|down|
GNC1MU|GE0/5/6|down|down|
GNC1MU|GE0/5/7|down|down|
GNC1MU|GE0/5/8|down|down|


