shelfname|interface|portoperationalstate|protocol|info1
GOY3MU|Aux0/0/1|down|down|HUAWEI, Aux0/0/1 Interface
GOY3MU|Eth-Trunk1|up|down|LAG 10G PTN 8VGOY01
GOY3MU|Eth-Trunk1.1219|up|up|HSI ESQ11D - 2/2 CTE1MB - Linea 11000362
GOY3MU|Eth-Trunk1.1244|up|up|GESTION Tx REIP RUTA 12 ESQUINA SUR
GOY3MU|Eth-Trunk1.3329|up|up|HSI ESQ11D - 1/2 CTE1MB - Linea 11000362
GOY3MU|Eth-Trunk1.4084|up|up|RES1MB_BE1001.4084
GOY3MU|Eth-Trunk1.4085|up|up|CTE1MB_BE1001.4085
GOY3MU|Eth-Trunk1.12001000|up|up|eNODOB - FANEGAS - GOY3MU 1/0/0 -A14-S105 - (1) (766940) - S1
GOY3MU|Eth-Trunk1.12001001|up|up|eNODOB - FANEGAS - GOY3MU 1/0/0 -A14-S105 - (2) (766940) - S1MME
GOY3MU|Eth-Trunk1.12001002|up|up|eNODOB - FANEGAS - GOY3MU 1/0/0 -A14-S105 - (3) (766940) - GOMRAN
GOY3MU|Eth-Trunk1.12001003|up|up|NODOB - FANEGAS - GOY3MU 1/0/0 -A14-S105 - (1) (766939) - 3G
GOY3MU|Eth-Trunk1.12001004|up|up|NODOB - FANEGAS - GOY3MU 1/0/0 -A14-S105 - (1) (766938) - 2G
GOY3MU|Eth-Trunk1.12001005|up|up|eNODOB - FANEGAS - GOY3MU 1/0/0 -A14-S105_RSCLR - (940571) - S1 RS_CLARO
GOY3MU|Eth-Trunk1.12001006|up|up|eNODOB - FANEGAS - GOY3MU 1/0/0 -A14-S105_RSCLR - (940571) - S1MME RS_CLARO
GOY3MU|Eth-Trunk1.12001007|up|up|eNODOB - FANEGAS - GOY3MU 1/0/0 -A14-S105_RSMVS - (940572)  - S1RS_MOVISTAR
GOY3MU|Eth-Trunk1.12001008|up|up|eNODOB - FANEGAS - GOY3MU 1/0/0 -A14-S105_RSMVS - (940572)  - S1MME RS_MOVISTAR
GOY3MU|Eth-Trunk1.12011000|up|up|eNODOB - RUTA_12_ESQUINA_SUR - GOY3MU 1/0/0 - A14-S170 - (1) (766679) - S1
GOY3MU|Eth-Trunk1.12011001|up|up|eNODOB - RUTA_12_ESQUINA_SUR - GOY3MU 1/0/0 - A14-S170 - (2) (766679) - S1MME
GOY3MU|Eth-Trunk1.12011002|up|up|eNODOB - RUTA_12_ESQUINA_SUR - GOY3MU 1/0/0 - A14-S170 - (3) (766679) - GOMRAN
GOY3MU|Eth-Trunk1.12011003|up|up|NODOB - RUTA_12_ESQUINA_SUR - GOY3MU 1/0/0 - A14-S170 - (1) (766678) - 3G
GOY3MU|Eth-Trunk1.12011004|up|up|NODOB - RUTA_12_ESQUINA_SUR - GOY3MU 1/0/0 - A14-S170 - (1) (766677) - 2G
GOY3MU|Eth-Trunk1.12011005|up|up|eNODOB - RUTA_12_ESQUINA_SUR - GOY3MU 1/0/0 - A14-S170_RSCLR - (940653) - S1 RS_CLARO
GOY3MU|Eth-Trunk1.12011006|up|up|eNODOB - RUTA_12_ESQUINA_SUR - GOY3MU 1/0/0 - A14-S170_RSCLR - (940653) - S1MME RS_CLARO
GOY3MU|Eth-Trunk1.12011007|up|up|eNODOB - RUTA_12_ESQUINA_SUR - GOY3MU 1/0/0 - A14-S170_RSMVS - (940654) - S1 RS_MOVISTAR
GOY3MU|Eth-Trunk1.12011008|up|up|eNODOB - RUTA_12_ESQUINA_SUR - GOY3MU 1/0/0 - A14-S170_RSMVS - (940654) - S1MME RS_MOVISTAR
GOY3MU|Eth-Trunk1.33293616|up|up|PRESURIZACION ESQUINA URA - REF:943602 - ACC:ESQ11D 0/17/1
GOY3MU|Eth-Trunk1.33293617|up|down|VPN Branch Office - SCHEJTER Y SCHEJTER SA - Ref:593203 Lin:2771927 Acc:ESQ11D 00/17/02
GOY3MU|Eth-Trunk1.33293620|up|up|VPN GOLD - DIA ARGENTINA S.A. - Ref:673853 Ref:2812185 Acc:ESQ11D1/17/05
GOY3MU|Eth-Trunk1.33293623|up|down|VPN GOLD - DIA ARGENTINA S.A. - Ref:673853 Ref:2812185 Acc:ESQ11D1/17/05
GOY3MU|Eth-Trunk1.33293624|up|up|VPN Branch Office - SCHEJTER Y SCHEJTER SA - Ref:593203 Lin:2771927 Acc:ESQ11D 0/17/009_10
GOY3MU|Eth-Trunk1.33293626|up|up|### VPN Head Quarter - CONMEGA A.C.E. - Ref:794809 - Lin:2852649 -Acc:ESQ11D 17/11-12 ###
GOY3MU|Eth-Trunk1.33293808|up|up|PRESURIZACION ESQUINA URA - REF:943602 - ACC:ESQ11D 0/17/1
GOY3MU|Eth-Trunk1.33293810|up|up|INTEGRA LIGHT-JUFEC SA-REF.596028-LIN.2775688-ACC.ESQ11D-17-3
GOY3MU|Eth-Trunk1.33293820|up|up|Integra Light Min de Modernizacion REFE 737875 Linea 2833985
GOY3MU|Eth-Trunk2|up|up|LAG A GYARNC02 EIPU-2 del BCN-1
GOY3MU|Eth-Trunk3|up|up|LAG A GYARNC02 EIPU-3 del BCN-2
GOY3MU|Eth-Trunk4|up|up|LAG A GYARNC02 EIPU-6 del BCN-3
GOY3MU|Eth-Trunk5|up|up|LAG A GYARNC02 EIPU-7 del BCN-4
GOY3MU|Eth-Trunk6|up|down|LAG A GOYROU01 TELLABS GOYA (Gi1/1/5  Gi8/1/2) (441583)
GOY3MU|Eth-Trunk6.1000|up|up|LAG A GOYROU01 TELLABS GOYA (Gi1/1/5  Gi8/1/2) (441583) IUB-3G
GOY3MU|Eth-Trunk6.1001|up|up|LAG A GOYROU01 TELLABS GOYA (Gi1/1/5  Gi8/1/2) (441583) S1MME
GOY3MU|Eth-Trunk6.1002|up|up|LAG A GOYROU01 TELLABS GOYA (Gi1/1/5  Gi8/1/2) (441583) GOMRAN
GOY3MU|Eth-Trunk7|up|down|LAG A BSCGYA2 SFP-21&22 del modulo-0
GOY3MU|Eth-Trunk7.1800|up|up|VLAN Abis BSCGYA2
GOY3MU|Eth-Trunk8|up|down|LAG A BSCGYA2 SFP-21&22 del modulo-1
GOY3MU|Eth-Trunk8.1801|up|up|VLAN Abis BSCGYA2
GOY3MU|Eth-Trunk9|up|down|LAG PTN 35GYA02_G2/1-5/1
GOY3MU|Eth-Trunk9.12072|up|up|DDE-IP - GOBIERNO PROVINCIA CORRIENTES  SUPERIOR TRIB. DE JUSTICIA- REF: 949332 - LINEA: 2870483 -ACC: 55BEA02-03-GE_04
GOY3MU|Eth-Trunk9.2001000|up|up|eNODOB - Esquina - GOY3MU Eth-Trunk9 - A14-S004 - (1) (439974) - S1
GOY3MU|Eth-Trunk9.2001001|up|up|eNODOB - Esquina - GOY3MU Eth-Trunk9 - A14-S004 - (2) (439974) - S1MME
GOY3MU|Eth-Trunk9.2001002|up|up|eNODOB - Esquina - GOY3MU Eth-Trunk9 - A14-S004 - (3) (439974) - GOMRAN
GOY3MU|Eth-Trunk9.2001003|up|up|eNODOB - Esquina - GOY3MU Eth-Trunk9 - A14-S004 - (1) (526937) - 3G
