shelfname|interface|portoperationalstate|protocol|info1
HRN1MU|Eth0/0/0|up|up|HUAWEI, Ethernet0/0/0 Interface
HRN1MU|GE0/1/0|up|down|CONEXION A DWHRN01_2BB_P19 - Line
HRN1MU|GE0/1/0.1208|up|up|UPLINK A PAR3MU Eth-Trunk12.1208
HRN1MU|GE0/1/0.1209|up|up|UPLINK A PAR3MU Eth-Trunk12.1209
HRN1MU|GE0/1/0.1210|up|up|UPLINK A PAR3MU Eth-Trunk12.1210
HRN1MU|GE0/1/0.1211|up|up|UPLINK A PAR3MU Eth-Trunk12.1211
HRN1MU|GE0/1/0.1212|up|up|UPLINK A PAR3MU Eth-Trunk12.1212
HRN1MU|GE0/1/0.1213|up|up|UPLINK A PAR3MU Eth-Trunk12.1213
HRN1MU|GE0/1/0.1214|up|up|UPLINK A PAR3MU Eth-Trunk12.1214
HRN1MU|GE0/1/0.1215|up|up|UPLINK A PAR3MU Eth-Trunk12.1215
HRN1MU|GE0/1/0.1216|up|up|CONEXION A DWHRN01_2BB_P19 - PAR3
HRN1MU|GE0/1/0.1217|up|up|UPLINK A PAR3MU Eth-Trunk12.1217
HRN1MU|GE0/1/0.1224|up|up|UPLINK A PAR3MU Eth-Trunk12.1210
HRN1MU|GE0/1/0.1225|up|up|UPLINK A PAR3MU Eth-Trunk12.1210
HRN1MU|GE0/1/1|up|up|eNODOB HERNANDARIAS - A07-S006 (7
HRN1MU|GE0/1/1.1000|up|up|eNODOB - HERNANDARIAS - A07-S006
HRN1MU|GE0/1/1.1001|up|up|eNODOB - HERNANDARIAS - A07-S006
HRN1MU|GE0/1/1.1002|up|up|eNODOB - HERNANDARIAS - A07-S006
HRN1MU|GE0/1/1.1003|up|up|NODOB - HERNANDARIAS - A07-S006 -
HRN1MU|GE0/1/1.1004|up|up|NODOB - HERNANDARIAS - A07-S006-
HRN1MU|GE0/1/2|up|down|eNODOB A07-S133-El-Solar-(692022)
HRN1MU|GE0/1/2.1000|up|up|eNODOB - EL_SOLAR - HRN1MU 1 - A0
HRN1MU|GE0/1/2.1001|up|up|eNODOB - EL_SOLAR - HRN1MU 1 - A0
HRN1MU|GE0/1/2.1002|up|up|eNODOB - EL_SOLAR - HRN1MU 1 - A0
HRN1MU|GE0/1/2.1003|up|up|NODOB - EL_SOLAR - HRN1MU 1 - A07
HRN1MU|GE0/1/2.1004|up|up|NODOB - EL_SOLAR - HRN1MU 1 - A07
HRN1MU|GE0/1/2.1005|up|up|GESTION IPMB NGN ARZG01 - EL SOLA
HRN1MU|GE0/1/2.1006|up|up|RTP NGN - ARZG01 - EL SOLAR L 110
HRN1MU|GE0/1/2.1007|up|up|SIGN - ARZG01 - EL SOLAR L 110021
HRN1MU|GE0/1/2.1015|up|up|eNODOB - EL SOLAR - A07-S133_RSCL
HRN1MU|GE0/1/2.1016|up|up|eNODOB - EL SOLAR - A07-S133_RSCL
HRN1MU|GE0/1/2.1017|up|up|eNODOB - EL SOLAR - A07-S133_RSMV
HRN1MU|GE0/1/2.1018|up|up|eNODOB - EL SOLAR - A07-S133_RSMV
HRN1MU|GE0/1/3|up|down|eNODOB A07-S164 HERNANDARIAS ACCE
HRN1MU|GE0/1/3.1000|up|up|eNODOB - HERNANDARIAS_ACCESO - HR
HRN1MU|GE0/1/3.1001|up|up|eNODOB - HERNANDARIAS_ACCESO - HR
HRN1MU|GE0/1/3.1002|up|up|eNODOB - HERNANDARIAS_ACCESO - HR
HRN1MU|GE0/1/3.1003|up|up|NODOB - HERNANDARIAS_ACCESO - HRN
HRN1MU|GE0/1/3.1004|up|up|NODOB - HERNANDARIAS_ACCESO - HRN
HRN1MU|GE0/1/4|down|down|INTA - VPN - Ref:784019 - Lin:284
HRN1MU|GE0/1/4.2|down|down|INTA - VPN - Ref:784019 - Lin:284
HRN1MU|GE0/1/5|up|down|ACCESO NGN ZTE 5200 - HRNG01 - HE
HRN1MU|GE0/1/5.2|up|up|SIGNALING - NGN ZTE 5200 - HRNG01
HRN1MU|GE0/1/5.3|up|up|RTP - NGN ZTE 5200 - HRNG01 - HER
HRN1MU|GE0/1/5.4|up|up|GESTION - NGN ZTE 5200 - HRNG01 -
HRN1MU|GE0/1/6|up|down|VPN - NUEVO BANCO DE ENTRE RIOS S
HRN1MU|GE0/1/6.2|up|up|VPN - NUEVO BANCO DE ENTRE RIOS S
HRN1MU|GE0/1/7|down|down|HUAWEI, GigabitEthernet0/1/7 Inte
HRN1MU|GE0/2/0|*down|down|HUAWEI, GigabitEthernet0/2/0 Inte
HRN1MU|GE0/2/1|*down|down|HUAWEI, GigabitEthernet0/2/1 Inte
HRN1MU|GE0/2/2|down|down|HUAWEI, GigabitEthernet0/2/2 Inte
HRN1MU|GE0/2/3|down|down|HUAWEI, GigabitEthernet0/2/3 Inte
HRN1MU|GE0/2/4|down|down|HUAWEI, GigabitEthernet0/2/4 Inte
HRN1MU|GE0/2/5|down|down|HUAWEI, GigabitEthernet0/2/5 Inte
HRN1MU|GE0/2/6|down|down|HUAWEI, GigabitEthernet0/2/6 Inte
HRN1MU|GE0/2/7|down|down|HUAWEI, GigabitEthernet0/2/7 Inte
HRN1MU|GE0/3/0|down|down|HUAWEI, GigabitEthernet0/3/0 Inte
HRN1MU|GE0/3/1|down|down|HUAWEI, GigabitEthernet0/3/1 Inte
HRN1MU|GE0/3/2|down|down|HUAWEI, GigabitEthernet0/3/2 Inte
HRN1MU|GE0/3/3|down|down|HUAWEI, GigabitEthernet0/3/3 Inte


