shelfname|interface|portoperationalstate|protocol|info1
LTR3MU|Eth-Trunk14|up|down|[ACCESO HSI][VI] LTR31D L 15006273
LTR3MU|Eth-Trunk14.2101|up|up|[GESTION] LTR31D HUA 5600 [ADS2]
LTR3MU|Eth-Trunk14.3101|up|up|[TOIP] LTR31D HUA 5600 [ADS2]
LTR3MU|Eth-Trunk14.4101|up|up|[DATOS] LTR31D HUA 5600 [ADS2][L2]
LTR3MU|GE0/0/0|down|down|
LTR3MU|GE1/0/0(10G)|up|up|Enlace 10G DWDM MUN1MB_G0/7/0/12 Linea: 15004418 - UPLINK MSBNG (32LTR01_Sh2-G17/3)
LTR3MU|GE1/0/1(10G)|down|down|
LTR3MU|GE1/1/0|up|down|[ACCESO HSI][VI] 7D3G01 15005296
LTR3MU|GE1/1/0.2|up|up|SIGN NGN 7D3G01 MA5600T TIGRE BS AS - LINEA 15005296
LTR3MU|GE1/1/0.3|up|up|RTP NGN 7D3G01 MA5600T TIGRE BS AS - LINEA 15005296
LTR3MU|GE1/1/0.4|up|up|GESTION NGN 7D3G01 MA5600T TIGRE BS AS - LINEA 15005296
LTR3MU|GE1/1/0.3101|up|up|[TOIP] 7D3G01 HUA 5600_T [VDS2]
LTR3MU|GE1/1/0.4101|up|up|[DATOS] 7D3G01 HUA 5600_T [VDS2][L2]
LTR3MU|GE1/1/1|down|down|INTEGRA - TERMINAL CARGA TIGRE SA - Ref 661791 - Linea 2796342
LTR3MU|GE1/1/1.130003|down|down|INTEGRA - TERMINAL CARGA TIGRE SA - Ref 661791 - Linea 2796342
LTR3MU|GE1/1/2|down|down|
LTR3MU|GE1/1/3|up|down|[ACCESO HSI][VI] LTRM01 15004696
LTR3MU|GE1/1/3.2101|up|up|[GESTION] LTRM01 ALU 7302 [VDS2]
LTR3MU|GE1/1/3.3101|up|up|[TOIP] LTRM01 ALU 7302 [VDS2]
LTR3MU|GE1/1/3.4101|up|up|[DATOS] LTRM01 ALU 7302 [VDS2][L2]
LTR3MU|GE1/1/4|up|down|VPN Platinum - Banco Galicia - Ref:673102 - Lin:2811143
LTR3MU|GE1/1/4.16|up|up|VPN - Banco Galicia - REF: 673102 - LINEA: 2811143 - ACC: LTR3MU 1/1/4.16
LTR3MU|GE1/1/5|down|down|
LTR3MU|GE1/1/6|up|down|[ACCESO HSI][VI] 6N6G01 - 15004878
LTR3MU|GE1/1/6.3101|up|up|[TOIP] 6N6G01 HUA 5603_T [VDS2]
LTR3MU|GE1/1/6.4101|up|up|[DATOS] 6N6G01 HUA 5603_T [VDS2][L2]
LTR3MU|GE1/1/6.13232|up|up|[SIGN] 6N6G01 HUA 5603_T [NGN]
LTR3MU|GE1/1/6.13233|up|up|[RTP] 6N6G01 HUA 5603_T [NGN]
LTR3MU|GE1/1/6.13234|up|up|[GESTION] 6N6G01 HUA 5603_T [NGN]
LTR3MU|GE1/1/7|up|up|CONEXION 1/2 LTR31D HSI
LTR3MU|GE1/1/8|up|down|[ACCESO HSI][VI] LTR41D 15006274
