shelfname|interface|portoperationalstate|protocol|info1
PBD1MU|Eth0/0/0|up|up|HUAWEI, Ethernet0/0/0 Interface
PBD1MU|GE0/1/0|up|down|FRONTERA 1SPBD02 LAN1
PBD1MU|GE0/1/0.1212|up|up|UPLINK A ELD3MU Eth-Trunk1.1212 1NPBD01_IDU - DCN-GESTION
PBD1MU|GE0/1/0.1213|up|up|UPLINK A ELD3MU GiEth-Trunk1.12131NPBD01_IDU - 2G
PBD1MU|GE0/1/0.1214|up|up|UPLINK A ELD3MU Eth-Trunk1.1214 1NPBD01_IDU - 3G
PBD1MU|GE0/1/0.1215|up|up|UPLINK A ELD3MU GiEth-Trunk1.12151NPBD01_IDU - S1
PBD1MU|GE0/1/0.1216|up|up|UPLINK A ELD3MU GiEth-Trunk1.12161NPBD01_IDU - S1MME
PBD1MU|GE0/1/0.1217|up|up|UPLINK A ELD3MU GiEth-Trunk1.12171NPBD01_IDU - GOMRAN
PBD1MU|GE0/1/0.1218|up|up|UPLINK A ELD3MU Eth-Trunk1.1218 1NPBD01_IDU - POPUSA
PBD1MU|GE0/1/0.1219|up|up|UPLINK A ELD3MU Eth-Trunk1.1219 1NPBD01_IDU - NGN
PBD1MU|GE0/1/0.1220|up|up|UPLINK A ELD3MU Eth-Trunk1.1220 1NPBD01_IDU - SDH HUAWEI
PBD1MU|GE0/1/0.1221|up|up|GESTION - Linea.80002357 - ELD3MUEth-Trunk 1.1221
PBD1MU|GE0/1/0.1234|up|up|UPLINK A ELD3MU GiEth-Trunk1.12341NPBD01_IDU - Claro
PBD1MU|GE0/1/1|up|down|FRONTERA 1SPBD02 LAN4
PBD1MU|GE0/1/1.110|up|up|LAN TO LAN - GESTION TRIBUTARIA INTEGRAL SA - REF: 914967 - LINEA:2867891 - VPLS: ELAN_3664876301- ACC: 1SSPD01_IDU/01/20
PBD1MU|GE0/1/1.111|up|up|GESTION LAN TO LAN - GESTION TRIBUTARIA INTEGRAL SA - REF: 914967- LINEA: 2867891 - ACC: 1SSPD01_IDU/01/20
PBD1MU|GE0/1/1.1000|up|up|eNODOB - SAN_PEDRO_ESTACION_TERMINAL - PBD1MU 0/1/1 - A19-S109 - (1) (686239) - S1
PBD1MU|GE0/1/1.1001|up|up|eNODOB - SAN_PEDRO_ESTACION_TERMINAL - PBD1MU 0/1/1 - A19-S109 - (2) (686239) - S1MME
PBD1MU|GE0/1/1.1002|up|up|eNODOB - SAN_PEDRO_ESTACION_TERMINAL - PBD1MU 0/1/1 - A19-S109 - (3) (686239) - GOMRAN
PBD1MU|GE0/1/1.1003|up|up|NODOB - SAN_PEDRO_ESTACION_TERMINAL - PBD1MU 0/1/1 - A19-S109 - (1) (686238) - 3G
PBD1MU|GE0/1/1.1004|up|up|NODOB - SAN_PEDRO_ESTACION_TERMINAL - PBD1MU 0/1/1 - A19-S109 - (1) (686237) - 2G
PBD1MU|GE0/1/1.1100|up|up|eNODOB - SAN_PEDRO - PBD1MU 0/1/1- A19-S007 (1) (437935) - S1
