shelfname|interface|portoperationalstate|protocol|info1
RAF3MU|Eth-Trunk1|up|down|RCS1MB BE1000
RAF3MU|Eth-Trunk1.4069|up|up|RSC1MB_BE1000.4069
RAF3MU|Eth-Trunk2|up|down|LAG A BSCRAF01 Abis_A
RAF3MU|Eth-Trunk2.350|up|up|LAG A BSCRAF01 Abis_A
RAF3MU|Eth-Trunk3|up|down|LAG A BSCRAF01 Abis_B
RAF3MU|Eth-Trunk3.351|up|up|LAG A BSCRAF01 Abis_B
RAF3MU|Eth-Trunk4|up|down|LAG A BSCRAF01 Abis_C
RAF3MU|Eth-Trunk4.352|up|up|LAG A BSCRAF01 Abis_C
RAF3MU|Eth-Trunk5|up|down|LAG A BSCRAF01 Gb
RAF3MU|Eth-Trunk5.850|up|up|LAG A BSCRAF01 Gb
RAF3MU|Eth-Trunk6|up|down|LAG A BSCRAF01 A-UP y A-CP
RAF3MU|Eth-Trunk6.150|up|up|LAG A BSCRAF01 A-CP
RAF3MU|Eth-Trunk6.250|up|up|LAG A BSCRAF01 A-UP
RAF3MU|Eth-Trunk7|up|down|LAG A RAFRNC01 IUPS_UP_A
RAF3MU|Eth-Trunk7.180|up|up|LAG A RAFRNC01 IUPS-CP_A
RAF3MU|Eth-Trunk7.880|up|up|LAG A RAFRNC01 IUPS-UP_A
RAF3MU|Eth-Trunk8|up|down|LAG A RAFRNC01 IUPS_UP_B
RAF3MU|Eth-Trunk8.181|up|up|LAG A RAFRNC01 IUPS-CP_B
RAF3MU|Eth-Trunk8.881|up|up|LAG A RAFRNC01 IUPS-UP_B
RAF3MU|Eth-Trunk9|up|down|LAG A RAFRNC01 IUCS_UP_C
RAF3MU|Eth-Trunk9.140|up|up|LAG A RAFRNC01 IUCS-CP_C
RAF3MU|Eth-Trunk9.220|up|up|LAG A RAFRNC01 IUCS-UP_C
RAF3MU|Eth-Trunk9.601|up|up|LAG A RAFRNC01 IUCS_UP_C
RAF3MU|Eth-Trunk10|up|down|LAG A RAFRNC01 Iub3G_A
RAF3MU|Eth-Trunk10.300|up|up|LAG A RAFRNC01 Iub3G_A
RAF3MU|Eth-Trunk11|up|down|LAG A RAFRNC01 Iub3G_B
RAF3MU|Eth-Trunk11.301|up|up|LAG A RAFRNC01 Iub3G_B
RAF3MU|Eth-Trunk12|down|down|LAG A RAFRNC01 Iub3G_C
RAF3MU|Eth-Trunk12.302|down|down|LAG A RAFRNC01 Iub3G_C
RAF3MU|Eth-Trunk13|down|down|LAG A RAFRNC01 Iub3G_D
RAF3MU|Eth-Trunk13.303|down|down|LAG A RAFRNC01 Iub3G_D
RAF3MU|Eth-Trunk14|*down|down|SUN1ME_Eth-Trunk1 - EQUIPO APAGADO
RAF3MU|Eth-Trunk14.104|*down|down|HSI LHMG01 - RSC2MB
RAF3MU|Eth-Trunk14.105|down|down|HSI SUN41D - RSC2MB
RAF3MU|Eth-Trunk14.106|down|down|HSI SUN51D - RSC2MB
RAF3MU|Eth-Trunk14.107|down|down|DDEIP 5M - SANCOR COOP. DE SEGUROS LTDA.- Ref:674759 - Lin:2823497
RAF3MU|Eth-Trunk14.125|down|down|ADSL SUN31D - 9702707
RAF3MU|Eth-Trunk14.2144|down|down|GHDSL - SUN31D - Linea 9702707
RAF3MU|Eth-Trunk14.4092|down|down|GESTION_SUN1ME
RAF3MU|Eth-Trunk14.36212|*down|down|SIGN. - NGN MA5600T LEHMANN SANTA FE -LHMG01- Linea 11002228
RAF3MU|Eth-Trunk14.36213|*down|down|RTP - NGN MA5600T LEHMANN SANTA FE -LHMG01- Linea 11002228
RAF3MU|Eth-Trunk14.36214|*down|down|GESTION - NGN MA5600T LEHMANN SANTA FE -LHMG01- Linea 11002228
RAF3MU|Eth-Trunk15|down|down|CONEXION SDH HWI 35RFL02_G4/6-G4/8
RAF3MU|Eth-Trunk16|up|down|LAG PTN HWI 75RAF01_G8/2-11/2
RAF3MU|Eth-Trunk16.1251|up|up|Gestion de TX - 35SCR01 -SAN CRISTOBAL -Linea.80000347
RAF3MU|Eth-Trunk16.2209|up|up|TIP_TIPINTERSERVICERAF(2851353)REFE:791757_Ges.TECO
RAF3MU|Eth-Trunk16.10107|up|up|HSI NGN_CATG01_HUAWEI-MA5600T_L 11004222
RAF3MU|Eth-Trunk16.10552|up|up|VPN PLATINUM - SERVICIO PCO PROVINCIAL DE DEFENSA PENAL - REF: 944803 - LINEA: 2869286 - ACC: #####PORT ACCESO#####
RAF3MU|Eth-Trunk16.13616|up|up|HSI NGN_SSAG01_HUAWEI-MA5600T_L 11002052
RAF3MU|Eth-Trunk16.22052|up|up|INTEGRA - BAZAR AVENIDA S.A. - REF:673791 LIN:2811639 ACC:VOLCADO
RAF3MU|Eth-Trunk16.22653|up|up|description GHDSL - MOI11D ZTE 9800
RAF3MU|Eth-Trunk16.27183|up|up|[RTP][SIGN] SCRG01 HUA 5000 [NGN]
RAF3MU|Eth-Trunk16.27184|up|up|[GESTION][IPMB] SCRG01 HUA 5000 [NGN]
RAF3MU|Eth-Trunk16.27185|up|up|[GESTION][PVM] SCRG01 HUA 5000 [NGN]
RAF3MU|Eth-Trunk16.31072|up|up|SIGN. MA5600T NGN_CATG01_HUAWEI-MA5600T_L 11004222
RAF3MU|Eth-Trunk16.31073|up|up|RTP MA5600T NGN_CATG01_HUAWEI-MA5600T_L 11004222
RAF3MU|Eth-Trunk16.31074|up|up|GESTION MA5600T NGN_CATG01_HUAWEI-MA5600T_L 11004222
RAF3MU|Eth-Trunk16.104330|up|up|GESTION SSU Sunchales - Linea: 80000844
RAF3MU|Eth-Trunk16.104613|up|up|VPN PLATINUM - BAZAR AVENIDA S.A. - REF: 748190 - LINEA: 2811639 - ACC: 55RFR01/03/GE_OP_02
RAF3MU|Eth-Trunk16.120410|up|up|- EVENTO PTE_ROCA - L2L
RAF3MU|Eth-Trunk16.176230|up|up|GESTION TX REIP Sunchales - Linea: 60000624
RAF3MU|Eth-Trunk16.259423|up|up|[TAT] Gestion Tx 35RFR01s Rafaela Rpt Santa Fe 2 - Linea.80000346
RAF3MU|Eth-Trunk16.336162|up|up|[SIGN] SSAG01 HUA 5600_T [NGN]
RAF3MU|Eth-Trunk16.336163|up|up|[RTP] SSAG01 HUA 5600_T [NGN]
