shelfname|interface|portoperationalstate|protocol|info1
SFR3MU|100GE2/0/0|up|up|Enlace 100G DWDM MUN1NA_G0/19/0/2 Linea:15007829 - UPLINK NA
SFR3MU|100GE2/0/1|down|down|
SFR3MU|100GE6/0/0|up|up|Enlace 100G DWDM BEL1NA_G0/19/0/2 Linea:15007828 - UPLINK NA
SFR3MU|100GE6/0/1|down|down|
SFR3MU|Eth-Trunk21|up|down|LAG 1+1 LFEG01 9703005
SFR3MU|Eth-Trunk21.3|up|up|[RTP][SIGN] LFEG01 HUA 5000 [NGN]
SFR3MU|Eth-Trunk21.4|up|up|[GESTION][IPMB] LFEG01 HUA 5000 [NGN]
SFR3MU|Eth-Trunk21.5|up|up|[GESTION][PVM] LFEG01 HUA 5000 [NGN]
SFR3MU|Eth-Trunk21.3101|up|up|[TOIP] LFEG01 HUA 5000 [ADS2]
SFR3MU|Eth-Trunk21.3616|up|up|1VPN GOLD - YPF SA - REF:875921 LIN:2856149 ACC:LFEG01 0/14/0
SFR3MU|Eth-Trunk21.4101|up|up|[DATOS] LFEG01 HUA 5000 [ADS2][L2]
SFR3MU|GE0/0/0|down|down|
SFR3MU|GE1/0/0|up|down|
SFR3MU|GE1/0/1|up|down|VPN GECOMTEL CTR San Fernando - Lin:5619572 - Ref:356728 - TRZ4393
SFR3MU|GE1/0/1.40|up|up|VPN GECOMTEL CTR San Fernando - Lin:5619572 - Ref:356728
SFR3MU|GE1/0/1.524|*down|down|L2L_GECOMTEL(5619572)_RBUESAN0-1_a(RBUEBEL1-2 y RBUEMUN2-1)(5619572)REFE:33210_Servicio
SFR3MU|GE1/0/1.624|*down|down|L2L_GECOMTEL(5619572)_RBUESAN0-1_a(RBUEBEL1-2 y RBUEMUN2-1)(5619572)REFE:33210_Servicio
SFR3MU|GE1/0/2|up|down|## MOLINOS RIO DE LA PLATA - VPN PLATINUM REF:220947 - INTEGRA REF:220952 ##
SFR3MU|GE1/0/2.151|up|up|### VPN PLATINUM REF:220947 - MOLINOS RIO DE LA PLATA ###
SFR3MU|GE1/0/2.198|up|up|### INTEGRA REF:220952 - MOLINOS RIO DE LA PLATA ###
SFR3MU|GE1/0/3|down|down|### VPN PLATINUM REF: 317874 - FINNING ARGENTINA SA - SECUNDARIO ###
SFR3MU|GE1/0/3.5|down|down|### VPN PLATINUM REF: 317874 - FINNING ARGENTINA SA - SECUNDARIO ###
SFR3MU|GE1/0/4|up|down|INTEGRA - CAMINOS SRL - REF:611128 LIN: 2738542 - TRZ14757
SFR3MU|GE1/0/4.5|up|up|INTEGRA - CAMINOS SRL - REF:611128 LIN: 2738542 - TRZ14757
SFR3MU|GE1/0/5|down|down|
SFR3MU|GE1/0/6|down|down|
SFR3MU|GE1/0/7|down|down|
SFR3MU|GE1/0/8|up|down|# VPN PLATINUM - ANSES - Referencia 892423 (migracion de Ref:229307 Lin:2706543 - TRZ46769 #
SFR3MU|GE1/0/8.8|up|up|# VPN PLATINUM - ANSES - Referencia 892423 (migracion de Ref:229307 Lin:2706543 - TRZ46769 #
SFR3MU|GE1/0/9|down|down|
SFR3MU|GE1/0/10|up|down|INTEGRA - GLAXOSMITHKLINE ARGENTINA S.A. - REF: 610818 - LINEA: 2781606 - ACC: SFR3MU 1/0/10
SFR3MU|GE1/0/10.25|up|up|INTEGRA - GLAXOSMITHKLINE ARGENTINA S.A. - REF: 610818 - LINEA: 2781606 - ACC: SFR3MU 1/0/10
SFR3MU|GE1/0/11|up|down|INTEGRA - HAUS BROT SA - REF: 605130 - LINEA: 2777183 - ACC: SFR3MU 1/0/11
SFR3MU|GE1/0/11.11|up|up|CENTRAL VIRTUAL ACCESOS - HAUS BROT SA - REF: 655020 - LINEA: 2777183 - ACC: SFR3MU 1/0/11
SFR3MU|GE1/0/11.17|up|up|INTEGRA - HAUS BROT SA - REF: 605130 - LINEA: 2777183 - ACC: SFR3MU 1/0/11 (CON MITIGACION DE ATAQUES)
SFR3MU|GE1/0/12|up|down|INTEGRA - RICOH ARGENTINA SA - REF: 294394 - LINEA: 2733465 - - ACC: SFR3MU 1/0/12
SFR3MU|GE1/0/12.26|up|up|INTEGRA - RICOH ARGENTINA SA - REF: 294394 - LINEA: 2733465 - - ACC: SFR3MU 1/0/12
SFR3MU|GE1/0/13|up|down|INTEGRA - ARGENTOIL S A - REF: 245342 - LINEA: 2712146 - ACC: SFR3MU 1/0/13
SFR3MU|GE1/0/13.29|up|up|INTEGRA - ARGENTOIL S A - REF: 245342 - LINEA: 2712146 - ACC: SFR3MU 1/0/13
SFR3MU|GE1/0/14|down|down|
SFR3MU|GE1/0/15|down|down|
SFR3MU|GE1/0/16|down|down|
SFR3MU|GE1/0/17|down|down|
SFR3MU|GE1/0/18|down|down|
SFR3MU|GE1/0/19|down|down|
SFR3MU|GE1/0/20|down|down|
SFR3MU|GE1/0/21|down|down|
SFR3MU|GE1/0/22|down|down|
SFR3MU|GE1/0/23|up|down|NGN - SFRG01 -SAN FERNANDO- Linea 9702966
SFR3MU|GE1/0/23.3|up|up|[RTP][SIGN] SFRG01 HUA 5000 [NGN]
SFR3MU|GE1/0/23.4|up|up|[GESTION][IPMB] SFRG01 HUA 5000 [NGN]
SFR3MU|GE1/0/23.5|up|up|[GESTION][PVM] SFRG01 HUA 5000 [NGN]
SFR3MU|GE1/1/0|down|down|
SFR3MU|GE1/1/1|up|down|AA2000 - VPN REF:593489 INTEGRA REF:593854 L:2771137+ TIP+VPN_TP_LIN:5679012 + DNM REF:598089 + POLICIA R:941111 - AEROPUERTO SAN FERNANDO
SFR3MU|GE1/1/1.9|up|up|VPN - AA2000 - REF:593489 LIN:2771137
SFR3MU|GE1/1/1.11|up|up|VPN AEROPUERTO SAN FERNANDO (asociada 593854 AA2000)
SFR3MU|GE1/1/1.12|up|up|Integra Platinum - AA2000 - Ref:593854 Lin:2771137 - Gestion CPE
SFR3MU|GE1/1/1.13|up|up|Integra Platinum - AA2000 - Ref:593854 Lin:2771137
SFR3MU|GE1/1/1.20|up|up|INTEGRA_AA2000.SA_Ref.593489/593854_Linea.2771137+ TIP+VPN_TP_Linea.5679012
SFR3MU|GE1/1/1.22|up|up|## VPN - Dir Nacional Migraciones - Ref:598089 (asociada 593854 AA2000) ##
SFR3MU|GE1/1/1.23|up|down|INTEGRA - POLICIA FEDERAL - REF:941111 - LIN:2868240 (Refe relacionada 593854)
SFR3MU|GE1/1/2|up|up|[TAT] CONEXION a Central SFR3 - Linea:15005889 - Vlanif137
SFR3MU|GE1/1/3|up|up|[TAT] CONEXION a Central SFR4 - Linea:15006271 - Vlanif192
SFR3MU|GE1/1/4|up|up|[TAT] CONEXION a Central SFR3 - Linea:15005915 - Vlanif137
SFR3MU|GE1/1/5|up|up|[TAT] CONEXION a Central SFR4 - Linea:15006272 - Vlanif192
SFR3MU|GE1/1/6|up|down|eNODOB BBU3_SFR - NPU888 (945573) NODOB (945573) (945573)
SFR3MU|GE1/1/6.1000|up|up|eNODOB - BBU3_SFR - NPU888 - (1) (945573) - S1
SFR3MU|GE1/1/6.1001|up|up|eNODOB - BBU3_SFR - NPU888 - (2) (945573) - S1MME
