shelfname|interface|portoperationalstate|protocol|info1
SVE1MU|Eth0/0/0|up|up|HUAWEI, Ethernet0/0/0 Interface
SVE1MU|GE0/1/0|up|down|CONEXION A 1NVIQ01_11 - Linea.80002385
SVE1MU|GE0/1/0.1223|up|up|UPLINK A ELD3MU Eth-trunk8.1223 1NVIQ01_11 - DCN-GESTION
SVE1MU|GE0/1/0.1224|up|up|UPLINK A ELD3MU Eth-trunk8.1224 1NVIQ01_11 - 2G
SVE1MU|GE0/1/0.1225|up|up|UPLINK A ELD3MU Eth-trunk8.1225 1NVIQ01_11 - 3G
SVE1MU|GE0/1/0.1226|up|up|UPLINK A ELD3MU Eth-trunk8.1226 1NVIQ01_11 - S1
SVE1MU|GE0/1/0.1227|up|up|UPLINK A ELD3MU Eth-trunk8.1227 1NVIQ01_11 - S1MME
SVE1MU|GE0/1/0.1228|up|up|UPLINK A ELD3MU Eth-trunk8.1228 1NVIQ01_11 - GOMRAN
SVE1MU|GE0/1/0.1229|up|up|UPLINK A ELD3MU Eth-trunk8.1229 1NVIQ01_11 - POPUSA
SVE1MU|GE0/1/0.1230|up|up|UPLINK A ELD3MU Eth-trunk8.1230 1NVIQ01_11 - NGN
SVE1MU|GE0/1/0.1231|up|up|UPLINK A ELD3MU Eth-trunk8.1231 1NVIQ01_11 - SDH HUAWEI
SVE1MU|GE0/1/0.1232|up|up|GESTION - ELD3MU Eth-Trunk 1.1232Linea.80002385
SVE1MU|GE0/1/1|up|down|eNODOB SAN_VICENTE_REP - A18-S010(439965) NODOB (687751) (687752)
SVE1MU|GE0/1/1.1000|up|up|eNODOB - SAN_VICENTE_REP - A18-S010 - (1) (439965) - S1
SVE1MU|GE0/1/1.1001|up|up|eNODOB - SAN_VICENTE_REP - A18-S010 - (2) (439965) - S1MME
SVE1MU|GE0/1/1.1002|up|up|eNODOB - SAN_VICENTE_REP - A18-S010 - (3) (439965) - GOMRAN
