shelfname|interface|portoperationalstate|protocol|info1
VDO2MU|Eth-Trunk4|up|down|LAG 1+1 HSI VDOM01 13002288
VDO2MU|Eth-Trunk4.1028|up|up|VDSLCORP VDOM01 A COE1MB
VDO2MU|Eth-Trunk4.2101|up|up|[GESTION] VDOM01 ALU 7302 [VDS2]
VDO2MU|Eth-Trunk4.3101|up|up|[TOIP] VDOM01 ALU 7302 [VDS2]
VDO2MU|Eth-Trunk4.4101|up|up|[DATOS] VDOM01 ALU 7302 [VDS2][L3]
VDO2MU|GE0/0/0|down|down|
VDO2MU|GE1/0/0|up|down|VPN-CV-CORP+L2L GECOMTEL CTR Villa Dolores CV - Refe: 917065 - Lin: XXXXX
VDO2MU|GE1/0/0.3354|up|up|VPN-SISTEMAS-CABLEVISION-CORP - CTR V DOLORES - Edif CV - Ref:917065
VDO2MU|GE1/0/1|up|down|L2L GECOMTEL - Lin.9004731/32
VDO2MU|GE1/0/1.1060|up|up|L2L CTR VILLA DOLORES <-> CEN4MU Gig 16/1/21.1060 - Lin:9004731
VDO2MU|GE1/0/1.1068|up|up|L2L CTR VILLA DOLORES <-> COE4MU Gig16/1/21.1068 - Lin:9004732
VDO2MU|GE1/0/2|up|down|eNODOB VILLA_DOLORES_CORDIEZ - A03-S475 (447589) NODOB (520581) (520562)
VDO2MU|GE1/0/2.1000|up|up|eNODOB - VILLA_DOLORES_POSTE_9//11 - A03-S504//A03-S505 - (1) (522567) - S1
VDO2MU|GE1/0/2.1001|up|up|eNODOB - VILLA_DOLORES_POSTE_9//11 - A03-S504//A03-S505 (2) (522567) - S1MME
VDO2MU|GE1/0/2.1002|up|up|eNODOB - VILLA_DOLORES_POSTE_9//11 - A03-S504//A03-S505 (3) (522567) - GOMRAN
VDO2MU|GE1/0/2.1003|up|up|NODOB - VILLA_DOLORES_POSTE_9//11 - A03-S504//A03-S505 (4) (522596) - 3G
VDO2MU|GE1/0/2.1004|up|up|NODOB - VILLA_DOLORES_POSTE_9//11 - A03-S504//A03-S505 (5) (522582) - 2G
VDO2MU|GE1/0/3|up|down|
VDO2MU|GE1/0/3.12411000|up|up|eNODOB - VILLA_DOLORES_POSTE_14-54 - A03-S508 - (1) (522565) - S1
VDO2MU|GE1/0/3.12411001|up|up|eNODOB - VILLA_DOLORES_POSTE_14-54 - A03-S508 - (2) (522565) - S1MME
VDO2MU|GE1/0/3.12411002|up|up|eNODOB - VILLA_DOLORES_POSTE_14-54 - A03-S508 - (3) (522565) - GOMRAN
VDO2MU|GE1/0/3.12411003|up|up|eNODOB - VILLA_DOLORES_POSTE_14-54 - A03-S508 - (1) (522594) - 3G
VDO2MU|GE1/0/3.12411004|up|up|eNODOB - VILLA_DOLORES_POSTE_14-54 - A03-S508 - (1) (522580) - 2G
