shelfname|interface|portoperationalstate|protocol|info1
BEL6MU|BE1|up|up|[ACCESO HSI][BE] 3H011C 15002921
BEL6MU|BE1.2101|up|up|[GESTION] 3H011C ECI HIFS [VDS2]
BEL6MU|BE1.3101|up|up|[TOIP] 3H011C ECI HIFS [VDS2]
BEL6MU|BE1.4101|up|up|[DATOS] 3H011C ECI HIFS [VDS2][L3]
BEL6MU|BE1.4101.pppoe2|up|up| 
BEL6MU|BE1.4101.pppoe3|up|up| 
BEL6MU|BE1.4101.pppoe4|up|up| 
BEL6MU|BE1.4101.pppoe5|up|up| 
BEL6MU|BE1.4101.pppoe6|up|up| 
BEL6MU|BE1.4101.pppoe7|up|up| 
BEL6MU|BE1.4101.pppoe8|up|up| 
BEL6MU|BE1.4101.pppoe9|up|up| 
BEL6MU|BE1.4101.pppoe11|up|up| 
BEL6MU|BE1.4101.pppoe12|up|up| 
BEL6MU|BE1.4101.pppoe13|up|up| 
BEL6MU|BE1.4101.pppoe14|up|up| 
BEL6MU|BE1.4101.pppoe15|up|up| 
BEL6MU|BE1.4101.pppoe17|up|up| 
BEL6MU|BE1.4101.pppoe18|up|up| 
BEL6MU|BE1.4101.pppoe19|up|up| 
BEL6MU|BE1.4101.pppoe23|up|up| 
BEL6MU|BE1.4101.pppoe24|up|up| 
BEL6MU|BE1.4101.pppoe26|up|up| 
BEL6MU|BE1.4101.pppoe27|up|up| 
BEL6MU|BE1.4101.pppoe28|up|up| 
BEL6MU|BE1.4101.pppoe29|up|up| 
BEL6MU|BE1.4101.pppoe30|up|up| 
BEL6MU|BE1.4101.pppoe31|up|up| 
BEL6MU|BE1.4101.pppoe32|up|up| 
BEL6MU|BE1.4101.pppoe33|up|up| 
BEL6MU|BE1.4101.pppoe35|up|up| 
BEL6MU|BE1.4101.pppoe190|up|up| 
BEL6MU|BE1.4101.pppoe193|up|up| 
BEL6MU|BE1.4101.pppoe194|up|up| 
BEL6MU|BE1.4101.pppoe195|up|up| 
BEL6MU|BE1.4101.pppoe198|up|up| 
BEL6MU|BE1.4101.pppoe200|up|up| 
BEL6MU|BE1.4101.pppoe201|up|up| 
BEL6MU|BE1.4101.pppoe202|up|up| 
BEL6MU|BE1.4101.pppoe204|up|up| 
BEL6MU|BE1.4101.pppoe205|up|up| 
BEL6MU|BE1.4101.pppoe207|up|up| 
BEL6MU|BE1.4101.pppoe209|up|up| 
BEL6MU|BE1.4101.pppoe210|up|up| 
BEL6MU|BE1.4101.pppoe214|up|up| 
BEL6MU|BE1.4101.pppoe216|up|up| 
BEL6MU|BE1.4101.pppoe217|up|up| 
BEL6MU|BE1.4101.pppoe219|up|up| 
BEL6MU|BE1.4101.pppoe220|up|up| 
BEL6MU|BE1.4101.pppoe222|up|up| 
BEL6MU|BE1.4101.pppoe223|up|up| 
BEL6MU|BE1.4101.pppoe225|up|up| 
BEL6MU|BE1.4101.pppoe230|up|up| 
BEL6MU|BE1.4101.pppoe233|up|up| 
BEL6MU|BE1.4101.pppoe234|up|up| 
BEL6MU|BE1.4101.pppoe237|up|up| 
BEL6MU|BE1.4101.pppoe238|up|up| 
BEL6MU|BE1.4101.pppoe240|up|up| 
BEL6MU|BE1.4101.pppoe242|up|up| 
BEL6MU|BE1.4101.pppoe246|up|up| 
BEL6MU|BE1.4101.pppoe247|up|up| 
BEL6MU|BE1.4101.pppoe248|up|up| 
BEL6MU|BE2|up|up|[ACCESO HSI][BE] 3H111C 15002922
BEL6MU|BE2.2101|up|up|[GESTION] 3H111C ECI HIFS [VDS2]
BEL6MU|BE2.3101|up|up|[TOIP] 3H111C ECI HIFS [VDS2]
BEL6MU|BE2.4101|up|up|[DATOS] 3H111C ECI HIFS [VDS2][L3]
BEL6MU|BE2.4101.pppoe2|up|up| 
BEL6MU|BE2.4101.pppoe3|up|up| 
BEL6MU|BE2.4101.pppoe4|up|up| 
BEL6MU|BE2.4101.pppoe5|up|up| 
BEL6MU|BE2.4101.pppoe7|up|up| 
BEL6MU|BE2.4101.pppoe9|up|up| 
BEL6MU|BE2.4101.pppoe10|up|up| 
