shelfname|interface|portoperationalstate|protocol|info1
COE2MB|BE1|up|up|Enlace 20G a COE-SE-2
COE2MB|BE1.102|admin-down|admin-down|VPNGESTION-EDGE-CABLE(linea13005207)Gest.Cable.(ExCDN)
COE2MB|BE1.103|admin-down|admin-down|VPNGESTION-EDGE-ANEVIA(linea13005207)Gest.Cable.(ExCDN)
COE2MB|BE1.200|up|up|CONEXION CDN ANEVIA - STREAMER CORDOBA 2
COE2MB|BE2|up|up|[HRP] COE2MB 2 [L3] [HSI]
COE2MB|BE2.239|admin-down|admin-down|DSLAM PBA11D
COE2MB|BE2.332|admin-down|admin-down|GESTION PBA11D ZTE9210
COE2MB|BE2.11001501|admin-down|admin-down|GESTION SVCC1D ZTE 9210
COE2MB|BE2.12001001|up|up|[TOIP] 43KG01 HUA 5603T [VDS2]
COE2MB|BE2.12002901|up|up|[TOIP] EKEG01D HUA UA5000 [ADSL]
COE2MB|BE2.12009001|up|up|[TOIP] SDE91D HUA 5600 [ADS2]
COE2MB|BE2.12388101|up|down| 
COE2MB|BE2.13001501|admin-down|admin-down|[DATOS] SVCC1D  ZTE 9210 [ADS2]
COE2MB|BE2.13002901|up|up|[DATOS] EKEG01 HUA 5000 [ADS2]
COE2MB|BE2.130103050|admin-down|admin-down| 
COE2MB|BE2.1103017901|admin-down|admin-down|GESTION DSLAM VRE11D - VPN-GESTION-ADSL
COE2MB|BE2.1104036101|admin-down|admin-down|[GESTION] ARGN01 ALC 7302 [GPON]
COE2MB|BE2.1104045201|up|down| 
COE2MB|BE2.1104048601|admin-down|admin-down|[GESTION] XDHC01 HUA 5616 [VDS2]
COE2MB|BE2.1109090401|admin-down|admin-down|GESTION BRR11D HUAWEI5600
COE2MB|BE2.1112306301|admin-down|admin-down|GESTION COEB1D ZTE9800
COE2MB|BE2.1199290501|up|up|GESTION GUI11D HUAWEI5600
COE2MB|BE2.1299290501|up|up|[TOIP] GUI11D HUA 5600 [ADS2]
COE2MB|BE2.1301001001|up|up|[DATOS] CDRN01 10 HUA 5600_T [GPON]
COE2MB|BE2.1301001101|up|up|[DATOS] CDRN01 11 HUA 5600_T [GPON]
COE2MB|BE2.1301001201|up|up|[DATOS] CDRN01 12 HUA 5600_T [GPON]
COE2MB|BE2.1301001301|up|up|[DATOS] CDRM01 13 HUA 5600_T [GPON]
COE2MB|BE2.1301001401|up|up|[DATOS] CDRM01 14 HUA 5600_T [GPON]
COE2MB|BE2.1301001501|up|up|[DATOS] CDRM01 15 HUA 5600_T [GPON]
COE2MB|BE2.1301030501|up|up|DSLAM_NGN 3MZG01
COE2MB|BE2.1301035601|admin-down|admin-down|DSLAM_NGN AQVG01
COE2MB|BE2.1301035801|admin-down|admin-down|DSLAM_NGN AQZG01
COE2MB|BE2.1303017901|admin-down|admin-down|[DATOS] VRE11D ZTE 9800 [ADS2]
COE2MB|BE2.1304036101|up|up|[DATOS] ARGN01 00 ALC 7302 [GPON]
COE2MB|BE2.1304048601|admin-down|admin-down|[DATOS] XDHC01 HUA 5616 [VDS2]
COE2MB|BE2.1309090401|admin-down|admin-down|[DATOS] BRR11D HUA 5600 [ADS2]
COE2MB|BE2.1399290501|up|up|[DATOS] GUI11D HUA 5600 [ADS2]
COE2MB|BE3|up|up|[HRP] COE2MB 3 [L3] [HSI]
COE2MB|BE3.1300720|admin-down|admin-down| 
COE2MB|BE3.11003601|up|up|GESTION WX5C01 HUAWEI5616
COE2MB|BE3.11004801|up|up|GESTION WX611C ALCATEL7330
COE2MB|BE3.11005801|up|up|GESTION WZJC01 HWMA5616
COE2MB|BE3.11006101|admin-down|admin-down| 
COE2MB|BE3.11007201|admin-down|admin-down| 
COE2MB|BE3.11186101|admin-down|admin-down|[GESTION] VDR11D HUA 5600 [ADS2]
COE2MB|BE3.11215801|up|up|[GESTION]  AUT11D  HUA 5100  [ADSL]
COE2MB|BE3.11218901|admin-down|admin-down|[GESTION] SDE91D HUA 5600 [ADS2]                
COE2MB|BE3.11391701|admin-down|admin-down|[GESTION]  HEO11D  HUA 5100  [ADSL]
COE2MB|BE3.11396001|admin-down|admin-down|[GESTION] D1I11C HUA 5616 [VDS2]                
COE2MB|BE3.12001101|up|up|[TOIP] LCZG01 HUA 5000 [ADS2]
COE2MB|BE3.12003601|up|up|[TOIP] WX5C01 HUA 5616 [ADS2]
COE2MB|BE3.12004801|up|up|[TOIP] WX611C ALC 7330 [ADS2]
COE2MB|BE3.12005801|up|up|[TOIP] WZJC01 HUA 5616 [ADS2]
COE2MB|BE3.12006101|admin-down|admin-down| 
