shelfname|interface|portoperationalstate|protocol|info1
CTM1MB|BE1|up|up|[HRP] CTM1MB 1 [L3] [HSI]
CTM1MB|BE1.239|admin-down|admin-down|DSLAM PBA11D
CTM1MB|BE1.1100601|admin-down|admin-down| 
CTM1MB|BE1.1200601|admin-down|admin-down| 
CTM1MB|BE1.1300601|admin-down|admin-down| 
CTM1MB|BE1.11003801|admin-down|admin-down|GESTION 8L4C01 MA5603
CTM1MB|BE1.11003901|admin-down|admin-down|GESTION 8UIC01 MA5603
CTM1MB|BE1.11005801|admin-down|admin-down|GESTION 8U3C01 MA5800T
CTM1MB|BE1.11005901|admin-down|admin-down|GESTION 8U4C01 MA5603T
CTM1MB|BE1.11006101|admin-down|admin-down|GESTION 8L5C01 MA5603T
CTM1MB|BE1.11006601|admin-down|admin-down|GESTION 8R1C01 MA5603T
CTM1MB|BE1.11006701|admin-down|admin-down|GESTION 8R0C01 MA5603T
CTM1MB|BE1.11006801|admin-down|admin-down|GESTION 8Q8C01 MA5603T
CTM1MB|BE1.11007001|admin-down|admin-down|GESTION 8V6C01 MA5603T
CTM1MB|BE1.11007101|admin-down|admin-down|GESTION 8U1C01 MA5603T
CTM1MB|BE1.11007401|admin-down|admin-down|GESTION 8S9C01 MA5603T
CTM1MB|BE1.11008101|admin-down|admin-down|GESTION 8V7C01 MA5603T
CTM1MB|BE1.11008401|admin-down|admin-down|GESTION 41AC01 MA5603T
CTM1MB|BE1.11008901|up|up|GESTION 6FO11C MA5603
CTM1MB|BE1.11009001|up|up|GESTION 6FP11C MA5603
CTM1MB|BE1.11009201|admin-down|admin-down|GESTION 419C01 MA5603T
CTM1MB|BE1.11009801|admin-down|admin-down|GESTION 8LJC01 MA5603
CTM1MB|BE1.12000901|up|up|[TOIP] HUIG01 HUA 5616 [ADS2]
CTM1MB|BE1.12003301|up|up|[TOIP] 3TOG01 HUA 5603T [ADS2]
CTM1MB|BE1.13000901|up|up|DSLAM HUIG01 MA5616
CTM1MB|BE1.13003301|up|up|[DATOS] 3TOG01 HUA 5603_T [VDS2]
CTM1MB|BE1.13003801|admin-down|admin-down|[DATOS] 8L4C01 HUA 5603_T [VDS2]
CTM1MB|BE1.13003901|admin-down|admin-down|[DATOS] 8UIC01 HUA 5603_T [VDS2]
CTM1MB|BE1.13005801|admin-down|admin-down|[DATOS] 8U3C01 HUA 5603_T [VDS2]
CTM1MB|BE1.13005901|admin-down|admin-down|[DATOS] 8U4C01 HUA 5603_T [VDS2]
CTM1MB|BE1.13006101|admin-down|admin-down|[DATOS] 8L5C01 HUA 5603_T [VDS2]
CTM1MB|BE1.13006601|admin-down|admin-down|[DATOS] 8R1C01 HUA 5603_T [VDS2]
CTM1MB|BE1.13006701|admin-down|admin-down|[DATOS] 8R0C01 HUA 5603_T [VDS2]
CTM1MB|BE1.13006801|admin-down|admin-down|[DATOS] 8Q8C01 HUA 5603_T [VDS2]
CTM1MB|BE1.13007001|admin-down|admin-down|[DATOS] 8V6C01 HUA 5603_T [VDS2]
CTM1MB|BE1.13007101|admin-down|admin-down|[DATOS] 8U1C01 HUA 5603_T [VDS2]
CTM1MB|BE1.13007401|admin-down|admin-down|[DATOS] 8S9C01 HUA 5603_T [VDS2]
CTM1MB|BE1.13008101|admin-down|admin-down|[DATOS] 8V7C01 HUA 5603_T [VDS2]
CTM1MB|BE1.13008401|admin-down|admin-down|[DATOS] 41AC01 HUA 5603_T [VDS2]
CTM1MB|BE1.13008901|up|up|DSLAM 6FO11C MA5603
CTM1MB|BE1.13009001|up|up|DSLAM 6FP11C MA5603
CTM1MB|BE1.13009101|up|up|[DATOS] 8Q6C01 HUA 5603_T [VDS2]
CTM1MB|BE1.13009201|admin-down|admin-down|[DATOS] 419C01 HUA 5603_T [VDS2]
CTM1MB|BE1.13009801|admin-down|admin-down|[DATOS] 8LJC01 HUA 5603_T [VDS2]
CTM1MB|BE1.13010201|up|up|[DATOS] 3X6G01 HUA 5603_T [VDS2]
CTM1MB|BE1.13203301|admin-down|admin-down|[DATOS] FJ1G01 HUA 5000 [ADS2]
CTM1MB|BE1.13398702|up|up|CTM82D
CTM1MB|BE1.13398703|up|up|CTM83D
CTM1MB|BE1.13398704|up|up|CTM84D
CTM1MB|BE1.13399902|admin-down|admin-down|CTM72D
CTM1MB|BE1.13399903|admin-down|admin-down|CTM73D
CTM1MB|BE1.13399904|admin-down|admin-down|CTM74D
CTM1MB|BE1.21002801|up|down| 
CTM1MB|BE1.111003801|admin-down|admin-down| 
CTM1MB|BE1.121003801|admin-down|admin-down| 
CTM1MB|BE1.131003801|admin-down|admin-down| 
CTM1MB|BE1.1112090401|admin-down|admin-down|GESTION MNR11D HUAWEI5600
CTM1MB|BE1.1199001701|up|up|GESTION LAD11D HW5600
CTM1MB|BE1.1299010201|up|up|[TOIP] VPQG01 HUA 5616 [ADS2]
CTM1MB|BE1.1399001701|up|up|[DATOS] LAD11D HUA 5600 [ADS2]
CTM1MB|BE1.1399010201|up|up|ADSL VPQG01 MA5616
CTM1MB|BE2|up|up|[ACCESO NGN+HSI][BE] KT3G01 L:9704398
CTM1MB|BE2.3|up|up|[RTP] KT3G01 HUA 5000 L:9704398 [NGN]
CTM1MB|BE2.4|up|up|[GESTION] IPMB KT3G01 HUA 5000 L:9704398 [NGN]
CTM1MB|BE2.5|up|up|[GESTION] PVM KT3G01 HUA 5000 L:9704398 [NGN]
CTM1MB|BE2.4101|up|up|[DATOS] KT3G01 HUA 5000 L:9704398 [VDS2][L3]
CTM1MB|BE2.4101.pppoe19|up|up| 
CTM1MB|BE2.4101.pppoe36|up|up| 
CTM1MB|BE2.4101.pppoe78|up|up| 
CTM1MB|BE2.4101.pppoe83|up|up| 
CTM1MB|BE2.4101.pppoe89|up|up| 
CTM1MB|BE2.4101.pppoe176|up|up| 
CTM1MB|BE2.4101.pppoe193|up|up| 
CTM1MB|BE2.4101.pppoe241|up|up| 
CTM1MB|BE2.4101.pppoe266|up|up| 
CTM1MB|BE2.4101.pppoe291|up|up| 
CTM1MB|BE2.4101.pppoe298|up|up| 
CTM1MB|BE2.4101.pppoe330|up|up| 
CTM1MB|BE2.4101.pppoe406|up|up| 
CTM1MB|BE2.4101.pppoe415|up|up| 
CTM1MB|BE2.4101.pppoe416|up|up| 
CTM1MB|BE2.4101.pppoe446|up|up| 
CTM1MB|BE2.4101.pppoe466|up|up| 
CTM1MB|BE2.4101.pppoe476|up|up| 
CTM1MB|BE2.4101.pppoe514|up|up| 
CTM1MB|BE2.4101.pppoe521|up|up| 
CTM1MB|BE2.4101.pppoe525|up|up| 
CTM1MB|BE2.4101.pppoe567|up|up| 
CTM1MB|BE2.4101.pppoe570|up|up| 
CTM1MB|BE2.4101.pppoe597|up|up| 
CTM1MB|BE2.4101.pppoe598|up|up| 
CTM1MB|BE2.4101.pppoe627|up|up| 
CTM1MB|BE2.4101.pppoe636|up|up| 
CTM1MB|BE2.4101.pppoe643|up|up| 
CTM1MB|BE2.4101.pppoe644|up|up| 
CTM1MB|BE2.4101.pppoe648|up|up| 
CTM1MB|BE2.4101.pppoe649|up|up| 
CTM1MB|BE2.4101.pppoe654|up|up| 
CTM1MB|BE2.4101.pppoe669|up|up| 
CTM1MB|BE2.4101.pppoe794|up|up| 
CTM1MB|BE2.4101.pppoe920|up|up| 
CTM1MB|BE2.4101.pppoe931|up|up| 
CTM1MB|BE2.4101.pppoe948|up|up| 
CTM1MB|BE2.4101.pppoe968|up|up| 
CTM1MB|BE2.4101.pppoe987|up|up| 
CTM1MB|BE2.4101.pppoe1000|up|up| 
CTM1MB|BE2.4101.pppoe1020|up|up| 
CTM1MB|BE2.4101.pppoe1031|up|up| 
CTM1MB|BE2.4101.pppoe1071|up|up| 
CTM1MB|BE2.4101.pppoe1076|up|up| 
CTM1MB|BE2.4101.pppoe1090|up|up| 
CTM1MB|BE2.4101.pppoe1109|up|up| 
CTM1MB|BE2.4101.pppoe1140|up|up| 
CTM1MB|BE2.4101.pppoe1148|up|up| 
CTM1MB|BE2.4101.pppoe1156|up|up| 
CTM1MB|BE2.4101.pppoe1188|up|up| 
CTM1MB|BE2.4101.pppoe1193|up|up| 
CTM1MB|BE2.4101.pppoe1194|up|up| 
CTM1MB|BE2.4101.pppoe1203|up|up| 
CTM1MB|BE2.4101.pppoe1204|up|up| 
CTM1MB|BE2.4101.pppoe1205|up|up| 
CTM1MB|BE2.4101.pppoe1211|up|up| 
CTM1MB|BE2.4101.pppoe1228|up|up| 
CTM1MB|BE2.4101.pppoe1229|up|up| 
CTM1MB|BE2.4101.pppoe1233|up|up| 
CTM1MB|BE2.4101.pppoe1248|up|up| 
CTM1MB|BE2.4101.pppoe1252|up|up| 
CTM1MB|BE2.4101.pppoe1255|up|up| 
CTM1MB|BE2.4101.pppoe1262|up|up| 
CTM1MB|BE2.4101.pppoe1277|up|up| 
CTM1MB|BE2.4101.pppoe1278|up|up| 
CTM1MB|BE2.4101.pppoe1292|up|up| 
CTM1MB|BE2.4101.pppoe1302|up|up| 
CTM1MB|BE2.4101.pppoe1335|up|up| 
CTM1MB|BE2.4101.pppoe1343|up|up| 
CTM1MB|BE2.4101.pppoe1358|up|up| 
CTM1MB|BE2.4101.pppoe1385|up|up| 
CTM1MB|BE2.4101.pppoe1390|up|up| 
CTM1MB|BE2.4101.pppoe1400|up|up| 
CTM1MB|BE2.4101.pppoe1428|up|up| 
CTM1MB|BE2.4101.pppoe1444|up|up| 
CTM1MB|BE2.4101.pppoe1561|up|up| 
CTM1MB|BE2.4101.pppoe1565|up|up| 
CTM1MB|BE2.4101.pppoe1589|up|up| 
CTM1MB|BE2.4101.pppoe1596|up|up| 
CTM1MB|BE2.4101.pppoe1621|up|up| 
CTM1MB|BE2.4101.pppoe1714|up|up| 
CTM1MB|BE2.4101.pppoe1715|up|up| 
CTM1MB|BE2.4101.pppoe1724|up|up| 
CTM1MB|BE2.4101.pppoe1736|up|up| 
CTM1MB|BE2.4101.pppoe1750|up|up| 
CTM1MB|BE2.4101.pppoe1752|up|up| 
CTM1MB|BE2.4101.pppoe1767|up|up| 
CTM1MB|BE2.4101.pppoe1770|up|up| 
CTM1MB|BE2.4101.pppoe1771|up|up| 
CTM1MB|BE2.4101.pppoe1783|up|up| 
CTM1MB|BE2.4101.pppoe1785|up|up| 
CTM1MB|BE2.4101.pppoe1793|up|up| 
CTM1MB|BE2.4101.pppoe1798|up|up| 
CTM1MB|BE2.4101.pppoe1819|up|up| 
CTM1MB|BE2.4101.pppoe1824|up|up| 
CTM1MB|BE2.4101.pppoe1861|up|up| 
CTM1MB|BE2.4101.pppoe1875|up|up| 
CTM1MB|BE2.4101.pppoe1883|up|up| 
CTM1MB|BE2.4101.pppoe1893|up|up| 
CTM1MB|BE2.4101.pppoe1929|up|up| 
CTM1MB|BE2.4101.pppoe1933|up|up| 
CTM1MB|BE2.4101.pppoe1962|up|up| 
CTM1MB|BE2.4101.pppoe1984|up|up| 
CTM1MB|BE2.4101.pppoe2001|up|up| 
CTM1MB|BE2.4101.pppoe2010|up|up| 
CTM1MB|BE2.4101.pppoe2011|up|up| 
CTM1MB|BE2.4101.pppoe2036|up|up| 
CTM1MB|BE2.4101.pppoe2074|up|up| 
CTM1MB|BE2.4101.pppoe2082|up|up| 
CTM1MB|BE2.4101.pppoe2095|up|up| 
CTM1MB|BE2.4101.pppoe2102|up|up| 
CTM1MB|BE2.4101.pppoe2108|up|up| 
CTM1MB|BE2.4101.pppoe2115|up|up| 
CTM1MB|BE2.4101.pppoe2125|up|up| 
CTM1MB|BE2.4101.pppoe2128|up|up| 
CTM1MB|BE2.4101.pppoe2130|up|up| 
CTM1MB|BE2.4101.pppoe2132|up|up| 
CTM1MB|BE2.4101.pppoe2141|up|up| 
CTM1MB|BE2.4101.pppoe2143|up|up| 
CTM1MB|BE2.4101.pppoe2146|up|up| 
CTM1MB|BE2.4101.pppoe2148|up|up| 
CTM1MB|BE2.4101.pppoe2152|up|up| 
CTM1MB|BE2.4101.pppoe2172|up|up| 
CTM1MB|BE2.4101.pppoe2174|up|up| 
CTM1MB|BE2.4101.pppoe2180|up|up| 
CTM1MB|BE2.4101.pppoe2182|up|up| 
CTM1MB|BE2.4101.pppoe2184|up|up| 
