shelfname|interface|portoperationalstate|protocol|info1
RET1MB|BE1|up|up|[HRP] RET1MB 1 [L3] [HSI]
RET1MB|BE1.123456|up|up|DSLAM Prueba sonda - user sondaIntraway1 - linea 1147722830 - GLF74D
RET1MB|BE1.1107079801|up|up|GESTION SAM51D HW5100
RET1MB|BE1.1302023602|up|up|[DATOS] DAR22D HUA 5100 [ADSL]   
RET1MB|BE1.1302023603|up|up|[DATOS] DAR23D HUA 5100 [ADSL]   
RET1MB|BE1.1302023604|up|up|[DATOS] DAR24D HUA 5100 [ADSL]   
RET1MB|BE1.1302023605|up|up|[DATOS] DAR25D HUA 5100 [ADSL]   
RET1MB|BE1.1307079801|up|up|DSLAM SAM51D HW5100
RET1MB|BE1.1307079802|up|up| 
RET1MB|BE1.1307079803|up|up| 
RET1MB|BE1.1307079804|up|up| 
RET1MB|BE1.1307079805|up|up| 
RET1MB|BE2|down|down|HAIRPINNING in
RET1MB|BE3|down|down| 
RET1MB|BE3.10007501|down|down|VPN-TDATA-BCORIO - ADSL: 1143121168 - Acc:RET51D 6/7 - Suc.381
RET1MB|BE3.12009201|down|down| 
RET1MB|BE100|down|down|Enlace 10G a Plataforma de Virtualizacion NFV RETNFVTOR001 LAG-1
RET1MB|BE100.4000|down|down|Acceso 20G a vpn-nfv-tenant
RET1MB|BE100.4001|down|down|Acceso 20G a vpn-nfv-internal-api
RET1MB|BE100.4002|down|down|Acceso 20G a vpn-nfv-provisioning
RET1MB|BE100.4005|down|down|Acceso 20G a dcn-gestion
RET1MB|BE100.31503159|down|down|Conectividad L2L Plataforma NFV
RET1MB|BE102|down|down|Enlace 10G a Plataforma de Virtualizacion NFV RETNFVTOR001 LAG-2
RET1MB|BE200|up|up|HAIRPINNING in out
RET1MB|BE200.3978|up|up|Uplink HSI_NUNM01 - RET1MB - BE1
RET1MB|BE200.3979|up|up|Uplink HSI_DAR61D
RET1MB|BE200.3982|up|up|Uplink HSI_GLF81D - RET1MB - BE1
RET1MB|BE200.3989|up|up|Uplink HSI_LU3G01 - RET1MB
RET1MB|BE200.3991|up|up|Uplink HSI_LU4G01 - RET1MB
RET1MB|BE200.3993|up|up|Uplink HSI_DAR91D
RET1MB|BE200.3996|up|up|Uplink HSI_GLF31D - RET1MB
RET1MB|BE200.4000|up|up|Uplink HSI_SAM51D - RET1MB
RET1MB|BE300|down|down|HAIRPINNING in out
RET1MB|Lo0|up|up| 
RET1MB|Lo1|up|up|IP UNNUMBERED
RET1MB|Lo12|up|up|IP UNNUMBERED vpn-tdata-bcorio - VPN BRONZE INTERCARRIER - TASA - Banco rio
RET1MB|Lo26|up|up|IP UNNUMBERED VPN-gpba
