shelfname|interface|portoperationalstate|protocol|info1
SFE1MB|BE1|up|up|[HRP] SFE1MB 1 [L3] [HSI]
SFE1MB|BE1.239|admin-down|admin-down|DSLAM PBA11D
SFE1MB|BE1.11072001|admin-down|admin-down|GESTION RCO11D HUAWEI5600
SFE1MB|BE1.11250801|admin-down|admin-down|GESTION NEL11D HW5600
SFE1MB|BE1.11251001|admin-down|admin-down|GESTION SCC11D HW5600
SFE1MB|BE1.11281201|admin-down|admin-down|GESTION BIL11D HUAWEI5600
SFE1MB|BE1.12087701|admin-down|admin-down| 
SFE1MB|BE1.13072001|admin-down|admin-down|[DATOS] RCO11D  HUA 5600 [ADS2]
SFE1MB|BE1.13250801|admin-down|admin-down|[DATOS] NEL11D  HUA 5600 [ADS2]
SFE1MB|BE1.13251001|admin-down|admin-down|[DATOS] SCC11D  HUA 5600 [ADS2]
SFE1MB|BE1.13281201|admin-down|admin-down|[DATOS] BIL11D  HUA 5600 [ADS2]
SFE1MB|BE1.13338801|admin-down|admin-down|[DATOS] KR8G01  HUA 5000 [ADS2]
SFE1MB|BE1.1301002802|up|up|[DATOS] PCZ12D HUA 5100 [ADSL]
SFE1MB|BE1.1301003102|admin-down|admin-down|DSLAM SFEB2D HUAWEI5600
SFE1MB|BE1.1301003103|admin-down|admin-down|DSLAM SFEB3D HUAWEI5600
SFE1MB|BE1.1314276102|up|up|[DATOS] GPE22D HUA 5100 [ADSL]
SFE1MB|BE1.1399352801|admin-down|admin-down|[DATOS] LZSG01  ZTE 5200 [ADS2]
SFE1MB|BE2|up|up|[HRP] SFE1MB 2 [L3] [HSI]
SFE1MB|BE2.11000701|up|up|GESTION EOP11D HW5600
SFE1MB|BE2.11001601|up|up|GESTION 88C11C ALU7330
SFE1MB|BE2.12000501|admin-down|admin-down|[TOIP] PLAG01 ZTE OUT40 [DSL2]
SFE1MB|BE2.12000701|up|up|[TOIP] EOP11D HUA 5600 [DSL2]
SFE1MB|BE2.12001601|up|up|[TOIP] 88C11C ALU 7330 [DSL2]
SFE1MB|BE2.12212901|admin-down|admin-down| 
SFE1MB|BE2.13000501|admin-down|admin-down|[DATOS] PLAG01  ZTE 5200 [ADS2]
SFE1MB|BE2.13000701|up|up|[DATOS] EOP11D  HUA 5600 [ADS2]
SFE1MB|BE2.13001601|up|up|ADSL 88C11C ALU7330
SFE1MB|BE2.13047601|admin-down|admin-down|[DATOS] SRHG01  ZTE 5200 [ADS2]
SFE1MB|BE2.13047701|up|down|DSLAM_NGN SRHG01 ATN910I
SFE1MB|BE2.13212902|admin-down|admin-down|DSLAM SJO22D HUAWEI5600
SFE1MB|BE2.13212903|admin-down|admin-down|DSLAM SJO23D HUAWEI5600
SFE1MB|BE2.13212904|admin-down|admin-down| 
SFE1MB|BE2.1399361701|admin-down|admin-down|[DATOS] LSTG01  HUA 5616 [VDS2]
SFE1MB|BE100|up|up| 
SFE1MB|BE100.239|up|up|Uplink DSLAM_PRUEBA_PBA11D
SFE1MB|BE100.2442|up|up|Uplink DSLAM CAC11D HUAWEI5600
SFE1MB|BE100.2508|up|up|Uplink DSLAM NEL11D HUAWEI5600
SFE1MB|BE100.2510|admin-down|admin-down|Uplink DSLAM SCC11D HUAWEI5600
SFE1MB|BE100.2812|admin-down|admin-down|Uplink DSLAM BIL11D HUAWEI5600
SFE1MB|BE100.13388|admin-down|admin-down|Uplink HSI_KR8G01
SFE1MB|BE100.13528|admin-down|admin-down|Uplink HSI_LZSG01
SFE1MB|BE100.13682|up|up|Uplink HSI_DSJ11D
SFE1MB|BE200|up|up| 
SFE1MB|BE200.2|admin-down|admin-down|Uplink HSI_LSTG01 - BE2
SFE1MB|BE200.5|up|up|Uplink DSLAM PLAG01 ZTE
SFE1MB|BE200.7|up|up|Uplink DSLAM EOP11D HW5600
SFE1MB|BE200.16|up|up|Uplink HSI_88C11C ALU7330
SFE1MB|BE200.45|up|up|Uplink DSLAM SST11D HUAWEI5600
SFE1MB|BE200.3974|up|up|Uplink HSI_MAI11D - BE2
SFE1MB|BE1000|down|down|LAG Frontera PTN HUAWEI 75SFE01- Te0/0/1/2 Te0/1/1/2
SFE1MB|BE1000.1016|admin-down|admin-down|Gestion ATN910I CAYASTA - CYT1MS - Linea 80002170 (RE DragonWave Cayasta - Santa Rosa de Calchines - San Jose del Rincon)
SFE1MB|BE1000.1017|admin-down|admin-down|Gestion ATN910I SANTA_ROSA_DE_CALCHINES - SRH1MS - Linea 80002171 - (RE DragonWave Cayasta - Santa Rosa de Calchines - San Jose del Rincon)
SFE1MB|BE1000.1018|admin-down|admin-down|Gestion ATN910I HELVECITA - HEL1MS - Linea 80002374
SFE1MB|BE1000.1036|down|down|Acceso VPN_Tx_Gestion - Tx Matilde 55MAI01 Santa Fe
SFE1MB|BE1000.1159|admin-down|admin-down|GAL2MU_Eth-1.1159
SFE1MB|BE1000.1235|down|down|Acceso VPN_Tx_Gestion
SFE1MB|BE1000.1236|admin-down|admin-down|INTA - ref 717606 - Frontera PTN - VPN_16306_1236
SFE1MB|BE1000.1302|down|down|Frontera PTN - ICORP_96359_1302
SFE1MB|BE1000.1303|down|down|Frontera PTN - ICORP_96359_1303
SFE1MB|BE1000.1325|down|down|Frontera PTN - ICORP_94475_1325
SFE1MB|BE1000.2221|down|down|PTN ICORP_93395_2221 - TIP_TIPWILSJO(2813960)REFE:678167
SFE1MB|BE1000.2442|down|down|Acceso DSLAM CAC11D HUAWEI5600 - Linea 9703570
SFE1MB|BE1000.2508|down|down|Acceso DSLAM NEL11D HUAWEI5600 - Linea 9703130
SFE1MB|BE1000.2826|down|down|Acceso ICORP_93196_2826 - A10
SFE1MB|BE1000.3575|down|down|Acceso ELAN_12840_3575 - PTN
SFE1MB|BE1000.10870|down|down|Acceso DSLAM BAA11D HUAWEI5600
SFE1MB|BE1000.10898|down|down|Acceso DSLAM SST11D HUAWEI5600
SFE1MB|BE1000.12510|admin-down|admin-down|Acceso DSLAM SCC11D HUAWEI5600 - Linea 9703096
SFE1MB|BE1000.12812|admin-down|admin-down|Acceso DSLAM BIL11D HUAWEI5600
SFE1MB|BE1000.13388|admin-down|admin-down|Acceso HSI_KR8G01
SFE1MB|BE1000.13528|admin-down|admin-down|Acceso HSI_LZSG01 - 11000722 - LOPEZ SANTA FE
SFE1MB|BE1000.13617|admin-down|admin-down|Acceso HSI_LSTG01 - 11002075 - LAS TUNAS SANTA FE
SFE1MB|BE1000.13679|down|down|Acceso HSI_MAI11D
SFE1MB|BE1000.13682|down|down|Acceso HSI_DSJ11D
SFE1MB|BE1000.23388|admin-down|admin-down|Acceso GHDSL_KR8G01 - Frontera PTN
SFE1MB|BE1000.23617|admin-down|admin-down|Acceso VDSLCORP_LSTG01 - 11002075 - LAS TUNAS SANTA FE
SFE1MB|BE1000.33388|admin-down|admin-down|Acceso NGN_KR8G01
SFE1MB|BE1000.33528|admin-down|admin-down|Acceso NGN_LZSG01 - 11000722 - LOPEZ SANTA FE
SFE1MB|BE1000.33617|admin-down|admin-down|Acceso NGN_LSTG01 - 11002075 - LAS TUNAS SANTA FE
SFE1MB|BE1000.720384|admin-down|admin-down| 
SFE1MB|BE1000.958101|down|down| 
SFE1MB|BE1000.1851000|admin-down|admin-down|eNODOB - SA_PEREYRA - BE1000 A07-S015 (1) (527434) - S1
SFE1MB|BE1000.1851001|admin-down|admin-down|eNODOB - SA_PEREYRA - BE1000 A07-S015 (2) (527434) - S1MME
SFE1MB|BE1000.1851002|admin-down|admin-down|eNODOB - SA_PEREYRA - BE1000 A07-S015 (3) (527434) - GOMRAN
SFE1MB|BE1000.1851003|admin-down|admin-down|NODOB - SA_PEREYRA - BE1000 A07-S015 (1) (527475) - 3G
SFE1MB|BE1000.1851004|admin-down|admin-down|NODOB - SA_PEREYRA - BE1000 A07-S015 (2) (527555) - 2G
SFE1MB|BE1000.2891000|admin-down|admin-down|eNODOB - NELSON - BE1000 A07-S108 (1) (521893) - S1
SFE1MB|BE1000.2891001|admin-down|admin-down|eNODOB - NELSON - BE1000 A07-S108 (2) (521893) - S1MME
SFE1MB|BE1000.2891002|admin-down|admin-down|eNODOB - NELSON - BE1000 A07-S108 (3) (521893) - GOMRAN
SFE1MB|BE1000.2891003|admin-down|admin-down|NODOB - NELSON - BE1000 A07-S108 (1) (521891) - 3G
SFE1MB|BE1000.2891004|admin-down|admin-down|NODOB - NELSON - BE1000 A07-S108 (2) (521892) - 2G
SFE1MB|BE1000.6861000|admin-down|admin-down|eNODOB - MARIA_JUANA - PORT METRO - A06-S030 - (1) (521074) - S1
SFE1MB|BE1000.6861001|admin-down|admin-down|eNODOB - MARIA_JUANA - PORT METRO - A06-S030 - (2) (521074) - S1MME
SFE1MB|BE1000.6861002|admin-down|admin-down|eNODOB - MARIA_JUANA - PORT METRO - A06-S030 - (3) (521074) - GOMRAN
SFE1MB|BE1000.6861003|admin-down|admin-down|NODOB - MARIA_JUANA - PORT METRO - A06-S030 - (1) (521384) - 3G
SFE1MB|BE1000.6861004|admin-down|admin-down|NODOB - MARIA_JUANA - PORT METRO - A06-S030 - (1) (521401) - 2G
SFE1MB|BE1000.7601000|down|down|eNODOB - MONJE - BE1000 A07-S071 (1) (527418) - S1
SFE1MB|BE1000.7601001|down|down|eNODOB - MONJE - BE1000 A07-S071 (2) (527418) - S1MME
SFE1MB|BE1000.7601002|down|down|eNODOB - MONJE - BE1000 A07-S071 (3) (527418) - GOMRAN
SFE1MB|BE1000.7601003|down|down|NODOB - MONJE - BE1000 A07-S071 (1) (527460) - 3G
SFE1MB|BE1000.7601004|down|down|NODOB - MONJE - BE1000 A07-S071 (2) (527535) - 2G
SFE1MB|BE1000.8993649|admin-down|admin-down|VPN 128K POD JUD STA FE - Ref:185902 - Lin:2713093
SFE1MB|BE1000.8993653|admin-down|admin-down|Servicio: VPN DPI Ref: 147313 Lin: 2712135
SFE1MB|BE1000.8993840|admin-down|admin-down|VPN Head Quarter - Gestion - Ref:229513 Lin:2706696 Acc:sst11d 0/14/0
SFE1MB|BE1000.9571012|admin-down|admin-down|eNODOB - ELISA - SFE2MA 4/0/1 A07-S013 (1) (449648) - S1
SFE1MB|BE1000.9571013|admin-down|admin-down|eNODOB - ELISA - SFE2MA 4/0/1 A07-S013 (2) (449648) - S1MME
SFE1MB|BE1000.9571014|admin-down|admin-down|eNODOB - ELISA - SFE2MA 4/0/1 A07-S013 (3) (449648) - GOMRAN
SFE1MB|BE1000.9651000|admin-down|admin-down|eNODOB - SAN_JUSTO_3_(CLARO) - SFE1MB SST1MD 1/0/45 - A07-S315 - (1) (755212) - S1
SFE1MB|BE1000.9651001|admin-down|admin-down|eNODOB - SAN_JUSTO_3_(CLARO) - SFE1MB SST1MD 1/0/45 - A07-S315 - (2) (755212) - S1MME
SFE1MB|BE1000.9651002|admin-down|admin-down|eNODOB - SAN_JUSTO_3_(CLARO) - SFE1MB SST1MD 1/0/45 - A07-S315 - (3) (755212) - GOMRAN
SFE1MB|BE1000.9651003|admin-down|admin-down|NODOB - SAN_JUSTO_3_(CLARO) - SFE1MB SST1MD 1/0/45 - A07-S315 - (1) (755211) - 3G
SFE1MB|BE1000.9651004|admin-down|admin-down|NODOB - SAN_JUSTO_3_(CLARO) - SFE1MB SST1MD 1/0/45 - A07-S315 - (1) (755210) - 2G
SFE1MB|BE1000.10401000|admin-down|admin-down|eNODOB - NUEVO_TORINO - PORT METRO - A07-S118 - (1) (693626) - S1
SFE1MB|BE1000.10401001|admin-down|admin-down|eNODOB - NUEVO_TORINO - PORT METRO - A07-S118 - (2) (693626) - S1MME
SFE1MB|BE1000.10401002|admin-down|admin-down|eNODOB - NUEVO_TORINO - PORT METRO - A07-S118 - (3) (693626) - GOMRAN
SFE1MB|BE1000.10401003|admin-down|admin-down|NODOB - NUEVO_TORINO - PORT METRO - A07-S118 - (1) (693608) - 3G
SFE1MB|BE1000.10401004|admin-down|admin-down|NODOB - NUEVO_TORINO - PORT METRO - A07-S118 - (1) (693591) - 2G
SFE1MB|BE1000.12270000|admin-down|admin-down|Gestion Tx 5QCNY01 Constituyentes Santa Fe.Lin:80002024
