shelfname|interface|portoperationalstate|protocol|info1
APL1MU|Eth0/0/0|up|up|HUAWEI, Ethernet0/0/0 Interface
APL1MU|GE0/1/0|up|down|ATN950 APOLINARIO SARAVIA-CONEX_a
APL1MU|GE0/1/0.1213|up|up|Uplink_a_MET2MU 1/1/21.1213-Linea
APL1MU|GE0/1/0.1214|up|up|UPLINK A MET2MU Gi1/1/21.1214 1NA
APL1MU|GE0/1/0.1215|up|up|UPLINK A MET2MU Gi1/1/21.1215 1NA
APL1MU|GE0/1/0.1216|up|up|UPLINK A MET2MU Gi1/1/21.1216 1NA
APL1MU|GE0/1/0.1217|up|up|UPLINK A MET2MU Gi1/1/21.1217 1NA
APL1MU|GE0/1/0.1218|up|up|UPLINK A MET2MU Gi1/1/21.1218 1NA
APL1MU|GE0/1/0.1219|up|up|UPLINK A MET2MU Gi1/1/21.1219 1NA
APL1MU|GE0/1/0.1220|up|up|UPLINK A MET2MU Gi1/1/21.1220 1NA
APL1MU|GE0/1/0.1221|up|up|UPLINK A MET2MU Gi1/1/21.1221 1NA
APL1MU|GE0/1/0.1222|up|up|UPLINK A MET2MU Gi1/1/21.1222 1NA
APL1MU|GE0/1/0.1258|up|up|UPLINK A MET2MU Gi1/1/21.1222 1NA
APL1MU|GE0/1/0.1259|up|up|UPLINK A MET2MU Gi1/1/21.1222 1NA
APL1MU|GE0/1/1|up|down|eNODOB APOLINARIO_SARAVIA - A15-S
APL1MU|GE0/1/1.1000|up|up|eNODOB - APOLINARIO_SARAVIA - A15
APL1MU|GE0/1/1.1001|up|up|eNODOB - APOLINARIO_SARAVIA - A15
APL1MU|GE0/1/1.1002|up|up|eNODOB - APOLINARIO_SARAVIA - A15
APL1MU|GE0/1/1.1003|up|up|NODOB - APOLINARIO_SARAVIA - A15-
APL1MU|GE0/1/1.1004|up|up|NODOB - APOLINARIO_SARAVIA - A15-
APL1MU|GE0/1/2|up|down|eNODOB APOLINARIO_SARAVIA_2 - A15
APL1MU|GE0/1/2.1000|up|up|eNODOB - APOLINARIO_SARAVIA_2 - A
