shelfname|interface|portoperationalstate|protocol|info1
ARJ3MU|100GE3/0/0|up|up|Enlace 100G FO RSC1NA_G0/3/0/1 Linea:11004614 - UPLINK NA
ARJ3MU|100GE3/0/1|down|down|
ARJ3MU|100GE6/0/0|up|up|Enlace 100G FO IRD1NA_G0/2/0/0 Linea:11004613 - UPLINK NA
ARJ3MU|100GE6/0/1|down|down|
ARJ3MU|Eth-Trunk1|up|down|LAG 1+1 PG3G01 9702033
ARJ3MU|Eth-Trunk1.3|up|up|RTP - NGN PG3G01
ARJ3MU|Eth-Trunk1.4|up|up|GESTION IPMB - NGN PG3G01
ARJ3MU|Eth-Trunk1.5|up|up|GESTION PVM - NGN PG3G01
ARJ3MU|Eth-Trunk1.3101|up|up|[TOIP] PG3G01 HUA 5000 [ADS2]
ARJ3MU|Eth-Trunk1.4101|up|up|[DATOS] PG3G01 HUA 5000 [ADS2][L3]
ARJ3MU|Eth-Trunk3|down|down|[LAG 10+10] EQUIPO-OLT ARJN01 HUA 5800_T [GPON] L:11005843
ARJ3MU|Eth-Trunk3.6|down|down|[IPTV] ARJN01 HUA 5800_T [IGMP-PIM] L:11005843
ARJ3MU|Eth-Trunk3.7|down|down|[DHCP] [IPTV] ARJN01 HUA 5800_T [GPON] L:11005843
ARJ3MU|Eth-Trunk3.2101|down|down|[GESTION] ARJN01 HUA 5800_T [GPON] L:11005843
ARJ3MU|Eth-Trunk3.3101|down|down|[TOIP] ARJN01 HUA 5800_T [GPON] L:11005843
ARJ3MU|Eth-Trunk9|up|down|LAG 1+1 ARJH1D - 11003705
ARJ3MU|Eth-Trunk9.1|up|up|HSI ARJH1D - RSC2MB
ARJ3MU|Eth-Trunk18|up|down|LAG 1+1 NHPG01 L 11000289
ARJ3MU|Eth-Trunk18.1|up|up|HSI + NGN NHPG01 - RSC2MB
ARJ3MU|Eth-Trunk18.3|up|up|[RTP][SIGN] NHPG01 HUA 5000 [NGN]
ARJ3MU|Eth-Trunk18.4|up|up|[GESTION][IPMB] NHPG01 HUA 5000 [NGN]
