shelfname|interface|portoperationalstate|protocol|info1
BLG3MU|100GE10/0/0|up|up|Enlace 10G DWDM MUN1NA_G0/5/0/2 Linea:15008254 - UPLINK NA
BLG3MU|100GE11/1/0|down|down|
BLG3MU|100GE12/1/0|down|down|
BLG3MU|100GE13/0/0|up|up|Enlace 100G DWDM BEL1NA_G0/16/0/0 Linea:15008253 - UPLINK NA
BLG3MU|Eth-Trunk14|up|down|LAG 1+1 4BYG01 L 15000071
BLG3MU|Eth-Trunk14.3177|up|up|NGN - 4BYG01 BOULOGNE EQ 04 -L:15000071
BLG3MU|Eth-Trunk14.4101|up|up|[DATOS] 4BYG01 HUA 5000 [ADS2][L2]
BLG3MU|GE0/0/0|down|down|
BLG3MU|GE1/0/0|down|down|ACCESO ADSL A BLGM1D - BOULOGNE - Linea 15007012
BLG3MU|GE1/0/0.1|down|down|HSI BLGM1D - CAS1MB
BLG3MU|GE1/0/1|up|down|NODOB eNODOB BOULOGNE NPU088 (434362) (434237) (432405)
BLG3MU|GE1/0/1.1000|up|up|eNODOB eNODOB BOULOGNE NPU088 (432405) - S1
BLG3MU|GE1/0/1.1001|up|up|eNODOB eNODOB BOULOGNE NPU088 (432392) - S1MME
BLG3MU|GE1/0/1.1002|up|up|eNODOB eNODOB BOULOGNE NPU088 (432392) - GOMRAN
BLG3MU|GE1/0/1.1003|up|up|NODOB eNODOB BOULOGNE NPU088 (434237) - 3G
BLG3MU|GE1/0/1.1004|up|up|NODOB eNODOB BOULOGNE NPU088 (434362) - 2G
BLG3MU|GE1/0/2|up|down|NODOB eNODOB VILLA_ADELINA NPU089 (432403) (434236) (434361)
BLG3MU|GE1/0/2.1000|up|up|eNODOB VILLA_ADELINA NPU089 (432403) - S1
BLG3MU|GE1/0/2.1001|up|up|eNODOB VILLA_ADELINA NPU089 (432403) - S1MME
BLG3MU|GE1/0/2.1002|up|up|eNODOB VILLA_ADELINA NPU089 (432403) - GOMRAN
BLG3MU|GE1/0/2.1003|up|up|NODOB VILLA_ADELINA NPU089 (434236) - 3G
BLG3MU|GE1/0/2.1004|up|up|NODOB VILLA_ADELINA NPU089 (434361) - 2G
