shelfname|interface|portoperationalstate|protocol|info1
BQE2MU|Aux0/0/1|down|down|HUAWEI, Aux0/0/1 Interface
BQE2MU|Eth-Trunk1|up|down|GESTION UPLINK DTH
BQE2MU|Eth-Trunk1.312|up|up|Ref. 905741 Linea 2864432 - GESTION DTH BOSQUE ALEGRE
BQE2MU|Eth-Trunk11|up|down|BANCO DE LA PROVINCIA DE CORDOBA- Ref:877806 - Lin:2857177/2858340
BQE2MU|Eth-Trunk11.8|up|up|HYPERWAY HIGH OFFICE - BANCO DE LA PROVINCIA DE CORDOBA - Ref:877806
BQE2MU|Eth-Trunk11.9|up|up|GESTION HYPERWAY HIGH OFFICE - BANCO DE LA PROVINCIA DE CORDOBA -Ref:877806
BQE2MU|GE0/0/0|*down|down|HUAWEI, GigabitEthernet0/0/0 Interface
BQE2MU|GE1/0/0|up|up|Enlace 10G DWDM COE1MB_G0/0/0/3 Linea: 13002098 - UPLINK MSBNG (46BSQ01_G12/4)
BQE2MU|GE1/0/1|*down|down|HUAWEI, GigabitEthernet1/0/1 Interface
BQE2MU|GE1/1/0|up|down|CONEXION A FRONTERA HUB-IP - Linea: 70000467 - PRUEBA
BQE2MU|GE1/1/0.34|up|up|Prueba_Ingenieria_HUB_IP_B_Alegre_con_SBC
BQE2MU|GE1/1/0.100|*down|down|Migrada Gi1/1/14 Satelital vpn-personal-abis-2g - FRONTERA HUB IP- Linea 16400068
BQE2MU|GE1/1/0.101|*down|down|Migrada Gi 1/1/14 Satelital vpn-personal-gomran - FRONTERA HUB IP- Linea 16400069
BQE2MU|GE1/1/0.102|*down|down|Migrada Gi1/1/14 Satelital vpn-personal-iub-3G - FRONTERA HUB IP -Linea 16400070
BQE2MU|GE1/1/0.103|*down|down|Volcada a Gi1/1/14  Satelital vpn-personal-s1 - FRONTERA HUB IP -Linea 16400071
BQE2MU|GE1/1/0.104|*down|down|Volcada Gi1/1/14 Satelital vpn-personal-s1mme - FRONTERA HUB IP -Linea 16400072
BQE2MU|GE1/1/0.105|*down|down|Migrada Gi1/1/14 Satelital vpn-personal-voz - FRONTERA HUB IP - Linea 16400073
BQE2MU|GE1/1/0.106|*down|down|Migrada Gi1/1/14 Satelital vpn-personal-iu - FRONTERA HUB IP - Linea 16400074
BQE2MU|GE1/1/0.107|up|up|VPN Head Quarter - Cliente INTA -VSAT IP TECO Ref. 231125
