shelfname|interface|portoperationalstate|protocol|info1
CVY1MU|Aux0/0/1|down|down|HUAWEI, Aux0/0/1 Interface
CVY1MU|Eth-Trunk2|up|down|LAG A CHIROU01 TELLABS CHIRNC (Gi1/1/1 Gi8/1/1) (441580) 3G
CVY1MU|Eth-Trunk2.2|up|up|LAG A CHIROU01 TELLABS CHIRNC (Gi1/1/1 Gi8/1/1) (441580) IUB-3G
CVY1MU|Eth-Trunk2.3|up|up|LAG A CHIROU01 TELLABS CHIRNC (Gi1/1/1 Gi8/1/1) (441580) S1MME
CVY1MU|Eth-Trunk2.4|up|up|LAG A CHIROU01 TELLABS CHIRNC (Gi1/1/1 Gi8/1/1) (441580) GOMRA
CVY1MU|Eth-Trunk3|down|down|LAG A CHIRNC01 (Gi1/1/5 Gi8/1/4)(518866)
CVY1MU|Eth-Trunk3.1000|down|down|LAG A CHIRNC01 (Gi1/1/5 Gi8/1/4)(518866) 3G
CVY1MU|GE0/0/0|down|down|HUAWEI, GigabitEthernet0/0/0 Interface
CVY1MU|GE1/0/0|down|down|HUAWEI, GigabitEthernet1/0/0 Interface
CVY1MU|GE1/0/1|down|down|HUAWEI, GigabitEthernet1/0/1 Interface
CVY1MU|GE1/1/0|up|down|CONEXION PTN ALU 5RCHY01_G5/1 Linea:15004490 - UPLINK MSBNG
CVY1MU|GE1/1/0.4091|up|up|Enlace a BEL1MB_BE1000.4091
CVY1MU|GE1/1/1|up|up|A CHIROU01 TELLABS CHIRNC 7/0/7 (441580) (5694672)
CVY1MU|GE1/1/2|down|down|ENLACE-M B2B A VPNSPCHI1 Gi1/1 (5621734)
CVY1MU|GE1/1/2.11|down|down|CONEXION-M A VPNSPCHI1 Gi1/1.11 -VOZ - CVLAN11 (5621734)
CVY1MU|GE1/1/2.60|down|down|CONEXION-M A VPNSPCHI1 Gi1/1.60 -IU - CVLAN60 (5633591)
CVY1MU|GE1/1/2.75|down|down|CONEXION-M A VPNSPCHI1 Gi1/1.75 -Iur - CVLAN75
CVY1MU|GE1/1/3|up|down|AbisoIP BSCCH1 NWI-E 1 Port 13
CVY1MU|GE1/1/3.352|up|up|AbisoIP BSCCH1 NWI-E 1 Port 13 subinterfaz.352
CVY1MU|GE1/1/4|up|down|CHIVILCOY_SUR A43-B492 (439733)
CVY1MU|GE1/1/4.1000|up|up|eNODOB - CHIVILCOY_SUR A43-B492 (1) (439733) - S1
CVY1MU|GE1/1/4.1001|up|up|eNODOB - CHIVILCOY_SUR A43-B492 (2) (439733) - S1MME
CVY1MU|GE1/1/4.1002|up|up|eNODOB - CHIVILCOY_SUR A43-B492 (3) (439733) - GOMRAN
CVY1MU|GE1/1/4.1003|up|up|NODOB - CHIVILCOY_SUR A43-B492 (1) (685996) - 3G
CVY1MU|GE1/1/4.1004|up|up|NODOB - CHIVILCOY_SUR A43-B492 (1) (686027) - 2G
CVY1MU|GE1/1/5|down|down|A CHIRNC01 S-10A-1-00 - RNC CHIVILCOY_1 (518866)
CVY1MU|GE1/1/6|down|down|eNODOB prueba sur
CVY1MU|GE1/1/7|down|down|HUAWEI, GigabitEthernet1/1/7 Interface
CVY1MU|GE1/1/8|down|down|HUAWEI, GigabitEthernet1/1/8 Interface
CVY1MU|GE1/1/8.12021000|down|down|HUAWEI, GigabitEthernet1/1/8.12021000 Interface
CVY1MU|GE1/1/9|up|down|eNODOB CHIVILCOY_TECO - A43-B778(685404) NODOB (682964) (685403)
CVY1MU|GE1/1/9.1000|up|up|eNODOB - CHIVILCOY_TECO - A43-B778 - (1) (685404) - S1
CVY1MU|GE1/1/9.1001|up|up|eNODOB - CHIVILCOY_TECO - A43-B778 - (2) (685404) (682964) - S1MME
CVY1MU|GE1/1/9.1002|up|up|eNODOB - CHIVILCOY_TECO - A43-B778 - (3) (685404) (682964) - GOMRAN
