shelfname|interface|portoperationalstate|protocol|info1
FEY2MU|Eth-Trunk1|up|down|LAG 1+1 FEY51D 13002896
FEY2MU|Eth-Trunk1.2101|up|up|[GESTION] FEY51D ZTE 9800
FEY2MU|Eth-Trunk1.3101|up|up|[TOIP] FEY51D ZTE 9800
FEY2MU|Eth-Trunk1.4101|up|up|[DATOS] FEY51D ZTE 9800 [ADS2][L2]
FEY2MU|Eth-Trunk2|up|down|LAG 1+1 FEY41D 9704030
FEY2MU|Eth-Trunk2.2101|up|up|[GESTION] FEY41D ZTE 9800
FEY2MU|Eth-Trunk2.3101|up|up|[TOIP] FEY41D ZTE 9800
FEY2MU|Eth-Trunk2.3626|up|up|LDIP - TASA - REF:336460 LIN:5653838 - ACC:FEY41D_17_11
FEY2MU|Eth-Trunk2.3628|up|up|VPN - CYRE - REF: 613758 - LINEA: 2784419 - ACC: FEY41D 17 13/14
FEY2MU|Eth-Trunk2.3630|up|up|VPN Head Quarter - CYRE - Ref:221442 Lin:2703431 Acc:FEY41D 17 15-16
FEY2MU|Eth-Trunk2.3650|up|up|PRESURIZACION FERREYRA - REF:943196 - ACC:FEY41D 0/16/3
FEY2MU|Eth-Trunk2.3651|up|up|214765-2711048 - BANCO GALICIA - VPN Gold ***SIN CRUZADAS***- ACC:FEY41D 16/4
FEY2MU|Eth-Trunk2.3659|up|up|VPN GOLD - Bco Prov de Cordoba - ref:170756 lin:2704845 ACC:FEY41D 16/12
FEY2MU|Eth-Trunk2.3662|up|up|VPN - BANCO DE CORDOBA - REF: 645768 - LINEA: 2794823 - ACC: FEY41D 16 15
FEY2MU|Eth-Trunk2.3667|up|up|214766 - 2711049 - GESTION - VPN BANCO GALICIA ***SIN CRUZADAS*** ACC:FEY41D 16/20
FEY2MU|Eth-Trunk2.3668|up|up|VPN Head Quarter - PoliciaCba - Ref:258374 Lin:2717259 ACC:FEY41D 16/21-22
FEY2MU|Eth-Trunk2.3672|up|up|Gestion INTEGRA GOLD - INDUSTRIAS LEAR DE ARGENTINA - Ref:228086 Lin:2705971 ACC:FEY41D 16/25-26
FEY2MU|Eth-Trunk2.3816|up|up|INTEGRA - CONIFERAL S.A.C.I.F - REF: 532532 - LINEA: 2748025 - ACC: FEY41D 17/9-10
FEY2MU|Eth-Trunk2.3828|up|up|INTEGRA - PELLACANI SRL - REF: 656320 - LINEA: 2802081 - ACC: FEY41D 17/21-22
FEY2MU|Eth-Trunk2.3830|up|up|INTEGRA - EXPRESO MORELL SA - REF: 542753 - LINEA: 2753398 - ACC: FEY41D  17/23-24
FEY2MU|Eth-Trunk2.3838|up|up|INTEGRA - DADA S.A. - REF: 585573 - LINEA: 2766899 - ACC: FEY41D SHDSL 17-31
FEY2MU|Eth-Trunk2.3840|up|up|Integra Light 2M CENTRO DE DISTRIBUCION Ref:257934 Lin:2716683 Acc:FEY41D 1/16/01-02
