shelfname|interface|portoperationalstate|protocol|info1
G3L1MS|DCN-Serial0/2/0:0|UP|UP|HUAWEI, DCN-Serial0/2/0:0 Interface
G3L1MS|DCN-Serial0/2/1:0|UP|UP|HUAWEI, DCN-Serial0/2/1:0 Interface
G3L1MS|Ethernet0/0/0|DOWN|DOWN|HUAWEI, Ethernet0/0/0 Interface
G3L1MS|GigabitEthernet0/2/0|UP|DOWN|CONEXION A G3J1MS 0/2/1.2 REIP AUBASA LUMINARIA 06 - Linea:158734
G3L1MS|GigabitEthernet0/2/0.2|UP|UP|VLAN_GESTION G3J1MS 0/2/1.2 - Linea:15008734
G3L1MS|GigabitEthernet0/2/0.1000|UP|UP|ENLACE A G3J1MS 0/2/1 - AUBASA LUMINARIA 06 - (1) (764303) - S1
G3L1MS|GigabitEthernet0/2/0.1001|UP|UP|ENLACE A G3J1MS 0/2/1 - AUBASA LUMINARIA 06 - (2) (764303) - S1MME
G3L1MS|GigabitEthernet0/2/0.1002|UP|UP|ENLACE A G3J1MS 0/2/1 - AUBASA LUMINARIA 06 - (3) (764303) - GOMRAN
G3L1MS|GigabitEthernet0/2/0.1003|UP|UP|ENLACE A G3J1MS 0/2/1 - AUBASA LUMINARIA 06 - (1) (764302) - 3G
G3L1MS|GigabitEthernet0/2/0.1004|UP|UP|ENLACE A G3J1MS 0/2/1 - AUBASA LUMINARIA 06 - (1) (764301) - 2G
G3L1MS|GigabitEthernet0/2/1|UP|DOWN|FRONTERA ATN910I VR31MS-SPU346-linea
G3L1MS|GigabitEthernet0/2/1.2|UP|UP|Gestion ATN910I VR31MS SPU346
G3L1MS|GigabitEthernet0/2/1.1000|UP|UP|ENLACE A VR31MS 0/2/0 -AUBASA LUMINARIA 07- (1) (764306) - S1
G3L1MS|GigabitEthernet0/2/1.1001|UP|UP|ENLACE A VR31MS 0/2/0 -AUBASA LUMINARIA 07- (2) (764306) - S1MME
G3L1MS|GigabitEthernet0/2/1.1002|UP|UP|ENLACE A VR31MS 0/2/0 - AUBASA LUMINARIA 07- (3) (764306) - GOMRAN
G3L1MS|GigabitEthernet0/2/1.1003|UP|UP|ENLACE A VR31MS 0/2/0 -AUBASA LUMINARIA 07- (1) (764305) - 3G
G3L1MS|GigabitEthernet0/2/1.1004|UP|UP|ENLACE A VR31MS 0/2/0 -AUBASA LUMINARIA 07- (1) (764304)- 2G
G3L1MS|GigabitEthernet0/2/2|DOWN|DOWN|HUAWEI, GigabitEthernet0/2/2 Interface
G3L1MS|GigabitEthernet0/2/3|DOWN|DOWN|HUAWEI, GigabitEthernet0/2/3 Interface
G3L1MS|GigabitEthernet0/2/4|UP|DOWN|eNODOB LUMINARIA_AUBASA_06 - SPU1147 (764303) NODOB (764302) (764301)
G3L1MS|GigabitEthernet0/2/4.1000|UP|UP|eNODOB - LUMINARIA_AUBASA_06 - SPU1147 - (1) (764303) - S1
G3L1MS|GigabitEthernet0/2/4.1001|UP|UP|eNODOB - LUMINARIA_AUBASA_06 - SPU1147 - (2) (764303) - S1MME
G3L1MS|GigabitEthernet0/2/4.1002|UP|UP|eNODOB - LUMINARIA_AUBASA_06 - SPU1147 - (3) (764303) - GOMRAN
G3L1MS|GigabitEthernet0/2/4.1003|UP|UP|NODOB - LUMINARIA_AUBASA_06 - SPU1147 - (1) (764302) - 3G
G3L1MS|GigabitEthernet0/2/4.1004|UP|UP|NODOB - LUMINARIA_AUBASA_06 - SPU1147- (1) (764301) - 2G
G3L1MS|GigabitEthernet0/2/5|DOWN|DOWN|HUAWEI, GigabitEthernet0/2/5 Interface
G3L1MS|GigabitEthernet0/2/6|DOWN|DOWN|HUAWEI, GigabitEthernet0/2/6 Interface
G3L1MS|GigabitEthernet0/2/7|DOWN|DOWN|HUAWEI, GigabitEthernet0/2/7 Interface
G3L1MS|GigabitEthernet0/2/8|DOWN|DOWN|HUAWEI, GigabitEthernet0/2/8 Interface
G3L1MS|GigabitEthernet0/2/9|DOWN|DOWN|HUAWEI, GigabitEthernet0/2/9 Interface
G3L1MS|GigabitEthernet0/2/10|DOWN|DOWN|HUAWEI, GigabitEthernet0/2/10 Interface
G3L1MS|GigabitEthernet0/2/11|DOWN|DOWN|HUAWEI, GigabitEthernet0/2/11 Interface
G3L1MS|LoopBack0|UP|UP|HUAWEI, LoopBack0 Interface
G3L1MS|LoopBack1023|UP|UP|DCN loopback interface
G3L1MS|NULL0|UP|UP|HUAWEI, NULL0 Interface


