shelfname|interface|portoperationalstate|protocol|info1
G3S1MS|Ethernet0/0/0|DOWN|DOWN|HUAWEI, Ethernet0/0/0 Interface
G3S1MS|GigabitEthernet0/2/0|UP|DOWN|ENLACE 1G FO A RET5MU 2/1/16 - Linea 15008321
G3S1MS|GigabitEthernet0/2/0.2|UP|UP|CONEXION A RET5MU GigabitEthernet2/1/16.2 -LUMINARIA AUBASA 01- Linea:15008321
G3S1MS|GigabitEthernet0/2/0.1000|UP|UP|ENLACE A RET5MU 2/1/16 -AUBASA LUMINARIA 01- (1) (764294) - S1
G3S1MS|GigabitEthernet0/2/0.1001|UP|UP|ENLACE A RET5MU 2/1/16 -AUBASA LUMINARIA 01- (2) (764294) - S1MME
G3S1MS|GigabitEthernet0/2/0.1002|UP|UP|ENLACE A RET5MU 2/1/16 -AUBASA LUMINARIA 01- (3) (764294) - GOMRAN
G3S1MS|GigabitEthernet0/2/0.1003|UP|UP|ENLACE A RET5MU 2/1/16 -AUBASA LUMINARIA 01- (1) (764293) - 3G
G3S1MS|GigabitEthernet0/2/0.1004|UP|UP|ENLACE A RET5MU 2/1/16 -AUBASA LUMINARIA 01- (1) (764292) - 2G
G3S1MS|GigabitEthernet0/2/1|UP|DOWN|Enlace 1G FO G3U1MS 0/2/0 Linea 15008730 - UPLINK METRO
G3S1MS|GigabitEthernet0/2/1.2|UP|UP|Enlace 1G FO Linea 15008321 -  UPLINK METRO
G3S1MS|GigabitEthernet0/2/1.1000|UP|UP|ENLACE A G3U1MS 0/2/0 -AUBASA LUMINARIA 01- (1) (764294) - S1
G3S1MS|GigabitEthernet0/2/1.1001|UP|UP|ENLACE A G3U1MS 0/2/0 -AUBASA LUMINARIA 01- (2) (764294) - S1MME
G3S1MS|GigabitEthernet0/2/1.1002|UP|UP|ENLACE A G3U1MS 0/2/0 -AUBASA LUMINARIA 01- (3) (764294) - GOMRAN
G3S1MS|GigabitEthernet0/2/1.1003|UP|UP|ENLACE A G3U1MS 0/2/0 -AUBASA LUMINARIA 01- (1) (764293) - 3G
G3S1MS|GigabitEthernet0/2/1.1004|UP|UP|ENLACE A G3U1MS 0/2/0 -AUBASA LUMINARIA 01- (1) (764292)- 2G
G3S1MS|GigabitEthernet0/2/2|DOWN|DOWN|HUAWEI, GigabitEthernet0/2/2 Interface
G3S1MS|GigabitEthernet0/2/3|DOWN|DOWN|HUAWEI, GigabitEthernet0/2/3 Interface
G3S1MS|GigabitEthernet0/2/4|UP|DOWN|eNODOB LUMINARIA_AUBASA_01 - SPU1144 (764294) NODOB (764293) (764292)
G3S1MS|GigabitEthernet0/2/4.1000|UP|UP|eNODOB - LUMINARIA_AUBASA_01 - SPU1144 - (1) (764294) - S1
G3S1MS|GigabitEthernet0/2/4.1001|UP|UP|eNODOB - LUMINARIA_AUBASA_01 - SPU1144 - (2) (764294) - S1MME
G3S1MS|GigabitEthernet0/2/4.1002|UP|UP|eNODOB - LUMINARIA_AUBASA_01 - SPU1144 - (3) (764294) - GOMRAN
G3S1MS|GigabitEthernet0/2/4.1003|UP|UP|NODOB - LUMINARIA_AUBASA_01 - SPU1144 - (1) (764293) - 3G
G3S1MS|GigabitEthernet0/2/4.1004|UP|UP|NODOB - LUMINARIA_AUBASA_01 - SPU1144- (1) (764292) - 2G
G3S1MS|GigabitEthernet0/2/5|DOWN|DOWN|HUAWEI, GigabitEthernet0/2/5 Interface
G3S1MS|GigabitEthernet0/2/6|DOWN|DOWN|HUAWEI, GigabitEthernet0/2/6 Interface
G3S1MS|GigabitEthernet0/2/7|DOWN|DOWN|HUAWEI, GigabitEthernet0/2/7 Interface
G3S1MS|GigabitEthernet0/2/8|DOWN|DOWN|HUAWEI, GigabitEthernet0/2/8 Interface
G3S1MS|GigabitEthernet0/2/9|DOWN|DOWN|HUAWEI, GigabitEthernet0/2/9 Interface
G3S1MS|GigabitEthernet0/2/10|DOWN|DOWN|HUAWEI, GigabitEthernet0/2/10 Interface
G3S1MS|GigabitEthernet0/2/11|DOWN|DOWN|HUAWEI, GigabitEthernet0/2/11 Interface
G3S1MS|LoopBack0|UP|UP|HUAWEI, LoopBack0 Interface
G3S1MS|NULL0|UP|UP|HUAWEI, NULL0 Interface
G3S1MS|Vlanif2|DOWN|DOWN|HUAWEI, Vlanif2 Interface
G3S1MS|Vlanif3|DOWN|DOWN|HUAWEI, Vlanif3 Interface
G3S1MS|Vlanif10|DOWN|DOWN|HUAWEI, Vlanif10 Interface
G3S1MS|Vlanif90|DOWN|DOWN|HUAWEI, Vlanif90 Interface


