shelfname|interface|portoperationalstate|protocol|info1
GAR2MU|Eth-Trunk1|up|down|LAG PTN HWI 35GRN02_G11/1-G12/1
GAR2MU|Eth-Trunk1.7831000|up|up|eNODOB DEL_VISO_CENTRO OPU390 (1) (504997) - S1
GAR2MU|Eth-Trunk1.7831001|up|up|eNODOB DEL_VISO_CENTRO OPU390 (2) (504997) - S1MME
GAR2MU|Eth-Trunk1.7831002|up|up|eNODOB DEL_VISO_CENTRO OPU390 (3) (504997) - GOMRAN
GAR2MU|Eth-Trunk1.7831003|up|up|NODOB DEL_VISO_CENTRO OPU390 (1) (520409) - 3G
GAR2MU|Eth-Trunk1.7831004|up|up|NODOB DEL_VISO_CENTRO OPU390 (1) (520383) - 2G
GAR2MU|Eth-Trunk1.7841000|up|up|eNODOB - ASERRADERO_GOTTERT - GAR2MU 1/0/0 - NPU294 - (1) (766892) - S1
GAR2MU|Eth-Trunk1.7841001|up|up|eNODOB - ASERRADERO_GOTTERT - GAR2MU 1/0/0 - NPU294 - (2) (766892) - S1MME
GAR2MU|Eth-Trunk1.7841002|up|up|eNODOB - ASERRADERO_GOTTERT - GAR2MU 1/0/0 - NPU294 - (3) (766892) - GOMRAN
GAR2MU|Eth-Trunk1.7841003|up|up|NODOB - ASERRADERO_GOTTERT - GAR2MU 1/0/0 - NPU294 - (1) (766891) - 3G
GAR2MU|Eth-Trunk1.7841004|up|up|NODOB - ASERRADERO_GOTTERT - GAR2MU 1/0/0 - NPU294 - (1) (766890) - 2G
GAR2MU|Eth-Trunk1.7871000|up|up|eNODOB PILAR_SOLARES_DEL_NORTE NPU532 (1) (450293) - S1
GAR2MU|Eth-Trunk1.7871001|up|up|eNODOB PILAR_SOLARES_DEL_NORTE NPU532 (2) (450293) - S1MME
GAR2MU|Eth-Trunk1.7871002|up|up|eNODOB PILAR_SOLARES_DEL_NORTE NPU532 (3) (450293) - GOMRAN
GAR2MU|Eth-Trunk1.7871003|up|up|NODOB PILAR_SOLARES_DEL_NORTE NPU532 (1) (450498) - 2G
GAR2MU|Eth-Trunk1.7871004|up|up|NODOB PILAR_SOLARES_DEL_NORTE NPU532 (1) (450520) - 3G
GAR2MU|Eth-Trunk1.8731000|up|up|eNODOB - PABLO_NOGUES_ESTE - GAR3MU 1/0/0 - NPU172  - (1) (432737) - S1
GAR2MU|Eth-Trunk1.8731001|up|up|eNODOB - PABLO_NOGUES_ESTE - GAR3MU 1/0/0 - NPU172  - (2) (432737) - S1MME
GAR2MU|Eth-Trunk1.8731002|up|up|eNODOB - PABLO_NOGUES_ESTE - GAR3MU 1/0/0 - NPU172  - (3) (432737) - GOMRAN
GAR2MU|Eth-Trunk1.8731003|up|up|NODOB - PABLO_NOGUES_ESTE - GAR3MU 1/0/0 - NPU172  - (1) (434477) - 3G
GAR2MU|Eth-Trunk1.8731004|up|up|NODOB - PABLO_NOGUES_ESTE - GAR3MU 1/0/0 - NPU172  - (1) (434376) - 2G
GAR2MU|Eth-Trunk1.8921000|up|up|eNODOB - VILLAGE GOLF - GAR3MU 1/0/0 - NPU134 - (1) (432062) - S1
GAR2MU|Eth-Trunk1.8921001|up|up|eNODOB - VILLAGE GOLF - GAR3MU 1/0/0 - NPU134 - (2) (432062) - S1MME
GAR2MU|Eth-Trunk1.8921002|up|up|eNODOB - VILLAGE GOLF - GAR3MU 1/0/0 - NPU134 - (3) (432062) - GOMRAN
GAR2MU|Eth-Trunk1.8921003|up|up|eNODOB - VILLAGE GOLF - GAR3MU 1/0/0 - NPU134 - (1) (434050) - 3G
GAR2MU|Eth-Trunk1.8921004|up|up|eNODOB - VILLAGE GOLF - GAR3MU 1/0/0 - NPU134 - (1) (434163) - 2G
GAR2MU|Eth-Trunk1.8981000|up|up|eNODOB - ACA_DELTA - GAR3MU - NI_002 - (1) (505276) - S1
