shelfname|interface|portoperationalstate|protocol|info1
HOR2MU|GE0/0/0|down|down|
HOR2MU|GE1/0/0(10G)|up|up|Enlace 10G DWDM BEL1MB_G0/7/0/14 Linea: 15004625 - UPLINK MSBNG
HOR2MU|GE1/0/1(10G)|down|down|
HOR2MU|GE1/1/0|up|down|ACCESO HORM01 LA HORQUETA BOULOGNE BS AS - LINEA 15003855
HOR2MU|GE1/1/0.7|up|up|HSI HORM01 - MUN1MB
HOR2MU|GE1/1/1|up|down|### Integra - RED FARM - ref:667228 - Lin:2807892 ###
HOR2MU|GE1/1/1.2|up|up|### Integra - RED FARM - ref:667228 - Lin:2807892 ###
HOR2MU|GE1/1/2|down|down|
HOR2MU|GE1/1/3|up|down|ADSL HQB11C - 15001649
HOR2MU|GE1/1/3.1|up|up|HSI HQB11C - MUN1MB
HOR2MU|GE1/1/4|up|down|ADSL HQ111C - 15000409
HOR2MU|GE1/1/4.2|up|up|HSI HQ111C - MUN1MB
HOR2MU|GE1/1/5|up|down|ADSL HQ211C - 15000410
HOR2MU|GE1/1/5.3|up|up|HSI HQ211C - MUN1MB
HOR2MU|GE1/1/6|up|down|ADSL HQ311C - 15000411
HOR2MU|GE1/1/6.4|up|up|HSI HQ311C - MUN1MB
HOR2MU|GE1/1/7|up|down|ADSL HQ511C - 15000413
HOR2MU|GE1/1/7.5|up|up|HSI HQ511C - MUN1MB
HOR2MU|GE1/1/8|up|down|ADSL HQ011C - 15000408
HOR2MU|GE1/1/8.6|up|up|HSI HQ011C - MUN1MB
HOR2MU|GE1/1/9|up|down|ADSL HQ411C - 15000412
HOR2MU|GE1/1/9.7|up|up|HSI HQ411C - MUN1MB
HOR2MU|GE1/1/10|up|down|ADSL HQ611C - 15000414
HOR2MU|GE1/1/10.8|up|up|HSI HQ611C - MUN1MB
HOR2MU|GE1/1/11|up|down|ADSL HQ811C - 15000416
HOR2MU|GE1/1/11.9|up|up|HSI HQ811C - MUN1MB
HOR2MU|GE1/1/12|up|down|ADSL B9011C - 15001869
HOR2MU|GE1/1/12.10|up|up|HSI B9011C - MUN1MB
HOR2MU|GE1/1/13|up|down|ADSL HQ911C - 15001650
HOR2MU|GE1/1/13.11|up|up|HSI HQ911C - MUN1MB
HOR2MU|GE1/1/14|up|down|ADSL HQA11C - 15001651
HOR2MU|GE1/1/14.12|up|up|HSI HQA11C - MUN1MB
HOR2MU|GE1/1/15|up|down|ADSL B9111C - 15001870
HOR2MU|GE1/1/15.13|up|up|HSI B9111C - MUN1MB
HOR2MU|GE1/1/16|up|down|ADSL B9211C - 15001871
HOR2MU|GE1/1/16.14|up|up|HSI B9211C - MUN1MB
HOR2MU|GE1/1/17|up|down|ADSL B9311C - 15001872
HOR2MU|GE1/1/17.15|up|up|HSI B9311C - MUN1MB
HOR2MU|GE1/1/18|up|down|ADSL 1BD11C - 15001873
HOR2MU|GE1/1/18.16|up|up|HSI 1BD11C - MUN1MB
HOR2MU|GE1/1/19|up|down|ADSL B9611C - 15001876
HOR2MU|GE1/1/19.17|up|up|HSI B9611C - MUN1MB
