shelfname|interface|portoperationalstate|protocol|info1
LAY2MU|GE0/0/0|down|down|
LAY2MU|GE2/1/0(10G)|down|down|Enlace 10G DWDM RUF2MU_G5/0/6 Linea:15008935 - UPLINK MU
LAY2MU|GE2/1/1(10G)|down|down|
LAY2MU|GE2/1/2(10G)|down|down|
LAY2MU|GE2/1/3(10G)|down|down|
LAY2MU|GE2/1/4(10G)|down|down|
LAY2MU|GE2/1/5(10G)|down|down|
LAY2MU|GE2/1/6(10G)|down|down|
LAY2MU|GE2/1/7(10G)|down|down|
LAY2MU|GE2/1/8(10G)|down|down|
LAY2MU|GE2/1/9(10G)|down|down|
LAY2MU|GE3/0/0(10G)|up|down|Enlace 10G PTN ALU 35LAY02_G8/2 Linea:13004038 - UPLINK AGN
LAY2MU|GE3/0/0.1207(10G)|up|up|Enlace a RUF2MU_Eth-Trunk2.1207
LAY2MU|GE3/0/1|down|down|Enlace 10G DWDM RUF2MU_G6/0/7 Linea:15008840 - UPLINK MU
LAY2MU|GE3/1/0|up|down|ACCESO LAYM01 - HUAWEI_5600T- 13002240
LAY2MU|GE3/1/0.1|up|up|HSI LAYM01 - MUN1MB
LAY2MU|GE3/1/0.137|up|up|VDSLCORP LAYM01 - MUN1MB
LAY2MU|GE3/1/1|*down|down|
LAY2MU|GE3/1/2|up|down|CONEXION ADSL LAY41D  Linea 13004089
LAY2MU|GE3/1/2.75|up|up|CONEXION HSI LAY41D - RSC1MB
LAY2MU|GE3/1/3|up|down|CONEXION ADSL LAY51D  Linea 13004090
LAY2MU|GE3/1/3.76|up|up|CONEXION HSI LAY51D - RSC1MB
LAY2MU|GE3/1/4|up|down|CONEXION ADSL LAY31D  Linea 13004088
LAY2MU|GE3/1/4.77|up|up|CONEXION HSI LAY31D - RSC1MB
LAY2MU|GE3/1/5|*down|down|
LAY2MU|GE3/1/6|up|down|TIP_TIPNODOSUDLAY(5661700)REFE:330250_Ges.TECO
LAY2MU|GE3/1/6.2|up|up|TIP_TIPNODOSUDLAY(5661700)REFE:330250_Servicio
LAY2MU|GE3/1/7|up|down|
LAY2MU|GE3/1/8|up|down|INTEGRA - TARJETA NARANJA S.A. - Ref:878024 - Lin:2857352
