shelfname|interface|portoperationalstate|protocol|info1
LCR2MU|Eth-Trunk9|up|down|LAG 1+1 LCR61D - 13003720
LCR2MU|Eth-Trunk9.1|up|up|HSI LCR61D - 13003720 - SDE1MB
LCR2MU|GE0/0/0|down|down|
LCR2MU|GE0/1/0|down|down|CONEXION a LCR1ME
LCR2MU|GE0/1/0.1000|down|down|
LCR2MU|GE0/1/1|up|down|INTEGRA - ASOC.DE LOS TESTIGOS DE JEHOVA - REf: 635990
LCR2MU|GE0/1/1.12|up|up|SERVICIO INTEGRA - ASOC.DE LOS TESTIGOS DE JEHOVA - REf: 635990
LCR2MU|GE0/1/2|up|down|INTEGRA - SAFICO S.A. - REF: 938674 - LINEA: 2783542 - ACC: WAN: 2/2
LCR2MU|GE0/1/2.2|up|up|INTEGRA - SAFICO S.A. - REF: 938674 - LINEA: 2783542 - ACC: LCR1ME 5/0/17
LCR2MU|GE0/1/2.225|up|up|INTEGRA - SAFICO S.A. - REF: 614057 - LINEA: 2783542 - ACC: LCR1ME 5/0/17
LCR2MU|GE0/1/3|up|down|L2LLEVEL3LCR(2837472)REFE:743508_Ges.TECO
LCR2MU|GE0/1/3.544|up|up|L2LLEVEL3LCR(2837472)REFE:743508_Ges.TECO
LCR2MU|GE0/1/3.4000|up|up|GESTION L2LLEVEL3LCR(2837472)REFE:743508_Ges.TECO
LCR2MU|GE0/1/4|up|down|INTEGRA - MAXI HOGAR SRL - Ref:923534 Lin:2867192 Acc:LCR1ME 5/0/31
LCR2MU|GE0/1/4.2|up|up|INTEGRA - MAXI HOGAR SRL - Ref:923534 Lin:2867192 Acc:LCR1ME 5/0/31
LCR2MU|GE0/1/5|up|down|INTEGRA PLATINUM - LO BRUNO ESTRUCTURAS SA - REF:670393 - Linea:2811366
LCR2MU|GE0/1/5.3|up|up|INTEGRA PLATINUM - LO BRUNO ESTRUCTURAS SA - REF:670393 - Linea:2811366 - Acc:LCR1ME 6/0/2
LCR2MU|GE0/1/6|up|down|INTEGRA - LIBERTAD - 740956
LCR2MU|GE0/1/6.8|up|up|INTEGRA - LIBERTAD - 740956 -
LCR2MU|GE0/1/7|up|down|INTEGRA - TARJETA NARANJA S.A. - Ref:877949 - Lin:2857281
LCR2MU|GE0/1/7.2|up|up|INTEGRA - TARJETA NARANJA S.A. - Ref:877949 - Lin:2857281
LCR2MU|GE0/1/8|down|down|VPN PLATINUM - BBVA SA - REF: 887402 - LINEA: 28612474
LCR2MU|GE0/1/8.2|down|down|VPN PLATINUM - BBVA SA - REF: 887402 - LINEA: 2861247
LCR2MU|GE0/1/9|down|down|
LCR2MU|GE0/2/0|up|down|eNODOB - SANTIAGO_LA_BANDA - A11-S047 (521486) (521463)
LCR2MU|GE0/2/0.39901030|up|up|eNODOB - SANTIAGO_LA_BANDA - A11-S047 (1) (428799) - S1
LCR2MU|GE0/2/0.39901031|up|up|eNODOB - SANTIAGO_LA_BANDA - A11-S047 (2) (428799) - S1MME
LCR2MU|GE0/2/0.39901032|up|up|eNODOB - SANTIAGO_LA_BANDA - A11-S047 (3) (428799) - GOMRAN
LCR2MU|GE0/2/0.39901227|up|up|eNODOB - SANTIAGO_LA_BANDA - A11-S047 (1) (521486) - 3G
LCR2MU|GE0/2/0.39901228|up|up|eNODOB - SANTIAGO_LA_BANDA - A11-S047 (1) (521463) - 2G
LCR2MU|GE0/2/1|up|down|NODOB SANTIAGO_LA_BANDA_BARRIO_SAN_MARTIN A11-S153 (431966) eNODOB (523552) (526484)
LCR2MU|GE0/2/1.39901295|up|up|eNODOB SANTIAGO_LA_BANDA_BARRIO_SAN_MARTIN A11-S153 (1) (431966) - S1
LCR2MU|GE0/2/1.39901296|up|up|eNODOB SANTIAGO_LA_BANDA_BARRIO_SAN_MARTIN A11-S153 (2) (431966) - S1MME
LCR2MU|GE0/2/1.39901297|up|up|eNODOB SANTIAGO_LA_BANDA_BARRIO_SAN_MARTIN A11-S153 (3) (431966) - GOMRAN
LCR2MU|GE0/2/1.39901298|up|up|NODOB SANTIAGO_LA_BANDA_BARRIO_SAN_MARTIN A11-S153 (1) (523552) - 3G
LCR2MU|GE0/2/1.39901299|up|up|NODOB SANTIAGO_LA_BANDA_BARRIO_SAN_MARTIN A11-S153 (1) (526484) - 2G
LCR2MU|GE0/2/2|up|down|eNODOB - SANTIAGO_PARQUE_INDUSTRIAL - A11-S158 (523553) (685866)
LCR2MU|GE0/2/2.39901159|up|up|eNODOB - SANTIAGO_PARQUE_INDUSTRIAL - A11-S158 (1) (438770) - S1
LCR2MU|GE0/2/2.39901160|up|up|eNODOB - SANTIAGO_PARQUE_INDUSTRIAL - A11-S158 (2) (438770) - S1MME
LCR2MU|GE0/2/2.39901161|up|up|eNODOB - SANTIAGO_PARQUE_INDUSTRIAL - A11-S158 (3) (438770) - GOMRAN
LCR2MU|GE0/2/2.39901307|up|up|eNODOB - SANTIAGO_PARQUE_INDUSTRIAL - A11-S158 (1) (523553) - 3G
LCR2MU|GE0/2/2.39901308|up|up|eNODOB - SANTIAGO_PARQUE_INDUSTRIAL - A11-S158 (1) (685866) - 2G
LCR2MU|GE0/2/3|up|down|eNODOB SANTIAGO_LA_BANDA_3
LCR2MU|GE0/2/3.39901174|up|up|eNODOB SANTIAGO_LA_BANDA_3 A11-S212 (1) (434258) - S1
LCR2MU|GE0/2/3.39901175|up|up|eNODOB SANTIAGO_LA_BANDA_3 A11-S212 (2) (434258) - S1MME
LCR2MU|GE0/2/3.39901176|up|up|eNODOB SANTIAGO_LA_BANDA_3 A11-S212 (3) (434258) - GOMRAN
LCR2MU|GE0/2/3.39901243|up|up|NODOB SANTIAGO_LA_BANDA_3 A11-S212 (1) (523573) - 3G
LCR2MU|GE0/2/3.39901244|up|up|NODOB SANTIAGO_LA_BANDA_3 A11-S212 (1) (524566) - 2G
LCR2MU|GE0/2/4|up|down|eNODOB SANTIAGO_SIMBOLAR A11-S235 (685856)(523578)(685857)
LCR2MU|GE0/2/4.10621000|up|up|eNODOB SANTIAGO_SIMBOLAR A11-S235 (1) (685856) - S1
LCR2MU|GE0/2/4.10621001|up|up|eNODOB SANTIAGO_SIMBOLAR A11-S235 (2) (685856) - S1MME
LCR2MU|GE0/2/4.10621002|up|up|eNODOB SANTIAGO_SIMBOLAR A11-S235 (3) (685856) - GOMRAN
LCR2MU|GE0/2/4.10621003|up|up|NODOB SANTIAGO_SIMBOLAR A11-S235 (1) (523578) - 3G
LCR2MU|GE0/2/4.10621004|up|up|NODOB SANTIAGO_SIMBOLAR A11-S235 (1) (685857) - 2G
LCR2MU|GE0/2/5|up|down|eNODOB - SANTIAGO_LA_BANDA_2_POSTE_1_AL_4 - A11-S332 (683731) (683643)
LCR2MU|GE0/2/5.39901277|up|up|eNODOB - SANTIAGO_LA_BANDA_2_POSTE_1_AL_4 - A11-S332 (1) (683714) - S1
LCR2MU|GE0/2/5.39901278|up|up|eNODOB - SANTIAGO_LA_BANDA_2_POSTE_1_AL_4 - A11-S332 (2) (683714) - S1MME
LCR2MU|GE0/2/5.39901279|up|up|eNODOB - SANTIAGO_LA_BANDA_2_POSTE_1_AL_4 - A11-S332 (3) (683714) - GOMRAN
LCR2MU|GE0/2/5.39901280|up|up|eNODOB - SANTIAGO_LA_BANDA_2_POSTE_1_AL_4 - A11-S332 (1) (683731) - 3G
LCR2MU|GE0/2/5.39901281|up|up|eNODOB - SANTIAGO_LA_BANDA_2_POSTE_1_AL_4 - A11-S332 (1) (683643) - 2G
LCR2MU|GE0/2/6|up|down|NODOB SANTIAGO_LA_BANDA_BARRIO_SAN_MARTIN A11-S153 (431966) eNODOB (523552) (526484)
LCR2MU|GE0/2/6.39901144|up|up|eNODOB SANTIAGO_LA_BANDA_CENTRO A11-S438 (1) (440729) - S1
LCR2MU|GE0/2/6.39901145|up|up|eNODOB SANTIAGO_LA_BANDA_CENTRO A11-S438 (2) (440729) - S1MME
LCR2MU|GE0/2/6.39901146|up|up|eNODOB SANTIAGO_LA_BANDA_CENTRO A11-S438 (3) (440729) - GOMRAN
LCR2MU|GE0/2/6.39901289|up|up|NODOB SANTIAGO_LA_BANDA_CENTRO A11-S438 (1) (523572) - 3G
LCR2MU|GE0/2/6.39901292|up|up|NODOB SANTIAGO_LA_BANDA_CENTRO A11-S438 (1) (684979) - 2G
LCR2MU|GE0/2/7|up|down|eNODOB SANTIAGO_LA_BANDA_SAFICO A11-S503 (437108) NODOB (5693990)
LCR2MU|GE0/2/7.39901138|up|up|eNODOB SANTIAGO_LA_BANDA_SAFICO A11-S503 (1) (437108) - S1
LCR2MU|GE0/2/7.39901139|up|up|eNODOB SANTIAGO_LA_BANDA_SAFICO A11-S503 (2) (437108) - S1MME
LCR2MU|GE0/2/7.39901140|up|up|eNODOB SANTIAGO_LA_BANDA_SAFICO A11-S503 (3) (437108) - GOMRAN
LCR2MU|GE0/2/7.39901290|up|up|NODOB SANTIAGO_LA_BANDA_SAFICO A11-S503 (1) (523574) - 3G
LCR2MU|GE0/2/7.39901291|up|up|NODOB SANTIAGO_LA_BANDA_SAFICO A11-S503 (1) (684980) - 2G
LCR2MU|GE0/2/8|up|down|eNODOB SANTIAGO_DORREGO A11-S542 (523600)(523595)(523585)
LCR2MU|GE0/2/8.39901234|up|up|eNODOB SANTIAGO_DORREGO A11-S542 (1) (523600) - S1
LCR2MU|GE0/2/8.39901235|up|up|eNODOB SANTIAGO_DORREGO A11-S542 (2) (523600) - S1MME
LCR2MU|GE0/2/8.39901236|up|up|eNODOB SANTIAGO_DORREGO A11-S542 (3) (523600) - GOMRAN
LCR2MU|GE0/2/8.39901237|up|up|NODOB SANTIAGO_DORREGO A11-S542 (1) (523595) - 3G
LCR2MU|GE0/2/8.39901238|up|up|NODOB SANTIAGO_DORREGO A11-S542 (1) (523585) - 2G
LCR2MU|GE0/2/9|up|down|eNODOB SANTIAGO_LA_BANDA_LIBERTADOR - A11-S440 (761686) (761670) (761654)
LCR2MU|GE0/2/9.39901358|up|up|eNODOB - SANTIAGO_LA_BANDA_LIBERTADOR - A11-S440 - (1) (761686) - S1
LCR2MU|GE0/2/9.39901359|up|up|eNODOB - SANTIAGO_LA_BANDA_LIBERTADOR - A11-S440 - (2) (761686) - S1MME
