shelfname|interface|portoperationalstate|protocol|info1
LUG2MU|GE0/0/0|down|down|
LUG2MU|GE1/0/0(10G)|up|up|Enlace 10G DWDM ESH1MB_G0/0/0/3 Linea: 15004389 - UPLINK MSBNG (32LUG01_Sh1-G17/2)
LUG2MU|GE1/0/1(10G)|up|up|Enlace 10G DWDM BEL1MB_G0/0/1/13 Linea:15008190 - UPLINK MSBNG
LUG2MU|GE1/0/1.1004(10G)|up|down|
LUG2MU|GE1/1/0|down|down|
LUG2MU|GE1/1/1|up|down|eNODOB SAENZ_PENA OPU090 (444755)
LUG2MU|GE1/1/1.1000|up|up|eNODOB SAENZ_PENA OPU090 (1) (444755) - S1
LUG2MU|GE1/1/1.1001|up|up|eNODOB SAENZ_PENA OPU090 (2) (444755) - S1MME
LUG2MU|GE1/1/1.1002|up|up|eNODOB SAENZ_PENA OPU090 (3) (444755) - GOMRAN
LUG2MU|GE1/1/1.1003|up|up|NODOB eNODOB SAENZ_PENA OPU090 (506684) - 3G
LUG2MU|GE1/1/1.1004|up|up|NODOB eNODOB SAENZ_PENA OPU090 (434362) - 2G
LUG2MU|GE1/1/2|up|down|eNODOB  ESTACION_LOURDES OPU262
LUG2MU|GE1/1/2.1000|up|up|eNODOB OPU262 ESTACION_LOURDES LUG2MU (1) 439300 - S1
LUG2MU|GE1/1/2.1001|up|up|eNODOB OPU262 ESTACION_LOURDES LUG2MU (2) 439300 - S1MME
LUG2MU|GE1/1/2.1002|up|up|eNODOB OPU262 ESTACION_LOURDES LUG2MU (3) 439300 - GOMRAN
LUG2MU|GE1/1/2.1003|up|up|eNODOB OPU262 ESTACION_LOURDES LUG2MU (1) 439300 - 3G
LUG2MU|GE1/1/2.1004|up|up|eNODOB OPU262 ESTACION_LOURDES LUG2MU (1) 506701 - 2G
LUG2MU|GE1/1/3|down|down|
LUG2MU|GE1/1/4|up|down|[ACCESO HSI][VI] LUG71D 9701643
LUG2MU|GE1/1/4.2101|up|up|[GESTION] LUG71D ZTE 9210 [ADS2]
LUG2MU|GE1/1/4.3101|up|up|[TOIP] LUG71D ZTE 9210 [ADS2]
LUG2MU|GE1/1/4.4101|up|up|[DATOS] LUG71D ZTE 9210 [ADS2][L2]
LUG2MU|GE1/1/5|up|down|ADSL LUG21D  - 9701260
LUG2MU|GE1/1/5.3|up|up|HSI LUG21D  - ESH1MB
LUG2MU|GE1/1/6|up|down|[ACCESO HSI][VI] LUG91D 9703874
LUG2MU|GE1/1/6.2101|up|up|[GESTION] LUG91D ZTE 9210 [ADS2]
LUG2MU|GE1/1/6.3101|up|up|[TOIP] LUG91D ZTE 9210 [ADS2]
LUG2MU|GE1/1/6.4101|up|up|[DATOS] LUG91D ZTE 9210 [ADS2][L2]
LUG2MU|GE1/1/7|up|down|ADSL LUG51D - 9700455
LUG2MU|GE1/1/7.5|up|down|
LUG2MU|GE1/1/7.2101|up|up|[GESTION] LUG51D ZTE 9210 [ADS2]
LUG2MU|GE1/1/7.3101|up|up|[TOIP] LUG51D ZTE 9210 [ADS2]
LUG2MU|GE1/1/7.4101|up|up|[DATOS] LUG51D ZTE 9210 [ADS2][L2]
LUG2MU|GE1/1/8|down|down|ACCESO D50G01 JOSE INGENIEROS BS AS - LINEA 15003983
LUG2MU|GE1/1/8.2|down|down|[SIGN] D50G01 HUA 5600_T [NGN]
LUG2MU|GE1/1/8.3|down|down|[RTP] D50G01 HUA 5600_T [NGN]
LUG2MU|GE1/1/8.4|down|down|[GESTION] D50G01 HUA 5600_T [NGN]
LUG2MU|GE1/1/8.3101|down|down|[TOIP] D50G01 HUA 5600 [ADS2]
LUG2MU|GE1/1/8.4101|down|down|[DATOS] D50G01 HUA 5600 [ADS2][L2]
LUG2MU|GE1/1/9|*down|down|ACCESO DJGG01 JOSE INGENIEROS BS AS - LINEA 15003582
LUG2MU|GE1/1/9.2|down|down|SIGN NGN DJGG01 MA5600T JOSE INGENIEROS BS AS - LINEA 15003582
LUG2MU|GE1/1/9.3|down|down|RTP NGN DJGG01 MA5600T JOSE INGENIEROS BS AS - LINEA 15003582
LUG2MU|GE1/1/9.4|down|down|GESTION NGN DJGG01 MA5600T JOSE INGENIEROS BS AS - LINEA 15003582
LUG2MU|GE1/1/9.10|down|down|HSI DJGG01 - ESH1MB
LUG2MU|GE1/1/10|down|down|ACCESO DJHG01 JOSE INGENIEROS BS AS - LINEA 15003583
LUG2MU|GE1/1/10.2|down|down|[SIGN] DJHG01 HUA 5600_T [NGN]
LUG2MU|GE1/1/10.3|down|down|[RTP] DJHG01 HUA 5600_T [NGN]
LUG2MU|GE1/1/10.4|down|down|[GESTION] DJHG01 HUA 5600_T [NGN]
LUG2MU|GE1/1/10.3101|down|down|[TOIP] DJHG01 HUA 5600 [ADS2]
LUG2MU|GE1/1/10.4101|down|down|[DATOS] DJHG01 HUA 5600 [ADS2][L2]
LUG2MU|GE1/1/11|down|down|ACCESO DJFG01 JOSE INGENIEROS BS AS - LINEA 15003581
LUG2MU|GE1/1/11.2|down|down|SIGN NGN DJFG01 MA5600T JOSE INGENIEROS BS AS - LINEA 15003581
LUG2MU|GE1/1/11.3|down|down|RTP NGN DJFG01 MA5600T JOSE INGENIEROS BS AS - LINEA 15003581
LUG2MU|GE1/1/11.4|down|down|GESTION NGN DJFG01 MA5600T JOSE INGENIEROS BS AS - LINEA 15003581
LUG2MU|GE1/1/11.5|down|down|PVM NGN DJFG01 MA5600T JOSE INGENIEROS BS AS - LINEA 15003581
LUG2MU|GE1/1/11.12|down|down|HSI DJFG01 - ESH1MB
LUG2MU|GE1/1/12|up|down|COTO - Ref:679129 - Lin:2814452
LUG2MU|GE1/1/12.12|up|up|VPN PLATINUM - COTO VIDEO - REF:885805 - LIN:2860504 - ACC:REF:679129
LUG2MU|GE1/1/12.47|up|up|VPN Platinum - COTO - Ref:679129 - Lin:2814455 - Acc: LUG2MU - 1/1/12
LUG2MU|GE1/1/13|up|down|[ACCESO HSI][VI] LUGM01 15004699
LUG2MU|GE1/1/13.2101|up|up|[GESTION] LUGM01 ALU 7302 [VDS2]
LUG2MU|GE1/1/13.3101|up|up|[TOIP] LUGM01 ALU 7302 [VDS2]
LUG2MU|GE1/1/13.4101|up|up|[DATOS] LUGM01 ALU 7302 [VDS2][L2]
LUG2MU|GE1/1/14|up|down|ACCESO LUGO01 - LINEA 15005431
LUG2MU|GE1/1/14.6|up|up|IPTV LUGO01 IGMP-PIM
LUG2MU|GE1/1/14.7|up|up|[DHCP] [IPTV] LUGO01 HUA 5600T [GPON]
LUG2MU|GE1/1/14.10|up|up|HSI LUGO01 01 - ESH1MB
LUG2MU|GE1/1/14.11|up|up|HSI LUGO01 02 - ESH1MB
LUG2MU|GE1/1/14.12|up|up|HSI LUGO01 03 - ESH1MB
LUG2MU|GE1/1/14.39|up|up|HSI LUGO01 - ESH1MB BE1
LUG2MU|GE1/1/14.3604|up|up|VDSLCORP LUGO01 - ESH1MB
LUG2MU|GE1/1/15|up|down|[ACCESO HSI][VI] LUG61D 9701644
LUG2MU|GE1/1/15.2101|up|up|[GESTION] LUG61D HUA 5600 [ADS2]
LUG2MU|GE1/1/15.3101|up|up|[TOIP] LUG61D HUA 5600 [ADS2]
LUG2MU|GE1/1/15.3648|up|up|VPN GOLD - DIA ARGENTINA SA - Ref:308909 Lin:2738623 Acc:LUG61D 0/14/0
LUG2MU|GE1/1/15.3649|*down|down|VPN Branch Office - Nvo Bco Ind de Azul - Ref:276230 Lin:2733786 Acc:LUG61D 0/14/1
LUG2MU|GE1/1/15.3650|up|up|PRESURIZACION VILLA SANTOS LUGARES - REF: 943311 - ACC: LUG61D 0/14/2 - V46/H17/3
LUG2MU|GE1/1/15.3651|up|up|LDIP - TASA PROCURACION - (5632930) - Acc:LUG61D 0/14/3
LUG2MU|GE1/1/15.3653|up|up|LDIP - TASA CEMENTOS AVELLANEDA - 5633428 - Acc:LUG61D 0/14/5
LUG2MU|GE1/1/15.3656|up|up|LDIP - TASA - Cliente - Ref:647215 - Lin:2795466 Acc:LUG61D 0/14/8-9
LUG2MU|GE1/1/15.3658|up|up|VPN GOLD - DIA ARGENTINA - Ref:538146 Lin:2750963 Acc:LUG61D 0/14/10
LUG2MU|GE1/1/15.3660|up|up|VPN Gold - Ref. 885983 - Bco. Ind. Azul Lin 2860626 ACC: LUG61D 0-14-12 Y 13
LUG2MU|GE1/1/15.3665|up|up|VPN SILVER - GIRE S.A. - Ref:228759 Lin:2706324 - Acc:LUG61D  14/17
LUG2MU|GE1/1/15.3668|up|up|VPN 1M - OCA SRL - Ref:716542- Linea:2826296 - Acc:LUG61D 14/20
LUG2MU|GE1/1/15.3669|up|up|VPN SILVER - Correo Oficial - Ref:263680 - Lin:2721155 - Acc:LUG61D 14/21
LUG2MU|GE1/1/15.3670|up|up|VPN GOLD - BELGRANO CARGAS Y LOGISTICA S.A. - Ref:229161 Lin:2707254 Acc:LUG61D 0/14/22-23
LUG2MU|GE1/1/15.3672|up|up|VPN Gold - Banco Galicia - Ref:82274 - Acc:LUG61D 0/14/24-25
LUG2MU|GE1/1/15.3676|up|up|VPN GOLD - BELGRANO CARGAS Y LOGISTICA S.A. - Ref:119520 Lin:2584601 Acc:LUG61D 14/28-29
LUG2MU|GE1/1/15.3842|up|up|PRESURIZACION VILLA SANTOS LUGARES - REF:943311 - ACC:LUG61D 0/14/2
LUG2MU|GE1/1/15.3850|up|up|Gestion - DIA ARGENTINA - Ref:538146 Lin:2750963 Acc:LUG61D 0/14/10
LUG2MU|GE1/1/15.3852|up|up|VPN Gold - Ref. 885983 - Bco. Ind. Azul Lin 2860626 ACC: LUG61D 0-14-12 Y 13
LUG2MU|GE1/1/15.3854|up|up|Integra Gold - SAMSUNG ELECTRONICS ARGENTINA - Ref:543551 Lin:2756180 Acc:LUG61D 0/14/14-15
LUG2MU|GE1/1/15.3856|up|up|IntegraLight - LABORATORIOS IGALTEX S.R.L. - Ref:632730 - Lin:2788649 Acc:LUG61D 14/16
LUG2MU|GE1/1/15.3862|up|up|Gestion - BELGRANO CARGAS Y LOGISTICA S.A. - Ref:229161 Lin:2707254 Acc:LUG61D 0/14/22-23
LUG2MU|GE1/1/15.3864|up|up|Gestion - Banco Galicia - Ref:82274 - Acc:LUG61D 0/14/24-25
LUG2MU|GE1/1/15.3866|up|up|Integra Light 512K_MONTHELADO_Ref:268653 Lin:2723691 Acc:LUG61D 14/26-27
LUG2MU|GE1/1/15.3868|up|up|Gestion - BELGRANO CARGAS Y LOGISTICA S.A. - Ref:119520 Lin:2584601 Acc:LUG61D 14/28-29
LUG2MU|GE1/1/15.4101|up|up|[DATOS] LUG61D HUA 5600 [ADS2][L2]
LUG2MU|GE1/1/16|up|down|Acceso GHDSL - LUG21D - 9707336
LUG2MU|GE1/1/17|up|down|[ACCESO HSI][VI] LUGA1D 11002899
LUG2MU|GE1/1/17.2101|up|up|[GESTION] LUGA1D ZTE 9210 [ADS2]
LUG2MU|GE1/1/17.3101|up|up|[TOIP] LUGA1D ZTE 9210 [ADS2]
LUG2MU|GE1/1/17.4101|up|up|[DATOS] LUGA1D ZTE 9210 [ADS2][L2]
LUG2MU|GE1/1/18|up|down|[ACCESO HSI][VI] LUGB1D 11002900
LUG2MU|GE1/1/18.2101|up|up|[GESTION] LUGB1D ZTE 9210 [ADS2]
LUG2MU|GE1/1/18.3101|up|up|[TOIP] LUGB1D ZTE 9210 [ADS2]
LUG2MU|GE1/1/18.4101|up|up|[DATOS] LUGB1D ZTE 9210 [ADS2][L2]
LUG2MU|GE1/1/19|up|down|[ACCESO HSI][VI] LUGC1D 11002901
LUG2MU|GE1/1/19.2101|up|up|[GESTION] LUGC1D ZTE 9210 [ADS2]
LUG2MU|GE1/1/19.3101|up|up|[TOIP] LUGC1D ZTE 9210 [ADS2]
LUG2MU|GE1/1/19.4101|up|up|[DATOS] LUGC1D ZTE 9210 [ADS2][L2]
LUG2MU|GE1/1/20|up|down|[ACCESO HSI][VI] LUGD1D 11002902
LUG2MU|GE1/1/20.2101|up|up|[GESTION] LUGD1D ZTE 9210 [ADS2]
LUG2MU|GE1/1/20.3101|up|up|[TOIP] LUGD1D ZTE 9210 [ADS2]
LUG2MU|GE1/1/20.4101|up|up|[DATOS] LUGD1D ZTE 9210 [ADS2][L2]
LUG2MU|GE1/1/21|up|down|eNODOB  WICAP_21_TRES_DE_FEBRERO OPU370
LUG2MU|GE1/1/21.1000|up|up|eNODOB WICAP_21_TRES_DE_FEBRERO OPU370 LUG2MU 1/1/21 (1) 522334 - S1
LUG2MU|GE1/1/21.1001|up|up|eNODOB WICAP_21_TRES_DE_FEBRERO OPU370 LUG2MU 1/1/21 (2) 522334 - S1MME
LUG2MU|GE1/1/21.1002|up|up|eNODOB WICAP_21_TRES_DE_FEBRERO OPU370 LUG2MU 1/1/21 (3) 522334 - GOMRAN
LUG2MU|GE1/1/21.1003|up|up|eNODOB WICAP_21_TRES_DE_FEBRERO OPU370 LUG2MU 1/1/21 (1) 518445 - 3G
LUG2MU|GE1/1/21.1004|up|up|eNODOB WICAP_21_TRES_DE_FEBRERO OPU370 LUG2MU 1/1/21 (1) 522345 - 2G
LUG2MU|GE1/1/22|up|down|eNODOB  WICAP_31_TRES_DE_FEBRERO OPU351
LUG2MU|GE1/1/22.1000|up|up|eNODOB WICAP_31_TRES_DE_FEBRERO OPU335 LUG2MU 1/1/22 (1) 522334 - S1
LUG2MU|GE1/1/22.1001|up|up|eNODOB WICAP_31_TRES_DE_FEBRERO OPU335 LUG2MU 1/1/22 (2) 522334 - S1MME
LUG2MU|GE1/1/22.1002|up|up|eNODOB WICAP_31_TRES_DE_FEBRERO OPU335 LUG2MU 1/1/22 (3) 522334 - GOMRAN
LUG2MU|GE1/1/22.1003|up|up|eNODOB WICAP_31_TRES_DE_FEBRERO OPU335 LUG2MU 1/1/22 (1) 518445 - 3G
LUG2MU|GE1/1/22.1004|up|up|eNODOB WICAP_31_TRES_DE_FEBRERO OPU335 LUG2MU 1/1/22 (1) 522345 - 2G
LUG2MU|GE1/1/23|up|down|eNODOB  WICAP_20_TRES_DE_FEBRERO OPU335
LUG2MU|GE1/1/23.1000|up|up|eNODOB WICAP_20_TRES_DE_FEBRERO OPU335 LUG2MU 1/1/23 (1) 507059 - S1
LUG2MU|GE1/1/23.1001|up|up|eNODOB WICAP_20_TRES_DE_FEBRERO OPU335 LUG2MU 1/1/23 (2) 507059 - S1MME
LUG2MU|GE1/1/23.1002|up|up|eNODOB WICAP_20_TRES_DE_FEBRERO OPU335 LUG2MU 1/1/23 (3) 507059 - GOMRAN
LUG2MU|GE1/1/23.1003|up|up|eNODOB WICAP_20_TRES_DE_FEBRERO OPU335 LUG2MU 1/1/23 (1) 507114 - 3G
LUG2MU|GE3/1/0(10G)|up|up|Enlace 10G DWDM ESH1MB_G0/1/0/6 Linea:15008191 - UPLINK MSBNG
LUG2MU|GE3/1/1(10G)|down|down|
LUG2MU|GE3/1/2(10G)|down|down|
LUG2MU|GE3/1/3(10G)|down|down|
LUG2MU|GE3/1/4(10G)|down|down|
LUG2MU|GE3/1/5(10G)|down|down|
LUG2MU|GE3/1/6(10G)|down|down|
LUG2MU|GE3/1/7(10G)|down|down|
LUG2MU|GE3/1/8(10G)|down|down|
LUG2MU|GE3/1/9(10G)|down|down|
LUG2MU|GE4/0/0|down|down|
LUG2MU|GE4/0/1|down|down|
LUG2MU|GE4/0/2|down|down|
LUG2MU|GE4/0/3|down|down|
LUG2MU|GE4/0/4|down|down|
LUG2MU|GE4/0/5|down|down|
LUG2MU|GE4/0/6|down|down|
LUG2MU|GE4/0/7|down|down|
LUG2MU|GE4/0/8|down|down|
LUG2MU|GE4/0/9|down|down|
LUG2MU|GE4/0/10|down|down|
LUG2MU|GE4/0/11|down|down|
LUG2MU|GE4/0/12|down|down|
LUG2MU|GE4/0/13|down|down|
LUG2MU|GE4/0/14|down|down|
LUG2MU|GE4/0/15|down|down|
LUG2MU|GE4/0/16|down|down|
LUG2MU|GE4/0/17|down|down|
LUG2MU|GE4/0/18|down|down|
LUG2MU|GE4/0/19|down|down|
LUG2MU|GE4/0/20|down|down|
LUG2MU|GE4/0/21|down|down|
LUG2MU|GE4/0/22|down|down|
LUG2MU|GE4/0/23|down|down|
LUG2MU|GE4/1/0|down|down|
LUG2MU|GE4/1/1|down|down|
LUG2MU|GE4/1/2|down|down|
LUG2MU|GE4/1/3|down|down|
LUG2MU|GE4/1/4|down|down|
LUG2MU|GE4/1/5|down|down|
LUG2MU|GE4/1/6|down|down|
LUG2MU|GE4/1/7|down|down|
LUG2MU|GE4/1/8|down|down|
LUG2MU|GE4/1/9|down|down|
LUG2MU|GE4/1/10|down|down|
LUG2MU|GE4/1/11|down|down|
LUG2MU|GE4/1/12|down|down|
LUG2MU|GE4/1/13|down|down|
LUG2MU|GE4/1/14|down|down|
LUG2MU|GE4/1/15|down|down|
LUG2MU|GE4/1/16|down|down|
LUG2MU|GE4/1/17|down|down|
LUG2MU|GE4/1/18|down|down|
LUG2MU|GE4/1/19|down|down|
LUG2MU|GE4/1/20|down|down|
LUG2MU|GE4/1/21|down|down|
LUG2MU|GE4/1/22|down|down|
LUG2MU|GE4/1/23|down|down|
LUG2MU|GE5/1/0(10G)|down|down|
LUG2MU|GE5/1/1(10G)|down|down|
LUG2MU|GE5/1/2(10G)|down|down|
LUG2MU|GE5/1/3(10G)|down|down|
LUG2MU|GE5/1/4(10G)|down|down|
LUG2MU|GE5/1/5(10G)|down|down|
LUG2MU|GE5/1/6(10G)|down|down|
LUG2MU|GE5/1/7(10G)|down|down|
LUG2MU|GE5/1/8(10G)|down|down|
LUG2MU|GE5/1/9(10G)|down|down|
LUG2MU|GE7/0/0|down|down|
