shelfname|interface|portoperationalstate|protocol|info1
MDP3MU|Eth-Trunk2|down|down|LACP A MDPROU01 TELLABS MDPRNC (Gi1/0/1 Gi2/1/1) (437136) 3G
MDP3MU|Eth-Trunk2.2|down|down|LACP A MDPROU01 TELLABS MDPRNC (Gi1/0/1 Gi2/1/1) (437136) 3G
MDP3MU|Eth-Trunk2.3|down|down|LACP A MDPROU01 TELLABS MDPRNC (Gi1/0/13 Gi2/1/2) (437136) S1MME
MDP3MU|Eth-Trunk2.4|down|down|LACP A MDPROU01 TELLABS MDPRNC (Gi1/0/13 Gi2/1/2) (437136) GOMRAN
MDP3MU|Eth-Trunk2.14001003|down|down|
MDP3MU|Eth-Trunk3|*down|down|LACP A MDPROU01 TELLABS MDPRNC (Gi1/0/13 Gi2/1/4) (441392) 3G
MDP3MU|Eth-Trunk3.1000|down|down|LACP A MDPROU01 TELLABS MDPRNC (Gi1/0/13 Gi2/1/4) (441392) 3G
MDP3MU|Eth-Trunk3.1001|down|down|LACP A MDPROU01 TELLABS MDPRNC (Gi1/0/13 Gi2/1/2) (441392) 3G
MDP3MU|Eth-Trunk4|up|down|LAG PTN 18MDP01_G18/1_G19/1
MDP3MU|Eth-Trunk4.106|up|down|
MDP3MU|Eth-Trunk4.107|*down|down|HSI TER31D - BEL1MB- Linea 15006862
MDP3MU|Eth-Trunk4.108|*down|down|HSI CYU31D ZTE9210 -L:15006954 BEL1MB
MDP3MU|Eth-Trunk4.1219|up|down|
MDP3MU|Eth-Trunk4.1391|up|up|VPN-TercerosGECOMTEL-TELPIN-Pinamar-Jason-Ref:9004735 -Lin:9004735 - BEL1MB TG0/5/0/16.550200
MDP3MU|Eth-Trunk4.1433|up|up|Gestion RE-IP  GESTION BALCARCE NORTE-BALCARCE CENTRO-Linea:60000617
MDP3MU|Eth-Trunk4.2055|up|up|TIP_TIPTRESARROYOS(2847367)REFE:783553_Ges.TECO_SERVICIO_WAN_2
MDP3MU|Eth-Trunk4.2361|up|up|GESTION TX RE LIBERTAD-BS AS linea:15002173
MDP3MU|Eth-Trunk4.2470|*down|down|Gestion ATN910 6T61MS COTEL MAR AZUL - Linea 15004703 - ACC: 5RGEE01 5/2
MDP3MU|Eth-Trunk4.2473|*down|down|Gestion ATN910 6T41MS COTEL SUR - Linea 15004704 - ACC: 5RGEE01 5/2
MDP3MU|Eth-Trunk4.2477|*down|down|Gestion ATN910 6T51MS COTEL NORTE - Linea 15004705 - ACC: 5RGEE01 5/1
MDP3MU|Eth-Trunk4.2504|up|up|GESTION_TX_RE_ESPANA linea 60000360
MDP3MU|Eth-Trunk4.2514|up|up|GESTION_TX_RE_VERNET-SANTANGELO linea 60000208
