shelfname|interface|portoperationalstate|protocol|info1
MJU2MU|Eth-Trunk8|up|down|TIP_TIPCOMJUAREZMJU(5623248)(2867671)REFE:347873
MJU2MU|Eth-Trunk8.3|up|up|TIP_TIPCOMJUAREZMJU(5623248)(2867671)REFE:347873
MJU2MU|GE0/0/0|down|down|
MJU2MU|GE3/0/0(10G)|up|up|Enlace 10G DWDM RSC1NA_G0/10/0/27   Linea:13005112 - UPLINK NA
MJU2MU|GE3/0/1(10G)|down|down|
MJU2MU|GE3/1/0|up|down|TIP_TIPCOMJUAREZMJU(5623248)REFE:347873_Ges.TECO
MJU2MU|GE3/1/0.2|up|up|TIP_TIPCOMJUAREZMJU(5623248)REFE:347873_Ges.TECO
MJU2MU|GE3/1/1|up|down|ACCESO ADSL + GHDSL  MJU31D - MARCOS JUAREZ 3 - Linea 9701942
MJU2MU|GE3/1/1.1|up|up|HSI - MJU31D Linea 9701942 - RSC1MB
MJU2MU|GE3/1/1.3617|up|up|VPN Branch Office - Correo Argentino - Ref:84967 Lin:2597843 Acc:MJU31D 15/1
MJU2MU|GE3/1/1.3624|up|up|VPN Branch Office - CPCEC - Ref: 293555 Lin 2739808 Acc MJU31D-15-8
MJU2MU|GE3/1/1.3625|up|up|JUMBO RETAIL ARGENTINA SOCIEDA - ref:85262 - lin:2598876 - DSLAM:MJU31D 00/15/09
MJU2MU|GE3/1/1.3626|up|up|HYPERWAY HEAD QUARTER - POLICIA DE LA PROVINCIA DE COR - Ref:566198 - Lin:2760402 - Acc:MJU31D 15 10
MJU2MU|GE3/1/1.3627|up|up|VPN Head Quarter - MIn Gob Cba - Ref:557052 Lin:2757180 Acc:MJU31D 15 11
MJU2MU|GE3/1/1.3630|up|up|VPN Head Quarter - Ecogas- Ref:259032 Lin:2717136 Acc:MJU31D 0/15/14-15
MJU2MU|GE3/1/1.3632|up|up|VPN GOLD 2M BBVA BANCO FRANCES referencia 554986 Acc:MJU31D
MJU2MU|GE3/1/1.3634|up|up|VPN Head Quarter - Min Gob Cba - Ref:118313 Lin:2501567 Acc:MJU31D 15 18-19
MJU2MU|GE3/1/1.3636|up|up|VPN Branch Office - UPCN - Ref:592355 Lin:2774187 Acc:MJU31D 0-15-20
MJU2MU|GE3/1/1.3640|up|up|VPN GOLD - DIA ARGENTINA S.A. - Ref:308819 Lin:2738057 Acc:MJU31D 0/15/24
MJU2MU|GE3/1/1.3642|up|up|VPN GOLD - ASOCIACION MUTUAL SANCOR SALUD - Ref:915907 Lin:2865847 Acc:MJU31D 0/15/26-27
MJU2MU|GE3/1/1.3652|up|up|VPN - EANA Ref:639622 Marcos Juarez Acc:MJU31D 0/14/4y5
MJU2MU|GE3/1/1.3653|up|up|VPN SILVER por DSLAM - ASOCIACION MUTUAL SANCOR - Ref:607383 Lin: Acc: MJU31D 14/5
MJU2MU|GE3/1/1.3654|up|up|VPN GOLD AFIP -  Ref:163212 Lin:2594538 Acc: MJU31D 0/14/6y7
MJU2MU|GE3/1/1.3658|up|up|VPN HEAD QUARTER - Bco de la Pcia de Cba - Ref:664622 Lin:2806326 - Acc:MJU31D 14 10
MJU2MU|GE3/1/1.3659|*down|down|VPN Head Quarter - Ecogas- Ref:259032 Lin:2717136 Acc:MJU31D 0/14/11
MJU2MU|GE3/1/1.3660|up|up|VPNGold3M - BANCO DE GALICIA Y BUENOS AIRES S.A. - Ref:242187 Lin:2711161 MJU31D 0/14/12-13
MJU2MU|GE3/1/1.3664|up|up|HYP HEAD QUARTER - PODER JUDICIAL GOB.DE LA PROV. DE CORDOBA - Ref:681277 Lin:2815636 Acc:MJU31D 14 16-17
MJU2MU|GE3/1/1.3666|up|up|VPN GOLD - EPEC - Ref:655489 - L:2800643 - MJU31D 0/14 18
MJU2MU|GE3/1/1.3668|up|up|ROENTGEN S.R.L. - ref: 231401 - 2707352- DSLAM: MJU31D 00/14/20
MJU2MU|GE3/1/1.3811|up|up|Integra Light 1M - OSPRERA - Ref:543580 Lin:2756612 Acc:MJU31D 0-15-3
MJU2MU|GE3/1/1.3812|up|up|Integra Light 2M RAYCO SRL Ref:874065 Lin:2858358 Acc:MJU31D 0-15-4-5
