shelfname|interface|portoperationalstate|protocol|info1
MRT3MU|100GE2/0/0|up|up|Enlace 100G DWDM BEL1NA_G0/19/0/6  Linea:15008032 - UPLINK NA
MRT3MU|100GE7/0/0|up|up|Enlace 100G DWDM MUN1NA_G0/19/0/6  Linea:15008031 - UPLINK NA
MRT3MU|GE0/0/0|down|down|
MRT3MU|GE1/0/0|up|down|NGN - LTHG01 - UA LA TAHONA - Linea 9701592
MRT3MU|GE1/0/0.3|up|up|[RTP][SIGN] LTHG01 HUA 5000 [NGN]
MRT3MU|GE1/0/0.4|up|up|[GESTION][IPMB] LTHG01 HUA 5000 [NGN]
MRT3MU|GE1/0/0.5|up|up|[GESTION][PVM] LTHG01 HUA 5000 [NGN]
MRT3MU|GE1/0/1|up|down|[ACCESO HSI][VI] 4M111C 15000339
MRT3MU|GE1/0/1.2101|up|up|[GESTION] 4M111C ECI HIFS [VDS2]
MRT3MU|GE1/0/1.3101|up|up|[TOIP] 4M111C ECI HIFS [VDS2]
MRT3MU|GE1/0/1.4101|up|up|[DATOS] 4M111C ECI HIFS [VDS2][L2]
MRT3MU|GE1/0/2|up|down|[ACCESO HSI][VI] 4M211C 15000340
MRT3MU|GE1/0/2.2101|up|up|[GESTION] 4M211C ECI HIFS [VDS2]
MRT3MU|GE1/0/2.3101|up|up|[TOIP] 4M211C ECI HIFS [VDS2]
MRT3MU|GE1/0/2.4101|up|up|[DATOS] 4M211C ECI HIFS [VDS2][L2]
MRT3MU|GE1/0/3|down|down|
MRT3MU|GE1/0/4|up|down|ADSL MRT21D - 9701172
MRT3MU|GE1/0/4.1|up|up|HSI MRT21D - LOP1MB
MRT3MU|GE1/0/5|down|down|
MRT3MU|GE1/0/6|up|down|CONEXION NGN MARTINEZ (MRTG01) - Linea 9703727
MRT3MU|GE1/0/6.2|up|up|[SIGN] MRTG01 ZTE 5200 [NGN]
MRT3MU|GE1/0/6.3|up|up|[RTP] MRTG01 ZTE 5200 [NGN]
MRT3MU|GE1/0/6.4|up|up|[GESTION] MRTG01 ZTE 5200 [NGN]
MRT3MU|GE1/0/7|up|down|[ACCESO HSI][VI] LTH31D 9700477
MRT3MU|GE1/0/7.2101|up|up|[GESTION] LTH31D ZTE 9210 [ADS2]
MRT3MU|GE1/0/7.3101|up|up|[TOIP] LTH31D ZTE 9210 [ADS2]
MRT3MU|GE1/0/7.4101|up|up|[DATOS] LTH31D ZTE 9210 [ADS2][L2]
MRT3MU|GE1/0/8|up|down|[ACCESO HSI][VI] 4M511C 15000341
MRT3MU|GE1/0/8.2101|up|up|[GESTION] 4M511C ECI HIFS [VDS2]
MRT3MU|GE1/0/8.3101|up|up|[TOIP] 4M511C ECI HIFS [VDS2]
MRT3MU|GE1/0/8.4101|up|up|[DATOS] 4M511C ECI HIFS [VDS2][L2]
MRT3MU|GE1/0/9|up|down|[ACCESO HSI][VI] MU1G01 XXXXXXX
MRT3MU|GE1/0/9.3|up|up|[RTP][SIGN] MU1G01 HUA 5000 [NGN]
MRT3MU|GE1/0/9.4|up|up|[GESTION][IPMB] MU1G01 HUA 5000 [NGN]
MRT3MU|GE1/0/9.5|up|up|[GESTION][PVM] MU1G01 HUA 5000 [NGN]
MRT3MU|GE1/0/9.3101|up|up|[TOIP] MU1G01 HUA 5000 [ADS2]
MRT3MU|GE1/0/9.3622|up|up|SERVICIO - GAS NATURAL BAN S.A. - Ref:246257 Lin:2712411 Acc:MU1G01 0/9
MRT3MU|GE1/0/9.3814|up|up|Gestion UM - GAS NATURAL BAN S.A. - Ref:246257 Lin:2712411 Acc:MU1G01 0/9
MRT3MU|GE1/0/9.4101|up|up|[DATOS] MU1G01 HUA 5000 [ADS2][L2]
MRT3MU|GE1/0/10|up|down|[ACCESO HSI][VI] MU2G01 XXXXXXX
MRT3MU|GE1/0/10.3|up|up|[RTP][SIGN] MU2G01 HUA 5000 [NGN]
MRT3MU|GE1/0/10.4|up|up|[GESTION][IPMB] MU2G01 HUA 5000 [NGN]
MRT3MU|GE1/0/10.5|up|up|[GESTION][PVM] MU2G01 HUA 5000 [NGN]
MRT3MU|GE1/0/10.3101|up|up|[TOIP] MU2G01 HUA 5000 [ADS2]
MRT3MU|GE1/0/10.4101|up|up|[DATOS] MU2G01 HUA 5000 [ADS2][L2]
MRT3MU|GE1/0/11|up|down|[ACCESO HSI][VI] MU3G01 XXXXXXX
MRT3MU|GE1/0/11.3|up|up|[RTP][SIGN] MU3G01 HUA 5000 [NGN]
MRT3MU|GE1/0/11.4|up|up|[GESTION][IPMB] MU3G01 HUA 5000 [NGN]
MRT3MU|GE1/0/11.5|up|up|[GESTION][PVM] MU3G01 HUA 5000 [NGN]
MRT3MU|GE1/0/11.3101|up|up|[TOIP] MU3G01 HUA 5000 [ADS2]
MRT3MU|GE1/0/11.4101|up|up|[DATOS] MU3G01 HUA 5000 [ADS2][L2]
MRT3MU|GE1/0/12|up|down|[ACCESO HSI][VI] 4N211C 15000344
MRT3MU|GE1/0/12.2101|up|up|[GESTION] 4N211C ECI HIFS [VDS2]
MRT3MU|GE1/0/12.3101|up|up|[TOIP] 4N211C ECI HIFS [VDS2]
MRT3MU|GE1/0/12.3495|up|up|WIFI OFFLOADING -- 4N211C
MRT3MU|GE1/0/12.4101|up|up|[DATOS] 4N211C ECI HIFS [VDS2][L2]
MRT3MU|GE1/0/13|up|down|[ACCESO HSI][VI] M1Q11C 15000345
MRT3MU|GE1/0/13.2101|up|up|[GESTION] M1Q11C ECI HIFS [VDS2]
