shelfname|interface|portoperationalstate|protocol|info1
SDE4MU|100GE3/0/0|up|up|Enlace 100G FO SDE1MB_100GE 0/3/0/0 (Linea:130036545) - UPLINK ABR/P
SDE4MU|100GE3/0/1|down|down|
SDE4MU|100GE6/0/0|up|up|Enlace 100G FO SDE1MB_100GE 0/5/0/0 (Linea:130036546) - UPLINK ABR/P
SDE4MU|100GE6/0/1|down|down|
SDE4MU|Eth-Trunk8|up|down|NEW1ME_Eth-Trunk2
SDE4MU|Eth-Trunk8.33|up|up|[TAT] GESTION NEW1ME
SDE4MU|Eth-Trunk8.3104|up|up|VDSLCORP SANTIAGO  13005150 - SDE1MB
SDE4MU|Eth-Trunk8.140001|up|up|HSI NEW21D linea 9702370 - SDE1MB
SDE4MU|Eth-Trunk8.1161160|up|up|INTEGRA - PANEDILE ARGENTINA SAICFEI - REF: 555617 - LINEA: 2756956 - ACC: NEW1ME 6/0/1
SDE4MU|Eth-Trunk8.11510002|up|up|VPN - AA2000 - Ref:788652 - Linea:2849860 - Santiago del Estero
SDE4MU|Eth-Trunk8.11510003|up|up|Gestion - AA2000 - Ref:788652 - Linea:2849860 - Santiago del Estero
SDE4MU|Eth-Trunk8.11520002|up|up|VPN - ARCOS DORADOS - REF:879968 LIN:2858325 - ACC:NEW1ME 5/0/6
SDE4MU|Eth-Trunk8.11540002|*down|down|VPN - AEROLINEAS ARGENTINAS S.A. - REF:941983 (ex296459) - ACC:NEW1ME_6/0/5
SDE4MU|Eth-Trunk8.11600004|up|up|VPN - AA2000 - Ref:778509 - Linea:2849860 - Santiago del Estero - TRZ45015
SDE4MU|Eth-Trunk8.11620184|up|up|INTEGRA - AEROPUERTOS ARGENTINA 2000 SA . - REF: 682283 - LINEA: 2819455 - ACC: NEW1ME 6/0/5
SDE4MU|Eth-Trunk8.11630002|up|up|INTEGRA - MAXI HOGAR SRL - Ref:923537 Lin:2867145 Acc:NEW1ME 6/0/10
SDE4MU|Eth-Trunk8.21713648|up|up|VPN Branch Office - Maxi Hogar - Ref:319519 Lin:2743663 Acc:NEW21D 14 0-1
SDE4MU|Eth-Trunk8.21713850|up|up|INTERNET EMPRESAS REF: 611140 LIN:2782879 ACC:NEW21D 0 14 10y11
SDE4MU|Eth-Trunk8.31220186|up|up|VPN 1M - GARBARINO S A - Ref.731650 - Lin.2829904 - ACC NEW1ME 5/0/2
SDE4MU|Eth-Trunk8.36060002|up|up|[SIGN] ALU7302 NEWI01 BARRIO NEWBERY SGO DEL ESTERO L;13002012 [NGN]
SDE4MU|Eth-Trunk8.36060003|up|up|[RTP] ALU7302 NEWI01 BARRIO NEWBERY SGO DEL ESTERO L;13002012 [NGN]
SDE4MU|Eth-Trunk8.36060004|up|up|[GESTION][IPMB] ALU7302 NEWI01 BARRIO NEWBERY SGO DEL ESTERO L;13002012 [NGN]
SDE4MU|Eth-Trunk8.36070001|up|up|HSI GA7G01 L:13000875 - SDE1MB
SDE4MU|Eth-Trunk8.36070003|up|up|[RTP]BARRIO AEROPUERTO 150VIV -GA7G01-L:13000875 [NGN]
SDE4MU|Eth-Trunk8.36070004|up|up|[GESTION][IPMB] BARRIO AEROPUERTO 150VIV -GA7G01-L:13000875 [NGN]
SDE4MU|Eth-Trunk8.36070005|up|up|[GESTION][PVM] BARRIO AEROPUERTO 150VIV (GA7G01)-L:13000875 [NGN]
SDE4MU|Eth-Trunk8.36080002|up|up|[SIGN]NEWBERY -L:9704940 -EQUIPO DADO DE BAJA EN CONDIS [NGN]
SDE4MU|Eth-Trunk8.36080003|up|up|[RTP]NEWBERY -L:9704940 -EQUIPO DADO DE BAJA EN CONDIS [NGN]
SDE4MU|Eth-Trunk8.36080004|up|up|[GESTION][IPMB]NEWBERY -L:9704940 -EQUIPO DADO DE BAJA EN CONDIS [NGN]
SDE4MU|Eth-Trunk8.39901081|up|up|eNODOB - SANTIAGO_BARRIO_JORGE_NEWBERY - SDE4MU  - A11-S252 - (1) (428688) - S1
SDE4MU|Eth-Trunk8.39901082|up|up|eNODOB - SANTIAGO_BARRIO_JORGE_NEWBERY - SDE4MU  - A11-S252 - (2) (428688) - S1MME
SDE4MU|Eth-Trunk8.39901083|up|up|eNODOB - SANTIAGO_BARRIO_JORGE_NEWBERY - SDE4MU  - A11-S252 - (3) (428688) - GOMRAN
SDE4MU|Eth-Trunk8.39901218|up|up|eNODOB - SANTIAGO_COESA - SDE4MU  - A11-S432 - (1) (520759) - S1
SDE4MU|Eth-Trunk8.39901219|up|up|eNODOB - SANTIAGO_COESA - SDE4MU  - A11-S432 - (2) (520759) - S1MME
SDE4MU|Eth-Trunk8.39901220|up|up|eNODOB - SANTIAGO_COESA - SDE4MU  - A11-S432 - (3) (520759) - GOMRAN
SDE4MU|Eth-Trunk8.39901221|up|up|NODOB - SANTIAGO_COESA - SDE4MU  - A11-S432 - (1) (520886) - 3G
SDE4MU|Eth-Trunk8.39901222|up|up|NODOB - SANTIAGO_COESA - SDE4MU  - A11-S432 - (1) (520895) - 2G
SDE4MU|Eth-Trunk8.39901229|up|up|eNODOB - SANTIAGO_GENERAL_PAZ_(MV) - SDE4MU  - A11-S434 - (1) (522172) - S1
SDE4MU|Eth-Trunk8.39901230|up|up|eNODOB - SANTIAGO_GENERAL_PAZ_(MV) - SDE4MU  - A11-S434 - (2) (522172) - S1MME
SDE4MU|Eth-Trunk8.39901231|up|up|eNODOB - SANTIAGO_GENERAL_PAZ_(MV) - SDE4MU  - A11-S434 - (3) (522172) - GOMRAN
SDE4MU|Eth-Trunk8.39901232|up|up|NODOB - SANTIAGO_GENERAL_PAZ_(MV) - SDE4MU  - A11-S434 - (1) (522156) - 3G
SDE4MU|Eth-Trunk8.39901233|up|up|NODOB - SANTIAGO_GENERAL_PAZ_(MV) - SDE4MU  - A11-S434 - (1) (522128) - 2G
SDE4MU|Eth-Trunk8.39901267|up|up|NODOB - SANTIAGO_BARRIO_JORGE_NEWBERY - SDE4MU  - A11-S252 - (1) (526689) - 3G
SDE4MU|Eth-Trunk8.39901268|up|up|NODOB - SANTIAGO_BARRIO_JORGE_NEWBERY - SDE4MU  - A11-S252 - (1) (526473) - 2G
SDE4MU|Eth-Trunk10|up|down|AUT1ME _ Eth-Trunk2
SDE4MU|Eth-Trunk10.33|up|up|[TAT] GESTION AUT1ME
SDE4MU|Eth-Trunk10.127|up|up|HSI AUT51D  13004632 - SDE1MB
SDE4MU|Eth-Trunk10.128|up|up|HSI AUT41D  13004631 - SDE1MB
SDE4MU|Eth-Trunk10.129|up|up|HSI AUT31D  13004630 - SDE1MB
SDE4MU|Eth-Trunk10.1060|up|up|L2L GECOMTEL - Lin:9004742 <-> CEN4MU 16/1/21.1060
SDE4MU|Eth-Trunk10.10105|up|up|HSI AUT21D  L:9702368 - SDE1MB
SDE4MU|Eth-Trunk10.10834|up|up|HSI AUTM01  L:13002246 - SDE1MB
SDE4MU|Eth-Trunk10.11239|up|up|VPN - BANCO DE SANTIAGO DEL ESTERO  S.A. - REF: 223661 - LINEA: 2870183 - ACC: AUT1ME 5/0/9
SDE4MU|Eth-Trunk10.102003|up|up|[HSI] B VILLA DEL CARMEN-VCGG01-L:13000370 A- SDE1MB
SDE4MU|Eth-Trunk10.1053648|up|up|VPN SILVER - TECNO ACCION S.A. - Ref:773460 Lin:2841705 Acc:AUT21D 0/14/0
SDE4MU|Eth-Trunk10.1053649|up|up|VPN Branch - Lo Bruno - Ref: 212927 - L: 2713817 - Acc: AUT21D 14/1
SDE4MU|Eth-Trunk10.1053652|up|up|VPN SILVER - BSE - Ref:780174 - L:2845721 - AUT21D 0-14-4
SDE4MU|Eth-Trunk10.1053662|up|up|VPN Head Quarter - TRANSPORTES LA SEVILLANITA S.R .L. - Ref:275194 Lin:2727093 Acc:AUT21D 14 14 15
SDE4MU|Eth-Trunk10.1053665|up|up|### VPN Head Quarter - ORTEGA CAMIONES SA - Ref:612166 - Lin:2782546 - Acc:AUT21D 14/17 ###
SDE4MU|Eth-Trunk10.1053666|up|up|VPN SILVER - BSE - Ref:612867 - L:2784284 - AUT21D 0-14 18
SDE4MU|Eth-Trunk10.1053667|up|up|VPN SILVER - B P SA - Ref:615958 - Lin:2789432 Acc:AUT21D 0/14/19
SDE4MU|Eth-Trunk10.1053673|up|up|BRANCH OFFICE 1MB WESTBERG REF:652920 LIN:2799413 ACC:AUT21D 0 14 25
SDE4MU|Eth-Trunk10.1053845|up|up|IntegraLight - EMPRENDIMIENTO METALURGICO IND USTRIAL S.R.L. - Ref:604420 - Lin:2778006 Acc:AUT21D SHDSL-0-14-005
SDE4MU|Eth-Trunk10.1053856|up|up|Integra Light 1M - PETROSAN SA - Referencia: 611255 Linea: 2781924 Acc: AUT21D 0-14-16
SDE4MU|Eth-Trunk10.1053864|up|up|IntegraLight - SERVICIO PENITENCIARIO FEDERAL - Ref:648451 - Lin:2798240 Acc:AUT21D SHDSL-0-14-024
SDE4MU|Eth-Trunk10.20020002|up|up|[SIGN] B VILLA DEL CARMEN-VCGG01-L:13000370 [NGN]
SDE4MU|Eth-Trunk10.20020003|up|up|[RTP] B VILLA DEL CARMEN-VCGG01-L:13000370 [NGN]
SDE4MU|Eth-Trunk10.20020004|up|up|[GESTION][IPMB] B VILLA DEL CARMEN-VCGG01-L:13000370 [NGN]
SDE4MU|Eth-Trunk10.31210001|up|up|[HSI] VKMG01 HUA 5000 - 13001040 - SDE1MB
SDE4MU|Eth-Trunk10.31210003|up|up|[RTP]VKMG01 HUA 5000 - 13001040 [NGN]
SDE4MU|Eth-Trunk10.31210004|up|up|[GESTION][IPMB] VKMG01 HUA 5000 - 13001040 [NGN]
SDE4MU|Eth-Trunk10.31210005|up|up|[GESTION][PVM] VKMG01 HUA 5000 - 13001040  [NGN]
SDE4MU|Eth-Trunk10.31220001|up|up|[HSI] 3BIG01 HUA 5616- 13001753 - SDE1MB
SDE4MU|Eth-Trunk10.31220002|up|up|[SIGN]3BIG01 HUA 5616- 13001753 [NGN]
SDE4MU|Eth-Trunk10.31220003|up|up|[RTP]3BIG01 HUA 5616- 13001753 [NGN]
SDE4MU|Eth-Trunk10.31220004|up|up|[GESTION][IPBM] 3BIG01 HUA 5616- 13001753  [NGN]
SDE4MU|Eth-Trunk10.31230002|up|up|[SIGN] ZTE AUTONOMIA-AUTG01-L:13000132 [NGN]
SDE4MU|Eth-Trunk10.31230003|up|up|[RTP] ZTE AUTONOMIA-AUTG01)-L:13000132 [NGN]
SDE4MU|Eth-Trunk10.31230004|up|up|[GESTION][IPMB] ZTE AUTONOMIA-AUTG01)-L:13000132 [NGN]
SDE4MU|Eth-Trunk10.36090002|up|up|[SIGN] ALU7302 AUTI01 SGO DEL ESTERO - L:13002010 [NGN]
SDE4MU|Eth-Trunk10.36090003|up|up|[RTP] ALU7302 AUTI01 SGO DEL ESTERO - L:13002010 [NGN]
SDE4MU|Eth-Trunk10.36090004|up|up|[GESTION][IPMB] ALU7302 AUTI01 SGO DEL ESTERO - L:13002010 [NGN]
SDE4MU|Eth-Trunk10.36100001|up|up|[HSI] 2EVG01 HW5616 - 13001477 - SDE1MB
SDE4MU|Eth-Trunk10.36100002|up|up|[SIGN]2EVG01 HW5616 - 13001477 [NGN]
SDE4MU|Eth-Trunk10.36100003|up|up|[RTP] 2EVG01 HW5616 - 13001477 [NGN]
SDE4MU|Eth-Trunk10.36100004|up|up|[GESTION][IPMB] 2EVG01 HW5616 - 13001477  [NGN]
SDE4MU|Eth-Trunk10.36110001|up|up|[HSI] 0SAG01 HW5616 - 13001036 - SDE1MB
SDE4MU|Eth-Trunk10.36110002|up|up|[SIGN]0SAG01 HW5616 - 13001036 [NGN]
SDE4MU|Eth-Trunk10.36110003|up|up|[RTP] 0SAG01 HW5616 - 13001036 [NGN]
SDE4MU|Eth-Trunk10.36110004|up|up|[GESTION][IPMB] 0SAG01 HW5616 - 13001036  [NGN]
SDE4MU|Eth-Trunk10.39901006|up|up|eNODOB - SANTIAGO_AUTONOMIA_A11-S133 - AUT1ME 6/0/3 (5688219) (429258) - S1
SDE4MU|Eth-Trunk10.39901007|up|up|eNODOB - SANTIAGO_AUTONOMIA_A11-S133 - AUT1ME 6/0/3 (5688220) (429258) - S1MME
SDE4MU|Eth-Trunk10.39901008|up|up|eNODOB - SANTIAGO_AUTONOMIA_A11-S133 - AUT1ME 6/0/3 (5688221) (429258) - GOMRAN
