shelfname|interface|portoperationalstate|protocol|info1
SVC3MU|Eth-Trunk0|down|down|
SVC3MU|Eth-Trunk1|down|down|FRONTERA CSC TECO-FIBERCORP  Lineas:15009344/15009345
SVC3MU|Eth-Trunk1.100|down|down|FRONTERA CSC TECO-FIBERCORP  Lineas:15009344/15009345
SVC3MU|Eth-Trunk4|*down|down|conexion a SWITCH MONITOREO - SWM1.SVC1 - LINEA 13007382
SVC3MU|Eth-Trunk4.8|*down|down|CONEXION PATHTRACK SAN VICENTE - SWM1.SVC1
SVC3MU|Eth-Trunk4.13|*down|down|VLAN_13-HUB_Monitoreo - SWM1.SVC1
SVC3MU|Eth-Trunk4.18|*down|down|VLAN_18-HUB_SUPERVISION - SWM1.SVC1
SVC3MU|Eth-Trunk4.3456|*down|down|GESTION SWTICH MONITOREO SAN VICENTE SWM1.SVC1 LINEA 13007382
SVC3MU|GE0/0/0|down|down|
SVC3MU|GE1/0/0|up|down|LIBERTAD SA VPN referencia774301 lin: 2842094 - ACC:DH7T1 - SVCT1 - TRZ43397
SVC3MU|GE1/0/0.2|up|up|description LIBERTAD SA VPN referencia774301 lin: 2842094 - ACC:DH7T1 - SVCT1 - TRZ43397
SVC3MU|GE1/0/1|up|down|[ACCESO HSI][VI] 20S11C 13001523
SVC3MU|GE1/0/1.2101|up|up|[GESTION] 20S11C ALU 7330 [VDS2]
SVC3MU|GE1/0/1.3101|up|up|[TOIP] 20S11C ALU 7330 [VDS2]
SVC3MU|GE1/0/1.4101|up|up|[DATOS] 20S11C ALU 7330 [VDS2][L2]
SVC3MU|GE1/0/2|*down|down|[ACCESO HSI][VI] SVC91D 13003428
SVC3MU|GE1/0/2.2101|down|down|[GESTION] SVC91D HUA 5600 [ADS2]
SVC3MU|GE1/0/2.3101|down|down|[TOIP] SVC91D HUA 5600 [ADS2]
SVC3MU|GE1/0/2.4101|down|down|[DATOS] SVC91D HUA 5600 [ADS2][L2]
SVC3MU|GE1/0/3|*down|down|[ACCESO HSI][VI] SVCI1D 13003725
SVC3MU|GE1/0/3.2101|down|down|[GESTION] SVCI1D HUA 5600 [ADS2]
SVC3MU|GE1/0/3.3101|down|down|[TOIP] SVCI1D HUA 5600 [ADS2]
SVC3MU|GE1/0/3.4101|down|down|[DATOS] SVCI1D HUA 5600 [ADS2][L2]
SVC3MU|GE1/0/4|*down|down|[ACCESO HSI][VI] SVCL1D 13003728
SVC3MU|GE1/0/4.2101|down|down|[GESTION] SVCL1D ZTE 9800 [ADS2]
SVC3MU|GE1/0/4.3101|down|down|[TOIP] SVCL1D ZTE 9800 [ADS2]
SVC3MU|GE1/0/4.4101|down|down|[DATOS] SVCL1D ZTE 9800 [ADS2][L2]
SVC3MU|GE1/0/5|up|down|[ACCESO HSI][VI] SVCA1D 13003429
SVC3MU|GE1/0/5.2101|up|up|[GESTION] SVCA1D HUA 5600 [ADS2]
SVC3MU|GE1/0/5.3101|up|up|[TOIP] SVCA1D HUA 5600 [ADS2]
SVC3MU|GE1/0/5.4101|up|up|[DATOS] SVCA1D HUA 5600 [ADS2][L2]
