shelfname|interface|portoperationalstate|protocol|info1
TEP1MU|GE0/0/0|down|down|
TEP1MU|GE0/1/0|up|down|HSI MDI11D - BEL1MB - Linea 82320
TEP1MU|GE0/1/0.1|up|up|HSI MDI11D - TNN1MU
TEP1MU|GE0/1/1|up|down|ACCESO MX1G01 HUA 5000 [NGN]
TEP1MU|GE0/1/1.1|up|up|HSI MX1G01 - TNN1MU
TEP1MU|GE0/1/1.3|up|up|[RTP][SIGN] MX1G01 HUA 5000 [NGN]
TEP1MU|GE0/1/1.4|up|up|[GESTION][IPMB] MX1G01 HUA 5000 [NGN]
TEP1MU|GE0/1/1.5|up|up|[GESTION][PVM] MX1G01 HUA 5000 [NGN]
TEP1MU|GE0/1/2|up|down|ACCESO MX2G01 HUA 5000 [NGN]
TEP1MU|GE0/1/2.1|up|up|HSI MX2G01 - TNN1MU
TEP1MU|GE0/1/2.3|up|up|[RTP][SIGN] MX2G01 HUA 5000 [NGN]
TEP1MU|GE0/1/2.4|up|up|[GESTION][IPMB] MX2G01 HUA 5000 [NGN]
TEP1MU|GE0/1/2.5|up|up|[GESTION][PVM] MX2G01 HUA 5000 [NGN]
TEP1MU|GE0/1/3|up|down|Acceso NGN_MDIG01 - MADARIAGA A99 - Linea 9701538
TEP1MU|GE0/1/3.3|up|up|[RTP][SIGN] MDIG01 HUA 5000 [NGN]
TEP1MU|GE0/1/3.4|up|up|[GESTION][IPMB] MDIG01 HUA 5000 [NGN]
TEP1MU|GE0/1/3.5|up|up|[GESTION][PVM] MDIG01 HUA 5000 [NGN]
TEP1MU|GE0/1/4|up|down|HSI MDI31D - TNN1MU - Linea 15006338
TEP1MU|GE0/1/4.1|up|up|HSI MDI31D - TNN1MU
TEP1MU|GE0/1/5|up|down|HSI MDI41D - TNN1MU - Linea 15006339
TEP1MU|GE0/1/5.1|up|up|HSI MDI41D - TNN1MU
TEP1MU|GE0/1/6|up|down|ADSL MDI51D -  15006340
TEP1MU|GE0/1/6.1|up|up|HSI MDI51D - TNN1MU
TEP1MU|GE0/1/7|up|down|ADSL MDI21D -  60000434
TEP1MU|GE0/1/7.1|up|up|HSI MDI21D - TNN1MU
TEP1MU|GE0/1/8|down|down|
TEP1MU|GE0/1/9|down|down|
TEP1MU|GE0/2/0|down|down|
TEP1MU|GE0/2/1|down|down|
TEP1MU|GE0/2/2|down|down|
TEP1MU|GE0/2/3|down|down|
TEP1MU|GE0/2/4|down|down|
TEP1MU|GE0/2/5|down|down|
TEP1MU|GE0/2/6|down|down|
TEP1MU|GE0/2/7|down|down|
TEP1MU|GE0/2/8|down|down|
TEP1MU|GE0/2/9|down|down|
TEP1MU|GE0/3/0(10G)|up|up|Enlace 10G DWDM TNN1MU_G0/1/1/5 Linea:15008635 - UPLINK MSBNG
TEP1MU|GE0/3/1|down|down|
TEP1MU|GE0/3/2|down|down|
TEP1MU|GE0/3/3|down|down|
TEP1MU|GE0/3/4|down|down|
TEP1MU|GE0/3/5|down|down|
TEP1MU|GE0/3/6|down|down|
TEP1MU|GE0/3/7|down|down|
TEP1MU|GE0/3/8|down|down|
TEP1MU|GE0/5/0(10G)|up|up|Enlace 10G FO GEE1MU_G0/3/0 Linea:15008628 - UPLINK MSBNG
TEP1MU|GE0/5/1|down|down|
TEP1MU|GE0/5/2|down|down|
TEP1MU|GE0/5/3|down|down|
TEP1MU|GE0/5/4|down|down|
TEP1MU|GE0/5/5|down|down|
TEP1MU|GE0/5/6|down|down|
TEP1MU|GE0/5/7|down|down|
TEP1MU|GE0/5/8|down|down|


