shelfname|interface|portoperationalstate|protocol|info1
UCA1MU|Eth0/0/0|up|up|HUAWEI, Ethernet0/0/0 Interface
UCA1MU|GE0/1/0|up|down|CONEXION A 1NUCA01 - Linea:700013
UCA1MU|GE0/1/0.1221|up|up|GESTION VMI3MU Eth-Trunk1.1221 -
UCA1MU|GE0/1/0.1222|up|up|UPLINK A VMI3MU Eth-Trunk1.1222 1
UCA1MU|GE0/1/0.1223|up|up|UPLINK A VMI3MU Eth-Trunk1.1223 1
UCA1MU|GE0/1/0.1224|up|up|UPLINK A VMI3MU Eth-Trunk1.1224 1
UCA1MU|GE0/1/0.1225|up|up|UPLINK A VMI3MU Eth-Trunk1.1225 1
UCA1MU|GE0/1/0.1226|up|up|UPLINK A VMI3MU Eth-Trunk1.1226 1
UCA1MU|GE0/1/0.1227|up|up|UPLINK A VMI3MU Eth-Trunk1.1227 1
UCA1MU|GE0/1/0.1228|up|up|UPLINK A VMI3MU Eth-Trunk1.1228 1
UCA1MU|GE0/1/0.1229|up|up|UPLINK A VMI3MU Eth-Trunk1.1229 1
UCA1MU|GE0/1/0.1230|up|up|UPLINK A VMI3MU Eth-Trunk1.1230 1
UCA1MU|GE0/1/0.1260|up|up|UPLINK A VMI3MU Eth-Trunk1.1262 1
UCA1MU|GE0/1/0.1261|up|up|UPLINK A VMI3MU Eth-Trunk1.1261 1
UCA1MU|GE0/1/1|up|down|eNODOB - BENGOLEA - UCA1MU 0/1/1
UCA1MU|GE0/1/1.1005|up|up|eNODOB - BENGOLEA - UCA1MU 0/1/1
UCA1MU|GE0/1/1.1006|up|up|eNODOB - BENGOLEA - UCA1MU 0/1/1
UCA1MU|GE0/1/1.1007|up|up|eNODOB - BENGOLEA - UCA1MU 0/1/1
UCA1MU|GE0/1/1.1008|up|up|NODOB - BENGOLEA - UCA1MU 0/1/1 -
UCA1MU|GE0/1/1.1009|up|up|NODOB - BENGOLEA - UCA1MU 0/1/1 -
UCA1MU|GE0/1/1.1010|up|up|eNODOB - BENGOLEA - UCA1MU 0/1/1
UCA1MU|GE0/1/1.1011|up|up|eNODOB - BENGOLEA - UCA1MU 0/1/1
UCA1MU|GE0/1/1.1012|up|up|eNODOB - BENGOLEA - UCA1MU 0/1/1
UCA1MU|GE0/1/1.1013|up|up|eNODOB - BENGOLEA - UCA1MU 0/1/1
UCA1MU|GE0/1/2|up|down|eNODOB UCACHA - A02-S051 (756681)
UCA1MU|GE0/1/2.1000|up|up|eNODOB - UCACHA - A02-S051 - (1)
UCA1MU|GE0/1/2.1001|up|up|eNODOB - UCACHA - A02-S051 - (2)
UCA1MU|GE0/1/2.1002|up|up|eNODOB - UCACHA - A02-S051 - (3)
UCA1MU|GE0/1/2.1003|up|up|NODOB - UCACHA - A02-S051 - (1) (
UCA1MU|GE0/1/2.1004|up|up|NODOB - UCACHA - A02-S051- (1) (7
UCA1MU|GE0/1/3|down|down|HUAWEI, GigabitEthernet0/1/3 Inte
UCA1MU|GE0/1/4|up|down|ACCESO UCA11D - Linea 9703135
UCA1MU|GE0/1/4.1|up|up|HSI UCA11D  - Linea 9703135
UCA1MU|GE0/1/4.2|up|up|GHDSL UCA11D  - Linea 9703135
UCA1MU|GE0/1/4.3841|up|up|PRESURIZACION UCACHA - REF:943235
UCA1MU|GE0/1/5|down|down|HUAWEI, GigabitEthernet0/1/5 Inte
UCA1MU|GE0/1/6|down|down|HUAWEI, GigabitEthernet0/1/6 Inte
UCA1MU|GE0/1/7|down|down|HUAWEI, GigabitEthernet0/1/7 Inte
UCA1MU|GE0/2/0|down|down|HUAWEI, GigabitEthernet0/2/0 Inte
UCA1MU|GE0/2/1|down|down|HUAWEI, GigabitEthernet0/2/1 Inte
UCA1MU|GE0/2/2|down|down|HUAWEI, GigabitEthernet0/2/2 Inte
UCA1MU|GE0/2/3|down|down|HUAWEI, GigabitEthernet0/2/3 Inte
UCA1MU|GE0/2/4|down|down|HUAWEI, GigabitEthernet0/2/4 Inte
UCA1MU|GE0/2/5|down|down|HUAWEI, GigabitEthernet0/2/5 Inte
UCA1MU|GE0/2/6|down|down|HUAWEI, GigabitEthernet0/2/6 Inte
UCA1MU|GE0/2/7|down|down|HUAWEI, GigabitEthernet0/2/7 Inte
UCA1MU|GE0/3/0|down|down|HUAWEI, GigabitEthernet0/3/0 Inte
UCA1MU|GE0/3/1|down|down|HUAWEI, GigabitEthernet0/3/1 Inte
UCA1MU|GE0/3/2|down|down|HUAWEI, GigabitEthernet0/3/2 Inte
UCA1MU|GE0/3/3|down|down|HUAWEI, GigabitEthernet0/3/3 Inte


