shelfname|interface|portoperationalstate|protocol|info1
VCO2MU|Eth-Trunk10|up|down|LAG 1+1 BZGG01 L  11005465
VCO2MU|Eth-Trunk10.3|up|up|[RTP][SIGN] BZGG01 HUA 5000 [NGN]
VCO2MU|Eth-Trunk10.4|up|up|[GESTION][IPMB] BZGG01 HUA 5000 [NGN]
VCO2MU|Eth-Trunk10.5|up|up|[GESTION][PVM] BZGG01 HUA 5000 [NGN]
VCO2MU|Eth-Trunk10.4101|up|up|[DATOS] BZGG01 HUA 5000 [ADS2][L2]
VCO2MU|GE0/0/0|down|down|
VCO2MU|GE1/0/0|up|down|[ACCESO HSI][FI] VCO51D 11000303
VCO2MU|GE1/0/0.2101|up|up|[GESTION] VCO51D ZTE 9800 [ADS2]
VCO2MU|GE1/0/0.3101|up|up|[TOIP] VCO51D ZTE 9800 [ADS2]
VCO2MU|GE1/0/0.3616|up|up|VPN Head Quarter - BNA - Ref:539723 Lin:2752124 Acc:VCO51D 1/17/01 VCO / V12 / HD / 065
VCO2MU|GE1/0/0.3620|up|up|### VPN Head Quarter - SERVICIO PUBLICO PROVINCIAL DE DEFENSA PENAL - Ref:615137 - Lin:2784053 - Acc:VCO51D 17/5###
VCO2MU|GE1/0/0.3621|up|up|PRESURIZACION VILLA CONSTITUCION - REF:950112 - ACC:VCO51D 0/17/6
VCO2MU|GE1/0/0.3622|up|up|VPN GOLD - MINISTERIO DE GOBIERNO Y REFORMA DEL ESTADO SANTA FE- Ref:597161 Lin:2773585 Acc: VCO51D 1/17- 07y08
VCO2MU|GE1/0/0.3624|up|up|VPN Head Quarter - Tarjeta Naranja - Ref:82618 Lin:2704596 Acc:VCO51D 1/17 9
VCO2MU|GE1/0/0.3630|up|up|163016-2M-AFIP Acc:VCO51D SHDSL 0/17/15- 16 Linea:2594478
VCO2MU|GE1/0/0.3636|up|up|VPN - ANSES - Ref:677912 - Lin:2813789 - Acc:VCO51D 1-17-21
VCO2MU|GE1/0/0.3638|up|up|VPN GOLD - DIA ARGENTINA S.A. - Ref:308834 Lin:2738101 Acc:VCO51D 0/17/23
VCO2MU|GE1/0/0.3813|up|up|PRESURIZACION VILLA CONSTITUCION - REF:950112 - ACC:VCO51D 0/17/6
VCO2MU|GE1/0/0.3816|up|up|Gestion VPN - Tarjeta Naranja - Ref:82618 Lin:2704596 Acc:VCO51D 1/17 9
VCO2MU|GE1/0/0.3820|up|up|IntegraLight - BANCO CREDICOOP COOP. LTDO. -Ref:637705 - Lin:2791866 Acc:VCO51D SHDSL-1-1-17-13
VCO2MU|GE1/0/0.3824|up|up|INTEGRA GOLD - CORREO ARG - Ref:661390 acc:VCO51D/17/17
VCO2MU|GE1/0/0.3828|up|up|ANSES VPN - 1M - GESTION - 677912 - 2813789 - Acc:VCO51D 1-17-21
VCO2MU|GE1/0/0.3832|up|up|INTEGRALIGHT-CETROGAR S.A.- REF.670730 - LIN.2809407 -ACC.VCO51D 17-25 Y 26
VCO2MU|GE1/0/0.3838|up|up|Integra Light 2M - MURIEL MUEBLES SRL - Ref:283906 Lin:2731906 Acc:VCO51D 0/17/31-32
VCO2MU|GE1/0/0.4101|up|up|[DATOS] VCO51D ZTE 9800 [ADS2][L3]
VCO2MU|GE1/0/1|up|down|[ACCESO NGN][FI] BYMG01 HUA 5000 9703396
VCO2MU|GE1/0/1.3|up|up|[RTP][SIGN] BYMG01 HUA 5000 [NGN]
VCO2MU|GE1/0/1.4|up|up|[GESTION][IPMB] BYMG01 HUA 5000 [NGN]
VCO2MU|GE1/0/1.5|up|up|[GESTION][PVM] BYMG01 HUA 5000 [NGN]
VCO2MU|GE1/0/1.4101|up|up|[DATOS] BYMG01 HUA 5000 [ADS2][L3]
VCO2MU|GE1/0/2|up|down|[ACCESO NGN][FI] BTYG01 HUA 5000 9703536
VCO2MU|GE1/0/2.3|up|up|[RTP][SIGN] BTYG01 HUA 5000 [NGN]
VCO2MU|GE1/0/2.4|up|up|[GESTION][IPMB] BTYG01 HUA 5000 [NGN]
VCO2MU|GE1/0/2.5|up|up|[GESTION][PVM] BTYG01 HUA 5000 [NGN]
VCO2MU|GE1/0/2.47|up|up|[GHDSL] BTYG01 L9703536  RSC2MB
VCO2MU|GE1/0/2.4101|up|up|[DATOS] BTYG01 HUA 5000 [ADS2][L3]
VCO2MU|GE1/0/3|up|down|[ACCESO HSI][FI] VCO91D 11002823
VCO2MU|GE1/0/3.2101|up|up|[GESTION] VCO91D ZTE 9210 [ADS2]
VCO2MU|GE1/0/3.3101|up|up|[TOIP] VCO91D ZTE 9210 [ADS2]
VCO2MU|GE1/0/3.4101|up|up|[DATOS] VCO91D ZTE 9210 [ADS2][L3]
VCO2MU|GE1/0/4|up|down|[ACCESO HSI][FI] VCO31D 9701289
VCO2MU|GE1/0/4.2101|up|up|[GESTION] VCO31D ZTE 9210 [ADS2]
VCO2MU|GE1/0/4.3101|up|up|[TOIP] VCO31D ZTE 9210 [ADS2]
VCO2MU|GE1/0/4.4101|up|up|[DATOS] VCO31D ZTE 9210 [ADS2][L3]
VCO2MU|GE1/0/5|up|down|[ACCESO HSI][FI] BPQG01 L9704396
VCO2MU|GE1/0/5.2|up|up|[SIGN] BPQG01 ZTE 5200 [NGN]
VCO2MU|GE1/0/5.3|up|up|[RTP] BPQG01 ZTE 5200 [NGN]
VCO2MU|GE1/0/5.4|up|up|[GESTION] BPQG01 ZTE 5200 [NGN]
VCO2MU|GE1/0/5.4101|up|up|[DATOS] BPQG01 ZTE 5200 [ADS2][L3]
VCO2MU|GE1/0/6|down|down|
VCO2MU|GE1/0/7|down|down|
VCO2MU|GE1/0/8|*down|down|
VCO2MU|GE1/0/9|up|down|ACCESO UMG VCOG VILLA CONSTITUCION - LINEA 9701970
VCO2MU|GE1/0/9.2|up|up|SIGN NGN VCOG UMG8900 VILLA CONSTITUCION
VCO2MU|GE1/0/9.3|up|up|RTP NGN VCOG UMG8900 VILLA CONSTITUCION
VCO2MU|GE1/0/9.5|up|up|GESTION NGN VCOG UMG8900 VILLA CONSTITUCION
VCO2MU|GE1/0/10|up|down|VPNTASARIOCONST_Ref:879314_GesTECO
VCO2MU|GE1/0/10.2|up|up|VPNTASARIOCONST_Ref:879314_GesTECO
VCO2MU|GE1/0/11|up|down|VPNTASARIOCONST_Ref:877403_GesTECO
VCO2MU|GE1/0/11.2|up|up|VPNTASARIOCONST_Ref:877403_GesTECO
VCO2MU|GE1/0/12|down|down|
VCO2MU|GE1/0/13|down|down|
VCO2MU|GE1/0/14|down|down|
VCO2MU|GE1/0/15|up|down|INTEGRA - ROSARIO BUS SA - REF: 942585 - LINEA: 2868546 - ACC: VCO2MU 1/0/15
VCO2MU|GE1/0/15.2|up|up|INTEGRA - ROSARIO BUS SA - REF: 942585 - LINEA: 2868546 - ACC: VCO2MU 1/0/15
VCO2MU|GE1/0/16|up|down|L2L - CPS COMUNICACIONES - REF: 944332 - LINEA: 2868959 - VPLS: ELAN_93321_944332
VCO2MU|GE1/0/16.539|up|up|L2L - CPS COMUNICACIONES - REF: 944332 - LINEA: 2868959 - VPLS: ELAN_93321_944332
VCO2MU|GE1/0/16.4001|up|up|GESTION L2L - CPS COMUNICACIONES - REF: 944332 - LINEA: 2868959
VCO2MU|GE1/0/17|down|down|
VCO2MU|GE1/0/18|down|down|
VCO2MU|GE1/0/19|down|down|
VCO2MU|GE1/0/20|down|down|
VCO2MU|GE1/0/21|down|down|
VCO2MU|GE1/0/22|down|down|
VCO2MU|GE1/0/23|down|down|
VCO2MU|GE1/1/0|down|down|
VCO2MU|GE1/1/1|down|down|
VCO2MU|GE1/1/2|down|down|
VCO2MU|GE1/1/3|down|down|
VCO2MU|GE1/1/4|down|down|
VCO2MU|GE1/1/5|down|down|
VCO2MU|GE1/1/6|down|down|
VCO2MU|GE1/1/7|down|down|
VCO2MU|GE1/1/8|down|down|
VCO2MU|GE1/1/9|down|down|
VCO2MU|GE1/1/10|down|down|
VCO2MU|GE1/1/11|down|down|
VCO2MU|GE1/1/12|down|down|
VCO2MU|GE1/1/13|down|down|
VCO2MU|GE1/1/14|down|down|
VCO2MU|GE1/1/15|down|down|
VCO2MU|GE1/1/16|down|down|
VCO2MU|GE1/1/17|down|down|
VCO2MU|GE1/1/18|down|down|
VCO2MU|GE1/1/19|down|down|
VCO2MU|GE1/1/20|down|down|
VCO2MU|GE1/1/21|down|down|
VCO2MU|GE1/1/22|down|down|
VCO2MU|GE1/1/23|down|down|
VCO2MU|GE2/1/0(10G)|down|down|
VCO2MU|GE2/1/1(10G)|down|down|
VCO2MU|GE2/1/2(10G)|up|down|[ACCESO HSI][FI] VCON01 -11002567
VCO2MU|GE2/1/2.6|up|up|IPTV VCON01 IGMP-PIM
VCO2MU|GE2/1/2.7|up|up|[DHCP] [IPTV] VCON01 ALC 7302 [GPON]
VCO2MU|GE2/1/2.10|up|up|[DATOS] VCON01 10 ALU 7302 [GPON]
VCO2MU|GE2/1/2.11|up|up|[DATOS] VCON01 11 ALU 7302 [GPON]
VCO2MU|GE2/1/2.12|up|up|[DATOS] VCON01 12 ALU 7302 [GPON]
VCO2MU|GE2/1/2.2101|up|up|[GESTION] VCON01 ALC 7302 [GPON]
VCO2MU|GE2/1/2.3101|up|up|[TOIP] VCON01 ALC 7302 [GPON]
VCO2MU|GE2/1/2.4101|up|up|[DATOS] VCON01 00 ALC 7302 [GPON]
VCO2MU|GE2/1/3(10G)|up|down|TIP - CONEXIONES AEREAS S.R.L. - REF: 743416 - LINEA: 2837362
VCO2MU|GE2/1/3.2|up|up|TIP - CONEXIONES AEREAS S.R.L. - REF: 743416 - LINEA: 2837362
VCO2MU|GE2/1/4(10G)|down|down|Enlace 10G DWDM MUN1NA_G0/11/0/10 Linea:11003692 - UPLINK NA
VCO2MU|GE2/1/5(10G)|down|down|
VCO2MU|GE2/1/6(10G)|down|down|
VCO2MU|GE2/1/7(10G)|down|down|
VCO2MU|GE2/1/8(10G)|down|down|
VCO2MU|GE2/1/9(10G)|down|down|
VCO2MU|GE3/0/0(10G)|*down|down|Enlace default BAJA RSC1NA_G0/10/0/23  Linea:11003689 - UPLINK MSBNG
VCO2MU|GE3/0/1(10G)|down|down|Enlace 10G DWDM MUN1NA_G0/10/0/18 Linea:11003691 - UPLINK NA
VCO2MU|GE3/1/0|*down|down|ENTREAYUDA VCO1MD - SHUTEADA
VCO2MU|GE3/1/1|up|up|CONEXION 1/2 BZGG01 HUA 5600 11005465
VCO2MU|GE3/1/2|up|down|VPN PLATINUM - MUTUAL ASOC COOP M PATRONAL - Ref:945805 Lin:2869330
VCO2MU|GE3/1/2.2|up|up|VPN PLATINUM - MUTUAL ASOC COOP M PATRONAL - Ref:945805 Lin:2869330
VCO2MU|GE3/1/3|up|down|[ACCESO HSI][VI] VCO61D 11002820
VCO2MU|GE3/1/3.2101|up|up|[GESTION] VCO61D ZTE 9210 [ADS2]
VCO2MU|GE3/1/3.3101|up|up|[TOIP] VCO61D ZTE 9210 [ADS2]
VCO2MU|GE3/1/3.4101|up|up|[DATOS] VCO61D ZTE 9210 [ADS2][L2]
VCO2MU|GE3/1/4|up|down|[ACCESO HSI][VI] VCO71D 11002821
VCO2MU|GE3/1/4.2101|up|up|[GESTION] VCO71D ZTE 9210 [ADS2]
VCO2MU|GE3/1/4.3101|up|up|[TOIP] VCO71D ZTE 9210 [ADS2]
VCO2MU|GE3/1/4.4101|up|up|[DATOS] VCO71D ZTE 9210 [ADS2][L2]
VCO2MU|GE3/1/5|up|down|[ACCESO HSI][VI] VCO81D 11002822
VCO2MU|GE3/1/5.427|up|up|HSI VCO81D - RSC1MB
VCO2MU|GE3/1/6|up|down|[ACCESO HSI][VI] BMHG01 XXXXXXX
VCO2MU|GE3/1/6.2|up|up|[SIGN] BMHG01 ZTE 5200 [NGN]
VCO2MU|GE3/1/6.3|up|up|[RTP] BMHG01 ZTE 5200 [NGN]
VCO2MU|GE3/1/6.4|up|up|[GESTION] BMHG01 ZTE 5200 [NGN]
VCO2MU|GE3/1/6.4101|up|up|[DATOS] BMHG01 ZTE 5200 [ADS2][L2]
VCO2MU|GE3/1/7|up|down|[ACCESO HSI][VI] BMLGO1
VCO2MU|GE3/1/7.2|up|down|
VCO2MU|GE3/1/7.3|up|up|[RTP][SIGN] BMLG01 HUA 5000 [NGN]
VCO2MU|GE3/1/7.4|up|up|[GESTION][IPMB] BMLG01 HUA 5000 [NGN]
VCO2MU|GE3/1/7.5|up|up|[GESTION][PVM] BMLG01 HUA 5000 [NGN]
VCO2MU|GE3/1/7.4101|up|up|[DATOS] BMLGO1 HUA 5000 [ADSL][L2]
VCO2MU|GE3/1/8|up|down|[ACCESO HSI][VI] BPMGO1
VCO2MU|GE3/1/8.3|up|up|GESTION RTP Y SIGNALING BARRIO EL PALMAR (BPMG)
VCO2MU|GE3/1/8.4|up|up|GESTION IPMB BARRIO EL PALMAR (BPMG)
VCO2MU|GE3/1/8.5|up|up|GESTION PVM BARRIO EL PALMAR (BPMG)
VCO2MU|GE3/1/8.4101|up|up|[DATOS] BPMGO1 HUA 5000 [ADSL][L2]
VCO2MU|GE3/1/9|up|down|[ACCESO HSI][VI] VCOM01 11002344
VCO2MU|GE3/1/9.2101|up|up|[GESTION] VCOM01 ALU 7302 [VDS2]
VCO2MU|GE3/1/9.3101|up|up|[TOIP] VCOM01 ALU 7302 [VDS2]
VCO2MU|GE3/1/9.4101|up|up|[DATOS] VCOM01 ALU 7302 [VDS2][L2]
VCO2MU|GE3/1/10|up|down|[ACCESO HSI][VI] VCO41D 9703101
VCO2MU|GE3/1/10.2101|up|up|[GESTION] VCO41D ZTE 9210 [ADS2]
VCO2MU|GE3/1/10.3101|up|up|[TOIP] VCO41D ZTE 9210 [ADS2]
VCO2MU|GE3/1/10.4101|up|up|[DATOS] VCO41D ZTE 9210 [ADS2][L2]
VCO2MU|GE3/1/11|up|down|[ACCESO HSI][VI] VCO21D 9701290
VCO2MU|GE3/1/11.3616|up|up|VPN GOLD (VPN + VOZ) - BANCO CREDICOOP COOP. LTDO. - Ref:225771 Lin:2705228 - Acc:VCO21D 0/0/0
VCO2MU|GE3/1/11.3617|up|up|VPN Branch Office - CJO PROF DE CIENCIAS ECONOMICAS PROV STA FE - Ref:543024 L.2755587 - Acc:VCO21D 0/0/1
VCO2MU|GE3/1/11.3623|up|up|VPN GOLD AFIP - Ref: 163016 Lin: 2594455 Acc: VCO21D 0/0/7
VCO2MU|GE3/1/11.3625|up|up|Servicio: VPN DPI Ref: 89804 Lin: 2712133 - Acc:VCO21D 0/0/9
