shelfname|interface|portoperationalstate|protocol|info1
AVD2MU|BV150|up|up|RECRNC01 NPGEP 8/9 IFGE 1 - IuCS-CP - Linea:16200004/16200011
AVD2MU|BV151|up|up|RECRNC01 NPGEP 0/1 IFGE 1/0 - IuCS-CP - Linea:16200002/16200009
AVD2MU|BV180|up|up|RECRNC01 NPGEP 0/1 IFGE 1/0 - IuCS-CP - Linea:16200002/16200009
AVD2MU|BV181|up|up|RECRNC01 NPGEP 8/9 IFGE 1 - IuPS-CP - Linea:16200004/16200011
AVD2MU|BV240|up|up|RECRNC01 NPGEP 0/1 IFGE 0 - IuCS-UP - Linea:16200001/16200008
AVD2MU|BV248|up|up|RECRNC01 NPGEP 0/1 IFGE 1/0 - IuCS-CP - Linea:16200002/16200009
AVD2MU|BV800|up|up|RECRNC01 NPGEP 8/9 IFGE 0 - IuPS - Linea:16200003/16200010
AVD2MU|BV810|up|up|RECRNC01 NPGEP 0/1 IFGE 1/0 - IuCS-CP - Linea:16200002/16200009
AVD2MU|BV1003|up|up|A RECRNC01 SIN TELLABS Linea:19309871-2
AVD2MU|BE1|up|up|[ACCESO HSI][BE] BYGG01 NGN - L11002198
AVD2MU|BE1.2|up|up|RTP MA5600T Barrio Belgrano SANTAFE BYGG01 - L11002198
AVD2MU|BE1.3|up|up|SIGN MA5600T Barrio Belgrano SANTAFE BYGG01 - L11002198
AVD2MU|BE1.4|up|up|GESTION IPMB-MA5600T Barrio Belgrano SANTAFE BYGG01 - L11002198
AVD2MU|BE1.4101|up|up|[DATOS] BYGG01 HUA 5600_T [VDS2]
AVD2MU|BE2|up|up|[ACCESO HSI][BE] AVD31D L9704581
AVD2MU|BE2.2101|up|up|[GESTION] AVD31D HUA 5600T [ADS2]
AVD2MU|BE2.3101|up|up|[TOIP] AVD31D HUA 5600T [ADS2]
AVD2MU|BE2.3648|up|up|VPN SILVER - BNA - Ref:722558 Lin:2827137 Acc:AVD31D 0/14/0 - SEC
AVD2MU|BE2.3654|up|up|VPN GOLD - CREDICOOP - Ref:195569 - Lin:2599916 - Acc:AVD31D 0/14/6
AVD2MU|BE2.3658|up|up|VPN Branch Office - DILCAR - Ref:558198 Lin:2758877 Acc:AVD31D 0/14/10
AVD2MU|BE2.3661|up|up|VPN Gold - ICBC - Ref:640443 - Lin:2791707 - Acc:AVD31D 0/14/13
