shelfname|interface|portoperationalstate|protocol|info1
BEL6MU|BE1|up|up|[ACCESO HSI][BE] 3H011C 15002921
BEL6MU|BE1.2101|up|up|[GESTION] 3H011C ECI HIFS [VDS2]
BEL6MU|BE1.3101|up|up|[TOIP] 3H011C ECI HIFS [VDS2]
BEL6MU|BE1.4101|up|up|[DATOS] 3H011C ECI HIFS [VDS2][L3]
BEL6MU|BE1.4101.pppoe577|up|up| 
BEL6MU|BE1.4101.pppoe610|up|up| 
BEL6MU|BE1.4101.pppoe612|up|up| 
BEL6MU|BE1.4101.pppoe624|up|up| 
BEL6MU|BE1.4101.pppoe633|up|up| 
BEL6MU|BE1.4101.pppoe924|up|up| 
BEL6MU|BE1.4101.pppoe1001|up|up| 
BEL6MU|BE1.4101.pppoe1090|up|up| 
BEL6MU|BE1.4101.pppoe1404|up|up| 
BEL6MU|BE1.4101.pppoe1462|up|up| 
BEL6MU|BE1.4101.pppoe1483|up|up| 
BEL6MU|BE1.4101.pppoe1618|up|up| 
BEL6MU|BE1.4101.pppoe1824|up|up| 
BEL6MU|BE1.4101.pppoe2107|up|up| 
BEL6MU|BE1.4101.pppoe2213|up|up| 
BEL6MU|BE1.4101.pppoe2247|up|up| 
BEL6MU|BE1.4101.pppoe2280|up|up| 
BEL6MU|BE1.4101.pppoe2494|up|up| 
BEL6MU|BE1.4101.pppoe2595|up|up| 
BEL6MU|BE1.4101.pppoe2648|up|up| 
BEL6MU|BE1.4101.pppoe2792|up|up| 
BEL6MU|BE1.4101.pppoe2970|up|up| 
BEL6MU|BE1.4101.pppoe3021|up|up| 
BEL6MU|BE1.4101.pppoe3032|up|up| 
BEL6MU|BE1.4101.pppoe3185|up|up| 
BEL6MU|BE1.4101.pppoe3207|up|up| 
BEL6MU|BE1.4101.pppoe3222|up|up| 
BEL6MU|BE1.4101.pppoe3261|up|up| 
BEL6MU|BE1.4101.pppoe3276|up|up| 
BEL6MU|BE1.4101.pppoe3288|up|up| 
BEL6MU|BE1.4101.pppoe3297|up|up| 
BEL6MU|BE1.4101.pppoe3306|up|up| 
BEL6MU|BE1.4101.pppoe3340|up|up| 
BEL6MU|BE1.4101.pppoe3344|up|up| 
BEL6MU|BE1.4101.pppoe3345|up|up| 
BEL6MU|BE1.4101.pppoe3355|up|up| 
BEL6MU|BE1.4101.pppoe3371|up|up| 
BEL6MU|BE1.4101.pppoe3372|up|up| 
BEL6MU|BE1.4101.pppoe3373|up|up| 
BEL6MU|BE1.4101.pppoe3375|up|up| 
BEL6MU|BE1.4101.pppoe3390|up|up| 
BEL6MU|BE1.4101.pppoe3396|up|up| 
BEL6MU|BE1.4101.pppoe3402|up|up| 
BEL6MU|BE1.4101.pppoe3403|up|up| 
BEL6MU|BE1.4101.pppoe3435|up|up| 
BEL6MU|BE1.4101.pppoe3459|up|up| 
BEL6MU|BE1.4101.pppoe3466|up|up| 
BEL6MU|BE1.4101.pppoe3479|up|up| 
BEL6MU|BE1.4101.pppoe3481|up|up| 
BEL6MU|BE1.4101.pppoe3489|up|up| 
BEL6MU|BE1.4101.pppoe3501|up|up| 
BEL6MU|BE1.4101.pppoe3508|up|up| 
BEL6MU|BE1.4101.pppoe3515|up|up| 
BEL6MU|BE1.4101.pppoe3520|up|up| 
BEL6MU|BE1.4101.pppoe3521|up|up| 
BEL6MU|BE1.4101.pppoe3541|up|up| 
BEL6MU|BE1.4101.pppoe3542|up|up| 
BEL6MU|BE1.4101.pppoe3543|up|up| 
BEL6MU|BE1.4101.pppoe3544|up|up| 
BEL6MU|BE1.4101.pppoe3545|up|up| 
BEL6MU|BE1.4101.pppoe3546|up|up| 
BEL6MU|BE1.4101.pppoe3547|up|up| 
BEL6MU|BE2|up|up|[ACCESO HSI][BE] 3H111C 15002922
BEL6MU|BE2.2101|up|up|[GESTION] 3H111C ECI HIFS [VDS2]
BEL6MU|BE2.3101|up|up|[TOIP] 3H111C ECI HIFS [VDS2]
BEL6MU|BE2.4101|up|up|[DATOS] 3H111C ECI HIFS [VDS2][L3]
BEL6MU|BE2.4101.pppoe414|up|up| 
