shelfname|interface|portoperationalstate|protocol|info1
BEP1MU|BE1|up|up|[ACCESO HSI][BE] B6DG01 11001827
BEP1MU|BE1.2|up|up|[SIGN] B6DG01 HUA 5603_T [NGN]
BEP1MU|BE1.3|up|up|[RTP] B6DG01 HUA 5603_T [NGN]
BEP1MU|BE1.4|up|up|[GESTION] B6DG01 HUA 5603_T [NGN]
BEP1MU|BE1.3101|up|up|[TOIP] B6DG01 HUA 5603_T [VDS2]
BEP1MU|BE1.4101|up|up|[DATOS] B6DG01 HUA 5603_T [VDS2][L3]
BEP1MU|BE2|up|up|[ACCESO HSI][BE] 2QBG01 11001825
BEP1MU|BE2.2|up|up|[SIGN] 2QBG01 HUA 5600_T [NGN]
BEP1MU|BE2.3|up|up|[RTP] 2QBG01 HUA 5600_T [NGN]
BEP1MU|BE2.4|up|up|[GESTION] 2QBG01 HUA 5600_T [NGN]
BEP1MU|BE2.2101|up|down|[GESTION] 2QBG01 HUA 5600_T [VDS2]
BEP1MU|BE2.3101|up|up|[TOIP] 2QBG01 HUA 5600_T [VDS2]
BEP1MU|BE2.4101|up|up|[DATOS] 2QBG01 HUA 5600_T [VDS2]
BEP1MU|BE4|up|up|[ACCESO HSI][BE] BEP11D 11000043
BEP1MU|BE4.2101|up|up|[GESTION] BEP11D ZTE 9800 [ADS2]
BEP1MU|BE4.3101|up|up|[TOIP] BEP11D ZTE 9800 [ADS2]
BEP1MU|BE4.3616|up|up|VPN Head Quarter - RIBEIRO - Ref:296100 Lin:2733997 Acc:BEP11D 17 - 1
BEP1MU|BE4.3618|up|up|VPN GOLD - WAL MART ARGENTINA - Ref:306850 - Lin:2737334 - Acc:BEP11D 0/17/3
BEP1MU|BE4.3623|up|up|VPN Head Quarter - GIRE S.A. - Ref:596936 Lin:2773547 Acc:BEP11D 17/8
BEP1MU|BE4.3630|up|up|VPN - Hipotecario - Ref: 662094 - Linea:2804398 - Acc:BEP11D 1-17-15
BEP1MU|BE4.3808|up|up|VPN Head Quarter - RIBEIRO - Ref:296100 - GESTIONXAVI
BEP1MU|BE4.3810|up|up|Gestion - WAL MART ARGENTINA - Ref:306850 - Lin:2737334 - Acc:BEP11D 0/17/3
BEP1MU|BE4.3812|up|up|Integra Light 2M - NEOGAME SA - Ref:550293 Lin:2755559 Acc:BEP11D1-1-17-5Y6
BEP1MU|BE4.3814|up|up|Integra Light - RIBEIRO - Ref:595059 Lin:2773345 Acc:BEP11D 17-7
BEP1MU|BE4.3815|up|up|N/N BEP11D
BEP1MU|BE4.3818|admin-down|admin-down|IntegraLight - VICTOR MOTOS S.H. - Ref:643015 - Lin:2793580 Acc:BEP11D SHDSL-1-1-17-11
BEP1MU|BE4.3822|up|up|VPN - Hipotecario - Ref: 662094 - Linea:2804398 - Acc:BEP11D 1-17-15
BEP1MU|BE4.4101|up|up|[DATOS] BEP11D ZTE 9800 [ADS2][L3]
BEP1MU|BE5|up|up|[ACCESO HSI][BE] BEL21D 15003961
BEP1MU|BE5.2101|up|up|[GESTION] BEP21D ZTE 5800 [ADS2]
BEP1MU|BE5.3101|up|up|[TOIP] BEP21D ZTE 9800 [ADS2]
BEP1MU|BE5.4101|up|up|[DATOS] BEP21D ZTE 9800 [ADS2][L3]
BEP1MU|BE6|up|up|[ACCESO HSI][BE] 12SG01 11001066
BEP1MU|BE6.2|up|up|[SIGN] 12SG01 HUA 5600_T [NGN]
BEP1MU|BE6.3|up|up|[RTP] 12SG01 HUA 5600_T [NGN]
BEP1MU|BE6.4|up|up|[GESTION] 12SG01 HUA 5600_T [NGN]
BEP1MU|BE6.3101|up|up|[TOIP] 12SG01 HUA 5600_T [VDS2]
BEP1MU|BE6.4101|up|up|[DATOS] 12SG01 HUA 5600_T [VDS2][L3]
BEP1MU|BE6.4101.pppoe3375|up|up| 
BEP1MU|BE6.4101.pppoe3376|up|up| 
BEP1MU|BE6.4101.pppoe3378|up|up| 
BEP1MU|BE6.4101.pppoe3382|up|up| 
BEP1MU|BE6.4101.pppoe3383|up|up| 
BEP1MU|BE6.4101.pppoe3384|up|up| 
BEP1MU|BE6.4101.pppoe3385|up|up| 
BEP1MU|BE6.4101.pppoe3389|up|up| 
BEP1MU|BE6.4101.pppoe3390|up|up| 
BEP1MU|BE6.4101.pppoe3392|up|up| 
BEP1MU|BE6.4101.pppoe3394|up|up| 
BEP1MU|BE6.4101.pppoe3395|up|up| 
BEP1MU|BE6.4101.pppoe3398|up|up| 
BEP1MU|BE6.4101.pppoe3402|up|up| 
BEP1MU|BE6.4101.pppoe3404|up|up| 
BEP1MU|BE6.4101.pppoe3407|up|up| 
BEP1MU|BE6.4101.pppoe3412|up|up| 
BEP1MU|BE6.4101.pppoe3413|up|up| 
BEP1MU|BE6.4101.pppoe3414|up|up| 
BEP1MU|BE6.4101.pppoe3415|up|up| 
BEP1MU|BE6.4101.pppoe3416|up|up| 
BEP1MU|BE6.4101.pppoe3421|up|up| 
BEP1MU|BE6.4101.pppoe3422|up|up| 
BEP1MU|BE6.4101.pppoe3426|up|up| 
BEP1MU|BE6.4101.pppoe3428|up|up| 
BEP1MU|BE6.4101.pppoe3429|up|up| 
BEP1MU|BE6.4101.pppoe3434|up|up| 
BEP1MU|BE6.4101.pppoe3445|up|up| 
BEP1MU|BE6.4101.pppoe3447|up|up| 
BEP1MU|BE6.4101.pppoe3452|up|up| 
BEP1MU|BE6.4101.pppoe3454|up|up| 
BEP1MU|BE6.4101.pppoe3459|up|up| 
BEP1MU|BE6.4101.pppoe3462|up|up| 
BEP1MU|BE6.4101.pppoe3468|up|up| 
BEP1MU|BE6.4101.pppoe3474|up|up| 
BEP1MU|BE6.4101.pppoe3476|up|up| 
BEP1MU|BE6.4101.pppoe3477|up|up| 
BEP1MU|BE6.4101.pppoe3484|up|up| 
BEP1MU|BE6.4101.pppoe3485|up|up| 
BEP1MU|BE6.4101.pppoe3493|up|up| 
BEP1MU|BE6.4101.pppoe3496|up|up| 
BEP1MU|BE6.4101.pppoe3500|up|up| 
BEP1MU|BE6.4101.pppoe3503|up|up| 
BEP1MU|BE6.4101.pppoe3510|up|up| 
BEP1MU|BE6.4101.pppoe3511|up|up| 
BEP1MU|BE6.4101.pppoe3512|up|up| 
BEP1MU|BE6.4101.pppoe3514|up|up| 
BEP1MU|BE6.4101.pppoe3515|up|up| 
BEP1MU|BE6.4101.pppoe3516|up|up| 
BEP1MU|BE6.4101.pppoe3517|up|up| 
BEP1MU|BE6.4101.pppoe3518|up|up| 
BEP1MU|BE6.4101.pppoe3523|up|up| 
BEP1MU|BE6.4101.pppoe3530|up|up| 
BEP1MU|BE6.4101.pppoe3532|up|up| 
BEP1MU|BE6.4101.pppoe3533|up|up| 
BEP1MU|BE6.4101.pppoe3539|up|up| 
BEP1MU|BE6.4101.pppoe3545|up|up| 
BEP1MU|BE6.4101.pppoe3549|up|up| 
BEP1MU|BE6.4101.pppoe3552|up|up| 
BEP1MU|BE6.4101.pppoe3553|up|up| 
BEP1MU|BE6.4101.pppoe3554|up|up| 
BEP1MU|BE6.4101.pppoe3556|up|up| 
BEP1MU|BE6.4101.pppoe3558|up|up| 
BEP1MU|BE6.4101.pppoe3565|up|up| 
BEP1MU|BE6.4101.pppoe3566|up|up| 
BEP1MU|BE6.4101.pppoe3567|up|up| 
BEP1MU|BE6.4101.pppoe3568|up|up| 
BEP1MU|BE6.4101.pppoe3570|up|up| 
BEP1MU|BE6.4101.pppoe3577|up|up| 
BEP1MU|BE6.4101.pppoe3580|up|up| 
BEP1MU|BE6.4101.pppoe3583|up|up| 
BEP1MU|BE6.4101.pppoe3585|up|up| 
BEP1MU|BE6.4101.pppoe3587|up|up| 
BEP1MU|BE6.4101.pppoe3590|up|up| 
BEP1MU|BE6.4101.pppoe3591|up|up| 
BEP1MU|BE6.4101.pppoe3594|up|up| 
BEP1MU|BE6.4101.pppoe3597|up|up| 
BEP1MU|BE6.4101.pppoe3599|up|up| 
BEP1MU|BE6.4101.pppoe3601|up|up| 
BEP1MU|BE6.4101.pppoe3602|up|up| 
BEP1MU|BE6.4101.pppoe3603|up|up| 
BEP1MU|BE6.4101.pppoe3604|up|up| 
BEP1MU|BE6.4101.pppoe3606|up|up| 
BEP1MU|BE6.4101.pppoe3609|up|up| 
BEP1MU|BE6.4101.pppoe3618|up|up| 
BEP1MU|BE6.4101.pppoe3619|up|up| 
BEP1MU|BE6.4101.pppoe3623|up|up| 
BEP1MU|BE6.4101.pppoe3627|up|up| 
BEP1MU|BE6.4101.pppoe3634|up|up| 
BEP1MU|BE6.4101.pppoe3639|up|up| 
BEP1MU|BE6.4101.pppoe3640|up|up| 
BEP1MU|BE6.4101.pppoe3642|up|up| 
BEP1MU|BE6.4101.pppoe3647|up|up| 
BEP1MU|BE6.4101.pppoe3651|up|up| 
BEP1MU|BE6.4101.pppoe3654|up|up| 
BEP1MU|BE6.4101.pppoe3657|up|up| 
BEP1MU|BE6.4101.pppoe3664|up|up| 
BEP1MU|BE6.4101.pppoe3667|up|up| 
BEP1MU|BE6.4101.pppoe3677|up|up| 
BEP1MU|BE6.4101.pppoe3682|up|up| 
BEP1MU|BE6.4101.pppoe3686|up|up| 
BEP1MU|BE6.4101.pppoe3689|up|up| 
BEP1MU|BE6.4101.pppoe3691|up|up| 
BEP1MU|BE6.4101.pppoe3693|up|up| 
BEP1MU|BE6.4101.pppoe3694|up|up| 
BEP1MU|BE6.4101.pppoe3695|up|up| 
BEP1MU|BE6.4101.pppoe3698|up|up| 
BEP1MU|BE6.4101.pppoe3699|up|up| 
BEP1MU|BE6.4101.pppoe3701|up|up| 
BEP1MU|BE6.4101.pppoe3704|up|up| 
BEP1MU|BE6.4101.pppoe3709|up|up| 
BEP1MU|BE6.4101.pppoe3713|up|up| 
BEP1MU|BE6.4101.pppoe3714|up|up| 
BEP1MU|BE6.4101.pppoe3719|up|up| 
BEP1MU|BE6.4101.pppoe3723|up|up| 
BEP1MU|BE6.4101.pppoe3724|up|up| 
BEP1MU|BE6.4101.pppoe3730|up|up| 
BEP1MU|BE6.4101.pppoe3731|up|up| 
BEP1MU|BE6.4101.pppoe3743|up|up| 
BEP1MU|BE6.4101.pppoe3750|up|up| 
BEP1MU|BE6.4101.pppoe3758|up|up| 
BEP1MU|BE6.4101.pppoe3764|up|up| 
BEP1MU|BE6.4101.pppoe3768|up|up| 
BEP1MU|BE6.4101.pppoe3778|up|up| 
BEP1MU|BE6.4101.pppoe3789|up|up| 
BEP1MU|BE6.4101.pppoe3868|up|up| 
BEP1MU|BE6.4101.pppoe3916|up|up| 
BEP1MU|BE6.4101.pppoe3922|up|up| 
BEP1MU|BE6.4101.pppoe3979|up|up| 
BEP1MU|BE6.4101.pppoe3984|up|up| 
BEP1MU|BE6.4101.pppoe4074|up|up| 
BEP1MU|BE6.4101.pppoe4085|up|up| 
BEP1MU|BE6.4101.pppoe4090|up|up| 
BEP1MU|BE6.4101.pppoe4101|up|up| 
BEP1MU|BE6.4101.pppoe4120|up|up| 
BEP1MU|BE6.4101.pppoe4122|up|up| 
BEP1MU|BE6.4101.pppoe4124|up|up| 
BEP1MU|BE6.4101.pppoe4128|up|up| 
BEP1MU|BE6.4101.pppoe4131|up|up| 
BEP1MU|BE6.4101.pppoe4138|up|up| 
BEP1MU|BE6.4101.pppoe4183|up|up| 
BEP1MU|BE6.4101.pppoe4214|up|up| 
BEP1MU|BE6.4101.pppoe4220|up|up| 
BEP1MU|BE6.4101.pppoe4244|up|up| 
BEP1MU|BE6.4101.pppoe4321|up|up| 
BEP1MU|BE6.4101.pppoe4334|up|up| 
BEP1MU|BE6.4101.pppoe4348|up|up| 
BEP1MU|BE6.4101.pppoe4359|up|up| 
BEP1MU|BE6.4101.pppoe4387|up|up| 
BEP1MU|BE6.4101.pppoe4405|up|up| 
BEP1MU|BE6.4101.pppoe4406|up|up| 
BEP1MU|BE6.4101.pppoe4407|up|up| 
BEP1MU|BE6.4101.pppoe4409|up|up| 
BEP1MU|BE6.4101.pppoe4417|up|up| 
BEP1MU|BE6.4101.pppoe4418|up|up| 
BEP1MU|BE6.4101.pppoe4419|up|up| 
BEP1MU|BE6.4101.pppoe4465|up|up| 
BEP1MU|BE6.4101.pppoe4475|up|up| 
BEP1MU|BE6.4101.pppoe4486|up|up| 
BEP1MU|BE6.4101.pppoe4494|up|up| 
BEP1MU|BE6.4101.pppoe4502|up|up| 
BEP1MU|BE6.4101.pppoe4510|up|up| 
BEP1MU|BE6.4101.pppoe4516|up|up| 
BEP1MU|BE6.4101.pppoe4535|up|up| 
BEP1MU|BE6.4101.pppoe4540|up|up| 
BEP1MU|BE6.4101.pppoe4541|up|up| 
BEP1MU|BE6.4101.pppoe4561|up|up| 
BEP1MU|BE6.4101.pppoe4568|up|up| 
BEP1MU|BE6.4101.pppoe4576|up|up| 
BEP1MU|BE6.4101.pppoe4580|up|up| 
BEP1MU|BE6.4101.pppoe4583|up|up| 
BEP1MU|BE6.4101.pppoe4587|up|up| 
BEP1MU|BE6.4101.pppoe4594|up|up| 
BEP1MU|BE6.4101.pppoe4613|up|up| 
BEP1MU|BE6.4101.pppoe4629|up|up| 
BEP1MU|BE6.4101.pppoe4631|up|up| 
BEP1MU|BE6.4101.pppoe4634|up|up| 
BEP1MU|BE6.4101.pppoe4636|up|up| 
BEP1MU|BE6.4101.pppoe4641|up|up| 
BEP1MU|BE6.4101.pppoe4646|up|up| 
BEP1MU|BE6.4101.pppoe4649|up|up| 
BEP1MU|BE6.4101.pppoe4675|up|up| 
BEP1MU|BE6.4101.pppoe4730|up|up| 
BEP1MU|BE6.4101.pppoe4733|up|up| 
BEP1MU|BE6.4101.pppoe4751|up|up| 
BEP1MU|BE6.4101.pppoe4752|up|up| 
BEP1MU|BE6.4101.pppoe4796|up|up| 
BEP1MU|BE6.4101.pppoe4804|up|up| 
BEP1MU|BE6.4101.pppoe4820|up|up| 
BEP1MU|BE6.4101.pppoe4827|up|up| 
BEP1MU|BE6.4101.pppoe4831|up|up| 
BEP1MU|BE6.4101.pppoe4844|up|up| 
BEP1MU|BE6.4101.pppoe4860|up|up| 
BEP1MU|BE6.4101.pppoe4863|up|up| 
BEP1MU|BE6.4101.pppoe4872|up|up| 
BEP1MU|BE6.4101.pppoe4882|up|up| 
BEP1MU|BE6.4101.pppoe4893|up|up| 
BEP1MU|BE6.4101.pppoe4927|up|up| 
BEP1MU|BE6.4101.pppoe4980|up|up| 
BEP1MU|BE6.4101.pppoe4981|up|up| 
BEP1MU|BE6.4101.pppoe4994|up|up| 
BEP1MU|BE6.4101.pppoe5012|up|up| 
BEP1MU|BE6.4101.pppoe5020|up|up| 
BEP1MU|BE6.4101.pppoe5024|up|up| 
BEP1MU|BE6.4101.pppoe5059|up|up| 
BEP1MU|BE6.4101.pppoe5077|up|up| 
BEP1MU|BE6.4101.pppoe5084|up|up| 
BEP1MU|BE6.4101.pppoe5089|up|up| 
