shelfname|interface|portoperationalstate|protocol|info1
DEF1MU|BE1|up|up|[ACCESO HSI][BE] DEFG01 13000130
DEF1MU|BE1.3|up|up|[NGN] RTP HW DEAN FUNES-DEFG01-Linea 13000130 
DEF1MU|BE1.4|up|up|[NGN] Gestion IPMB HW DEAN FUNES-DEFG01-Linea 13000130
DEF1MU|BE1.5|up|up|[NGN] Gestion PVM HW DEAN FUNES-DEFG01-Linea 13000130
DEF1MU|BE1.4101|up|up|[DATOS] DEFG01 HUA 5000 [ADSL][L3]
DEF1MU|BE2|up|up|[ACCESO HSI][BE] DEF21D Linea:13003488 
DEF1MU|BE2.2101|up|up|[GESTION] DEF21D HUA 5600 [ADS2]
DEF1MU|BE2.3101|up|up|[TOIP] DEF21D HUA 5600 [ADS2]
DEF1MU|BE2.4101|up|up|[DATOS] DEF21D HUA 5600 [ADS2][L3]
DEF1MU|BE2.4101.pppoe99|up|up| 
DEF1MU|BE2.4101.pppoe121|up|up| 
DEF1MU|BE2.4101.pppoe260|up|up| 
DEF1MU|BE2.4101.pppoe335|up|up| 
DEF1MU|BE2.4101.pppoe464|up|up| 
DEF1MU|BE2.4101.pppoe674|up|up| 
DEF1MU|BE2.4101.pppoe788|up|up| 
DEF1MU|BE2.4101.pppoe1004|up|up| 
DEF1MU|BE2.4101.pppoe1069|up|up| 
DEF1MU|BE2.4101.pppoe1113|up|up| 
DEF1MU|BE2.4101.pppoe1114|up|up| 
DEF1MU|BE2.4101.pppoe1120|up|up| 
DEF1MU|BE2.4101.pppoe1126|up|up| 
DEF1MU|BE2.4101.pppoe1127|up|up| 
DEF1MU|BE2.4101.pppoe1212|up|up| 
DEF1MU|BE2.4101.pppoe1570|up|up| 
DEF1MU|BE2.4101.pppoe1734|up|up| 
DEF1MU|BE2.4101.pppoe1851|up|up| 
DEF1MU|BE2.4101.pppoe1883|up|up| 
DEF1MU|BE2.4101.pppoe1889|up|up| 
DEF1MU|BE2.4101.pppoe2128|up|up| 
DEF1MU|BE2.4101.pppoe2241|up|up| 
DEF1MU|BE2.4101.pppoe2258|up|up| 
DEF1MU|BE2.4101.pppoe2408|up|up| 
DEF1MU|BE2.4101.pppoe2480|up|up| 
DEF1MU|BE2.4101.pppoe2911|up|up| 
DEF1MU|BE2.4101.pppoe3024|up|up| 
DEF1MU|BE2.4101.pppoe3162|up|up| 
DEF1MU|BE2.4101.pppoe3177|up|up| 
DEF1MU|BE2.4101.pppoe3194|up|up| 
DEF1MU|BE2.4101.pppoe3215|up|up| 
DEF1MU|BE2.4101.pppoe3244|up|up| 
DEF1MU|BE2.4101.pppoe3252|up|up| 
DEF1MU|BE2.4101.pppoe3317|up|up| 
DEF1MU|BE2.4101.pppoe3321|up|up| 
DEF1MU|BE2.4101.pppoe3346|up|up| 
DEF1MU|BE2.4101.pppoe3420|up|up| 
DEF1MU|BE2.4101.pppoe3881|up|up| 
DEF1MU|BE2.4101.pppoe3953|up|up| 
DEF1MU|BE2.4101.pppoe4336|up|up| 
DEF1MU|BE2.4101.pppoe4436|up|up| 
DEF1MU|BE2.4101.pppoe4470|up|up| 
DEF1MU|BE2.4101.pppoe4489|up|up| 
DEF1MU|BE2.4101.pppoe4576|up|up| 
DEF1MU|BE2.4101.pppoe4661|up|up| 
DEF1MU|BE2.4101.pppoe5030|up|up| 
DEF1MU|BE2.4101.pppoe5035|up|up| 
DEF1MU|BE2.4101.pppoe5173|up|up| 
DEF1MU|BE2.4101.pppoe5245|up|up| 
DEF1MU|BE2.4101.pppoe5248|up|up| 
DEF1MU|BE2.4101.pppoe5249|up|up| 
DEF1MU|BE2.4101.pppoe5405|up|up| 
DEF1MU|BE2.4101.pppoe5421|up|up| 
DEF1MU|BE2.4101.pppoe5677|up|up| 
DEF1MU|BE2.4101.pppoe5722|up|up| 
DEF1MU|BE2.4101.pppoe5899|up|up| 
DEF1MU|BE2.4101.pppoe6109|up|up| 
DEF1MU|BE2.4101.pppoe6135|up|up| 
DEF1MU|BE2.4101.pppoe6302|up|up| 
DEF1MU|BE2.4101.pppoe6307|up|up| 
DEF1MU|BE2.4101.pppoe6449|up|up| 
DEF1MU|BE2.4101.pppoe6508|up|up| 
DEF1MU|BE2.4101.pppoe6605|up|up| 
DEF1MU|BE2.4101.pppoe6767|up|up| 
DEF1MU|BE2.4101.pppoe7053|up|up| 
DEF1MU|BE2.4101.pppoe7121|up|up| 
DEF1MU|BE2.4101.pppoe7136|up|up| 
DEF1MU|BE2.4101.pppoe7364|up|up| 
DEF1MU|BE2.4101.pppoe7430|up|up| 
DEF1MU|BE2.4101.pppoe7507|up|up| 
DEF1MU|BE2.4101.pppoe7575|up|up| 
DEF1MU|BE2.4101.pppoe7635|up|up| 
DEF1MU|BE2.4101.pppoe7690|up|up| 
DEF1MU|BE2.4101.pppoe7747|up|up| 
DEF1MU|BE2.4101.pppoe7781|up|up| 
DEF1MU|BE2.4101.pppoe7942|up|up| 
DEF1MU|BE2.4101.pppoe8014|up|up| 
DEF1MU|BE2.4101.pppoe8152|up|up| 
DEF1MU|BE2.4101.pppoe8558|up|up| 
DEF1MU|BE2.4101.pppoe8868|up|up| 
DEF1MU|BE2.4101.pppoe8980|up|up| 
DEF1MU|BE2.4101.pppoe9009|up|up| 
DEF1MU|BE2.4101.pppoe9057|up|up| 
DEF1MU|BE2.4101.pppoe9166|up|up| 
DEF1MU|BE2.4101.pppoe9172|up|up| 
DEF1MU|BE2.4101.pppoe9249|up|up| 
DEF1MU|BE2.4101.pppoe9274|up|up| 
DEF1MU|BE2.4101.pppoe9469|up|up| 
DEF1MU|BE2.4101.pppoe9534|up|up| 
DEF1MU|BE2.4101.pppoe9551|up|up| 
DEF1MU|BE2.4101.pppoe9639|up|up| 
DEF1MU|BE2.4101.pppoe9644|up|up| 
DEF1MU|BE2.4101.pppoe9655|up|up| 
DEF1MU|BE2.4101.pppoe9659|up|up| 
DEF1MU|BE2.4101.pppoe9703|up|up| 
DEF1MU|BE2.4101.pppoe9758|up|up| 
DEF1MU|BE2.4101.pppoe9814|up|up| 
DEF1MU|BE2.4101.pppoe9833|up|up| 
DEF1MU|BE3|up|up|[ACCESO HSI][BE] DEF31D Linea:13003489
DEF1MU|BE3.2101|up|up|[GESTION] DEF31D HUA 5600 [ADS2]
DEF1MU|BE3.3101|up|up|[TOIP] DEF31D HUA 5600 [ADS2]
DEF1MU|BE3.4101|up|up|[DATOS] DEF31D HUA 5600 [ADS2][L3]
DEF1MU|BE3.4101.pppoe8272|up|up| 
DEF1MU|BE3.4101.pppoe8294|up|up| 
DEF1MU|BE3.4101.pppoe8324|up|up| 
DEF1MU|BE3.4101.pppoe8375|up|up| 
DEF1MU|BE3.4101.pppoe8402|up|up| 
DEF1MU|BE3.4101.pppoe8403|up|up| 
DEF1MU|BE3.4101.pppoe8488|up|up| 
DEF1MU|BE3.4101.pppoe8522|up|up| 
DEF1MU|BE4|up|up|[ACCESO HSI][BE] DEF11D Linea:9702249
DEF1MU|BE4.2101|up|up|[GESTION] DEF11D HUA 5600 [ADS2]
DEF1MU|BE4.3101|up|up|[TOIP] DEF11D HUA 5600 [ADS2]
DEF1MU|BE4.3648|up|up|PRESURIZACION DEAN FUNES - REF:943195 - ACC:DEF11D 0/14/0
DEF1MU|BE4.3649|up|up|VPN Head Quarter - ANSES - Ref:245591 Lin:2712220 Acc:DEF11D 0-1 
DEF1MU|BE4.3650|up|up|VPN GOLD - GOB. DE CORDOBA - Ref:118308 Lin:2710573 - Acc:DEF11D
DEF1MU|BE4.3651|up|up|VPN GOLD - POLICIA de CBA - Ref:235978 - Lin:2710700 - Acc:DEF11
DEF1MU|BE4.3652|up|up|### VPN Head Quarter - CONMEGA A.C.E. - Ref:748163 - Lin:2839361 - Acc:DEF11D 14/4-5
DEF1MU|BE4.3658|up|up|VPN Head Quarter - CYRE- Ref:156920 Lin:2592973 Acc:DEF11D 14 10
DEF1MU|BE4.3659|up|up|VPN Head Quarter - BNA - Ref:539509 Lin:2752901 Acc:DEF11D
DEF1MU|BE4.3664|up|up|VPN Head Quarter - Min Gob Cba - Ref:118308 Lin:2710573 Acc:DEF11D 14 16-17
DEF1MU|BE4.3666|up|up|VPN Head Quarter - Poder Judicial Cordoba - Ref 720192 Lin 2826014 Acc: DEF11D 0/14 18-19
DEF1MU|BE4.3670|up|up|VPN Head Quarter - Minn Gob Cba - Ref:559115 Lin:2758145 Acc:DEF11D 14 22-23
DEF1MU|BE4.3674|up|up|VPN Head Quarter - Cliente - Ref:255922 Lin:2716091 Acc:DEF11D-1
DEF1MU|BE4.3675|up|up|VPN SILVER - CORREO DE LA REP. ARG. - Ref640830- 651761 - Lin2793689 - DEF11D 0/14/27
DEF1MU|BE4.3679|up|up|VPN Head Quarter - Bco de la Pcia de Cba - Ref:603868 Lin:2776378 Acc:DEF11D 14 31
DEF1MU|BE4.3812|up|up|Ref:662607 L:2806098 Ciente:RODRIGUEZ PABLO ANDRES Acc: DEF11D 0/15/4,5
DEF1MU|BE4.3840|up|up|PRESURIZACION DEAN FUNES - REF:943195 - ACC:DEF11D 0/14/0
DEF1MU|BE4.3841|up|up|VPN Head Quarter - ANSES - Ref:245591 Lin 2712220 Acc:DEF11D 0-1
DEF1MU|BE4.3868|up|up|IntegraLight - BOJ EDURDO CANDIDO - Ref:640153 - Lin:2791608 Acc:DEF11D SHDSL-0-14-28
DEF1MU|BE4.4101|up|up|[DATOS] DEF11D HUA 5600 [ADS2][L3]
DEF1MU|BE4.4101.pppoe701|up|up| 
DEF1MU|BE4.4101.pppoe3591|up|up| 
DEF1MU|BE4.4101.pppoe4366|up|up| 
DEF1MU|BE4.4101.pppoe4526|up|up| 
DEF1MU|BE4.4101.pppoe4882|up|up| 
DEF1MU|BE4.4101.pppoe4886|up|up| 
DEF1MU|BE4.4101.pppoe4904|up|up| 
DEF1MU|BE4.4101.pppoe4909|up|up| 
DEF1MU|BE4.4101.pppoe4917|up|up| 
DEF1MU|BE4.4101.pppoe4922|up|up| 
DEF1MU|BE4.4101.pppoe4924|up|up| 
DEF1MU|BE4.4101.pppoe4935|up|up| 
DEF1MU|BE4.4101.pppoe4939|up|up| 
DEF1MU|BE4.4101.pppoe4955|up|up| 
DEF1MU|BE4.4101.pppoe4964|up|up| 
DEF1MU|BE4.4101.pppoe4986|up|up| 
DEF1MU|BE4.4101.pppoe4990|up|up| 
DEF1MU|BE4.4101.pppoe5026|up|up| 
DEF1MU|BE4.4101.pppoe5037|up|up| 
DEF1MU|BE4.4101.pppoe5137|up|up| 
DEF1MU|BE4.4101.pppoe5145|up|up| 
