shelfname|interface|portoperationalstate|protocol|info1
ESH1MB|BV111|down|down|prueba_bvi
ESH1MB|BE1|up|up|[HRP] ESH1MB 1 [L3] [HSI]
ESH1MB|BE1.11013901|up|up|GESTION SRAM01 ALU-7302
ESH1MB|BE1.12013901|up|up|[TOIP] SRAM01 ALU 7302 [ADS2]
ESH1MB|BE1.13001002|up|up|DSLAM RST12D HUAWEI5600
ESH1MB|BE1.13013901|up|up|[DATOS] SRAM01  ALC 7302 [VDS2]
ESH1MB|BE1.13020802|up|up|DSLAM CAP72D ZTE9800
ESH1MB|BE1.13020803|up|up|DSLAM CAP73D ZTE9800
ESH1MB|BE1.13020804|up|up|DSLAM CAP74D ZTE9800
ESH1MB|BE2|up|up| 
ESH1MB|BE100|up|up| 
ESH1MB|BE100.10139|up|up|Uplink DSLAM SRAM01 ALU-7302
ESH1MB|Lo0|up|up| 
ESH1MB|Lo1|admin-down|admin-down|IP UNNUMBERED
ESH1MB|Lo12|up|up|IP UNNUMBERED vpn-tdata-bcorio - VPN BRONZE INTERCARRIER - TASA - Banco rio
ESH1MB|Lo26|up|up|IP UNNUMBERED VPN-gpba
ESH1MB|Lo33|up|up| 
ESH1MB|Lo64|up|up|IP UNNUMBERED sony1-vpn - VPN BRONZE - SONY ARGENTINA S.A.
ESH1MB|Lo67|up|up| 
ESH1MB|Lo68|up|up|IP UNNUMBERED VPN PRIMA
ESH1MB|Lo69|up|up|IP UNNUMBERED vpn-prueba-datos - VPN BRONZE - PRUEBA DATOS
ESH1MB|Lo73|up|up|IP UNNUMBERED bonesi-vpn - VPN BRONZE - BONESI SOCIEDAD ANONIMA
ESH1MB|Lo75|up|up|IP UNNUMBERED VPN ADVANCE
ESH1MB|Lo77|up|up|VPN WEB PATRON
ESH1MB|Lo78|up|up|IP UNNUMBERED vpn-credicoop - VPN BRONZE - BANCO CREDICOOP COOP. LTDO.
ESH1MB|Lo80|up|up|IP UNNUMBERED VPN JOCKEY
ESH1MB|Lo91|up|up|IP UNNUMBERED munisam-vpn - VPN BRONZE - MUNICIPALIDAD DE GRAL. SAN MARTIN SEC. HAC. Y ECONO.
ESH1MB|Lo100|up|up|Interfaz de gestion ADSL
ESH1MB|Lo103|up|up|IP UNNUMBERED ospecom-vpn - VPN BRONZE - OSPECOM
ESH1MB|Lo117|up|up|IP UNNUMBERED cei-vpn - VPN BRONZE - CENTRO DE ESTUDIOS INFECTOLOGICOS S A C E I
ESH1MB|Lo127|up|up|IP UNNUMERED vpn-vestiditos - VPN BRONZE - VESTIDITOS S.A.
ESH1MB|Lo147|up|up|IP UNNUMERED darclibertador-vpn
ESH1MB|Lo149|up|up|IP UNNUMBERED bna-vpn
ESH1MB|Lo157|up|up|IP UNNUMBERED vpn-williner - VPN BRONZE - SUCESORES DE ALFREDO WILLINER S.A.
ESH1MB|Lo162|up|up|IP UNNUMBERED hipodromo-vpn - VPN BRONZE - HIPODROMO ARGENTINO DE PALERMO S.A.
ESH1MB|Lo182|up|up|garbarino-vpn - VPN BRONZE - GARBARINO
