shelfname|interface|portoperationalstate|protocol|info1
MAN2MU|BE1|up|up|[ACCESO HSI][BE] MANN01 
MAN2MU|BE1.6|up|up|IPTV MANN01 IGMP-PIM
MAN2MU|BE1.7|up|up|[DHCP] [IPTV] MANN01 HUA 5600T [GPON]
MAN2MU|BE1.14|up|up|[DATOS] MANN01 14 HUA5600T [GPON][L3]
MAN2MU|BE1.15|up|up|[DATOS] MANN01 15 HUA5600T [GPON][L3]
MAN2MU|BE1.16|up|up|[DATOS] MANN01 16 HUA5600T [GPON][L3]
MAN2MU|BE1.16.pppoe87|up|up| 
MAN2MU|BE1.16.pppoe193|up|up| 
MAN2MU|BE1.16.pppoe199|up|up| 
MAN2MU|BE1.16.pppoe351|up|up| 
MAN2MU|BE1.16.pppoe463|up|up| 
MAN2MU|BE1.16.pppoe480|up|up| 
MAN2MU|BE1.16.pppoe513|up|up| 
MAN2MU|BE1.16.pppoe781|up|up| 
MAN2MU|BE1.16.pppoe801|up|up| 
MAN2MU|BE1.16.pppoe809|up|up| 
MAN2MU|BE1.16.pppoe921|up|up| 
MAN2MU|BE1.16.pppoe949|up|up| 
MAN2MU|BE1.16.pppoe1178|up|up| 
MAN2MU|BE1.16.pppoe1188|up|up| 
MAN2MU|BE1.16.pppoe1234|up|up| 
MAN2MU|BE1.16.pppoe1283|up|up| 
MAN2MU|BE1.16.pppoe1310|up|up| 
MAN2MU|BE1.16.pppoe1324|up|up| 
MAN2MU|BE1.16.pppoe1371|up|up| 
MAN2MU|BE1.16.pppoe1380|up|up| 
MAN2MU|BE1.16.pppoe1387|up|up| 
MAN2MU|BE1.16.pppoe1643|up|up| 
MAN2MU|BE1.16.pppoe1664|up|up| 
MAN2MU|BE1.16.pppoe1688|up|up| 
MAN2MU|BE1.16.pppoe1808|up|up| 
MAN2MU|BE1.16.pppoe1816|up|up| 
MAN2MU|BE1.16.pppoe1857|up|up| 
MAN2MU|BE1.16.pppoe1903|up|up| 
MAN2MU|BE1.16.pppoe1947|up|up| 
MAN2MU|BE1.16.pppoe2053|up|up| 
MAN2MU|BE1.16.pppoe2067|up|up| 
MAN2MU|BE1.16.pppoe2083|up|up| 
MAN2MU|BE1.16.pppoe2087|up|up| 
MAN2MU|BE1.16.pppoe2137|up|up| 
MAN2MU|BE1.16.pppoe2206|up|up| 
MAN2MU|BE1.16.pppoe2404|up|up| 
MAN2MU|BE1.16.pppoe2423|up|up| 
