shelfname|interface|portoperationalstate|protocol|info1
TNN1MU|BE1|up|up|LAG Frontera PTN ALU 18TNN01 agrupa Te0/0/1/11 - Te0/1/1/11
TNN1MU|BE1.100|admin-down|admin-down|[ACCESO] MDI51D [ADSL2] L 15006340
TNN1MU|BE1.101|up|up|[ACCESO] MDI41D [ADSL2] L 15006339
TNN1MU|BE1.102|up|up|[ACCESO] MDI31D [ADSL2] L 82320
TNN1MU|BE1.106|up|up|[ACCESO] TER41D ZTE 9800 [ADSL2] L 15006367
TNN1MU|BE1.108|up|up|[ACCESO] CYU31D ZTE 9800 [ADSL2] L 15006954
TNN1MU|BE1.310|admin-down|admin-down|[ACCESO] TER21D  [ADSL2] L 60000091
TNN1MU|BE1.311|up|up|[ACCESO] TER11D ZTE 9800  [ADSL2] L 81326
TNN1MU|BE1.312|up|up|[ACCESO] CYU21D ZTE 9800 [ADSL2]
TNN1MU|BE1.313|up|up|[ACCESO] CYU11D ZTE 9800  [ADSL2] L 9701195
TNN1MU|BE1.1600|admin-down|admin-down|CONEXION A 1LA1MU Gi0/6/7.1600 via PTN (18TNN01) L:15008506
TNN1MU|BE1.1602|up|up|CONEXION A 1LA1MU Gi0/5/7.1602 via PTN (18TNN01) L:15008564
TNN1MU|BE1.1603|up|up|CONEXION A ATN950B 1LA1MU Gi0/6/7.1603 CARILO  - UPLINK - NGN
TNN1MU|BE1.1604|up|up|CONEXION A ATN950B 1LA1MU Gi0/6/7.1604 CARILO - UPLINK - SSPOPUSA
TNN1MU|BE1.1780|up|up|GESTION_TX_RE_Villa Gesell Coliseo Linea 60000687
TNN1MU|BE1.2648|up|up|[ACCESO] MDI11D ZTE 9800  [ADSL2] L 81396
TNN1MU|BE1.2789|up|up|GESTION TWAMP 5R7LV01 9005287
TNN1MU|BE1.1417130|admin-down|admin-down|NODOB - SAN_BERNARDO_SUR - A41-B017 (1) (333074) - 3G
TNN1MU|BE1.1417180|admin-down|admin-down|NODOB - SAN_BERNARDO_SUR - A41-B017 (2) (333074) - GOMRAN
TNN1MU|BE1.1418117|admin-down|admin-down|NODOB - SAN_BERNARDO_CENTRO - A41-B295 (1) (344092) - 3G
TNN1MU|BE1.1418167|admin-down|admin-down|NODOB - SAN_BERNARDO_CENTRO - A41-B295 (3) (344092) - GOMRAN
