shelfname|interface|portoperationalstate|protocol|info1
TVJ2MU|BE1|up|up|[ACCESO HSI][BE] TVJ31
TVJ2MU|BE1.2101|up|up|[GESTION] TVJ31D HUA 5600 [ADS2]
TVJ2MU|BE1.3101|up|up|[TOIP] TVJ31D HUA 5600 [ADS2]
TVJ2MU|BE1.4101|up|up|[DATOS] TVJ31D HUA 5600 [ADS2][L3]
TVJ2MU|BE1.4101.pppoe709|up|up| 
TVJ2MU|BE1.4101.pppoe1457|up|up| 
TVJ2MU|BE1.4101.pppoe1645|up|up| 
TVJ2MU|BE1.4101.pppoe1875|up|up| 
TVJ2MU|BE1.4101.pppoe2791|up|up| 
TVJ2MU|BE1.4101.pppoe3414|up|up| 
TVJ2MU|BE1.4101.pppoe3469|up|up| 
TVJ2MU|BE1.4101.pppoe3718|up|up| 
TVJ2MU|BE1.4101.pppoe3753|up|up| 
TVJ2MU|BE1.4101.pppoe3772|up|up| 
TVJ2MU|BE1.4101.pppoe3983|up|up| 
TVJ2MU|BE1.4101.pppoe4258|up|up| 
TVJ2MU|BE1.4101.pppoe4271|up|up| 
TVJ2MU|BE1.4101.pppoe4342|up|up| 
TVJ2MU|BE1.4101.pppoe4646|up|up| 
TVJ2MU|BE1.4101.pppoe4916|up|up| 
TVJ2MU|BE1.4101.pppoe5636|up|up| 
TVJ2MU|BE1.4101.pppoe5727|up|up| 
TVJ2MU|BE1.4101.pppoe5734|up|up| 
TVJ2MU|BE1.4101.pppoe5754|up|up| 
TVJ2MU|BE1.4101.pppoe5881|up|up| 
TVJ2MU|BE1.4101.pppoe5885|up|up| 
TVJ2MU|BE1.4101.pppoe5908|up|up| 
TVJ2MU|BE1.4101.pppoe5940|up|up| 
TVJ2MU|BE1.4101.pppoe6022|up|up| 
TVJ2MU|BE1.4101.pppoe6109|up|up| 
TVJ2MU|BE1.4101.pppoe6134|up|up| 
TVJ2MU|BE1.4101.pppoe6196|up|up| 
TVJ2MU|BE1.4101.pppoe6301|up|up| 
TVJ2MU|BE1.4101.pppoe6305|up|up| 
TVJ2MU|BE1.4101.pppoe6405|up|up| 
