shelfname|interface|portoperationalstate|protocol|info1
VLU3MU|BE1|up|up|[ACCESO HSI][BE] VLU31D 9701314
VLU3MU|BE1.2101|up|up|[GESTION] VLU31D HUA 5100 [ADS2]
VLU3MU|BE1.4101|up|up|[DATOS] VLU31D HUA 5100 [ADS2][L3]
VLU3MU|BE2|up|up|[ACCESO HSI][BE] 1YP11C
VLU3MU|BE2.2101|up|up|[GESTION] 1YP11C ALU 7330 [VDS2]
VLU3MU|BE2.3101|up|up|[TOIP] 1YP11C ALU 7330 [VDS2]
VLU3MU|BE2.4101|up|up|[DATOS] 1YP11C ALU 7330 [VDS2][L3]
VLU3MU|BE2.4101.pppoe1491|up|up| 
VLU3MU|BE2.4101.pppoe4851|up|up| 
VLU3MU|BE2.4101.pppoe5842|up|up| 
VLU3MU|BE2.4101.pppoe5920|up|up| 
VLU3MU|BE2.4101.pppoe6655|up|up| 
VLU3MU|BE2.4101.pppoe8166|up|up| 
VLU3MU|BE2.4101.pppoe8578|up|up| 
VLU3MU|BE2.4101.pppoe9045|up|up| 
VLU3MU|BE2.4101.pppoe9526|up|up| 
VLU3MU|BE2.4101.pppoe9630|up|up| 
VLU3MU|BE2.4101.pppoe9707|up|up| 
VLU3MU|BE2.4101.pppoe9887|up|up| 
VLU3MU|BE2.4101.pppoe9943|up|up| 
VLU3MU|BE2.4101.pppoe9946|up|up| 
VLU3MU|BE2.4101.pppoe9952|up|up| 
VLU3MU|BE2.4101.pppoe9958|up|up| 
VLU3MU|BE2.4101.pppoe9959|up|up| 
VLU3MU|BE2.4101.pppoe9960|up|up| 
VLU3MU|BE2.4101.pppoe9975|up|up| 
VLU3MU|BE3|up|up|[ACCESO HSI][BE] VLU51D 9701284
VLU3MU|BE3.2101|up|up|[GESTION] VLU51D ZTE 9210 [ADS2]
VLU3MU|BE3.3101|up|up|[TOIP] VLU51D ZTE 9210 [ADS2]
VLU3MU|BE3.4101|up|up|[DATOS] VLU51D ZTE 9210 [ADS2][L3]
VLU3MU|BE4|up|up|[ACCESO HSI][BE] VLU61D 9701241
VLU3MU|BE4.2101|up|up|[GESTION] VLU61D ZTE 9210 [ADS2]
VLU3MU|BE4.3101|up|up|[TOIP] VLU61D ZTE 9210 [ADS2]
VLU3MU|BE4.4101|up|up|[DATOS] VLU61D ZTE 9210 [ADS2][L3]
VLU3MU|BE5|up|up|[ACCESO HSI][BE] 91H11C 
VLU3MU|BE5.2101|up|up|[GESTION] 91H11C ALU 7330 [VDS2]
VLU3MU|BE5.3101|up|up|[TOIP] 91H11C ALU 7330 [VDS2]
VLU3MU|BE5.4101|up|up|[DATOS] 91H11C ALU 7330 [VDS2][L3]
VLU3MU|BE5.4101.pppoe5333|up|up| 
VLU3MU|BE5.4101.pppoe5336|up|up| 
VLU3MU|BE5.4101.pppoe5338|up|up| 
VLU3MU|BE5.4101.pppoe5340|up|up| 
VLU3MU|BE5.4101.pppoe5344|up|up| 
VLU3MU|BE5.4101.pppoe5349|up|up| 
