shelfname|interface|portoperationalstate|protocol|info1
AVN3MU|100GE5/0/0|up|up|Enlace 100G FO CEN1NA_G0/5/0/0 Linea:13006580 - UPLINK NA
AVN3MU|100GE7/0/0|up|up|Enlace 100G FO COE1NA_G0/16/0/5 Linea:13006581 - UPLINK NA
AVN3MU|Eth-Trunk4|up|down|LAG 1+1 AVNA1D 13003433
AVN3MU|Eth-Trunk4.2101|up|up|[GESTION] AVNA1D ZTE 9800 [ADS2]
AVN3MU|Eth-Trunk4.3101|up|up|[TOIP] AVNA1D ZTE 9800 [ADS2]
AVN3MU|Eth-Trunk4.4101|up|up|[DATOS] AVNA1D ZTE 9800 [ADS2][L2]
AVN3MU|Eth-Trunk10|up|down|[ACCESO HSI][VI] LAG 1+1 AVNM01 13001275
AVN3MU|Eth-Trunk10.6|up|up|IPTV AVNM01 IGMP-PIM
AVN3MU|Eth-Trunk10.7|up|up|[DHCP] [IPTV] AVNM01 HUA 5600T [GPON]]
AVN3MU|Eth-Trunk10.10|up|up|[DATOS] AVNM01 10 HUA 5600_T [GPON][L2]
AVN3MU|Eth-Trunk10.11|up|up|[DATOS] AVNM01 11 HUA 5600_T [GPON][L2]
AVN3MU|Eth-Trunk10.12|up|up|[DATOS] AVNM01 13 HUA 5600_T [GPON][L2]
AVN3MU|Eth-Trunk10.2101|up|up|[GESTION] AVNM01 HUA 5600_T [VDS2]
AVN3MU|Eth-Trunk10.3101|up|up|[TOIP] AVNM01 HUA 5600T [VDS2]
AVN3MU|Eth-Trunk10.4101|up|up|[DATOS] AVNM01 HUA 5600_T [VDS2][L2]
AVN3MU|Eth-Trunk11|up|down|LAG 1+1 7QFG01 L  13002798
AVN3MU|Eth-Trunk11.2|up|up|[SIGN]- 7QFG01 -BARRIO CARRARA DE HORIZONTE- Linea 13002798
AVN3MU|Eth-Trunk11.3|up|up|[RTP] NGN  7QFG01 -BARRIO CARRARA DE HORIZONTE- Linea 13002798
AVN3MU|Eth-Trunk11.4|up|up|[IPMB]- NGN  7QFG01 -BARRIO CARRARA DE HORIZONTE- Linea 13002798
AVN3MU|Eth-Trunk11.3101|up|up|[TOIP] 7QFG01 HUA 5600T [ADS2]
AVN3MU|Eth-Trunk11.4101|up|up|[DATOS] 7QFG01 HUA 5600_T [NGN][L2]
AVN3MU|Eth-Trunk17|up|down|LAG 1+1 AVN71D 13000208
AVN3MU|Eth-Trunk17.2101|up|up|[GESTION] AVN71D ZTE 9800 [ADS2]
AVN3MU|Eth-Trunk17.3101|up|up|[TOIP] AVN71D ZTE 9800 [ADS2]
AVN3MU|Eth-Trunk17.3622|up|up|VPN GOLD - DINOSURIO S.A. - Ref:646785 - L: 2795290 - AVN71D 1/17 7
