shelfname|interface|portoperationalstate|protocol|info1
BUA3MU|Aux0/0/1|down|down|HUAWEI, Aux0/0/1 Interface
BUA3MU|Eth-Trunk1|up|down|LAG A BSCTUC4 (Gi1/1/0 Gi7/1/0) (441254)
BUA3MU|Eth-Trunk1.1000|up|up|LAG A BSCTUC4 (Gi1/1/0 Gi7/1/0) (441254) 2G
BUA3MU|Eth-Trunk2|up|down|LAG A TUCRNC01 (Gi1/1/1  Gi7/1/1)(441400)
BUA3MU|Eth-Trunk2.1000|up|up|LAG A TUCRNC01 (Gi1/1/1  Gi7/1/1)(441400) 3G
BUA3MU|Eth-Trunk3|down|down|LAG A TUCRNC01 (Gi1/1/2  Gi7/1/2)(441401)
BUA3MU|Eth-Trunk3.1000|down|down|LAG A TUCRNC01 (Gi1/1/2  Gi7/1/2)(441401) 3G
BUA3MU|Eth-Trunk4|up|down|LAG A TUCRNC01 (Gi1/1/3  Gi7/1/3)(441406)
BUA3MU|Eth-Trunk4.1000|up|up|LAG A TUCRNC01 (Gi1/1/3  Gi7/1/3)(441406) 3G
BUA3MU|Eth-Trunk5|up|down|LAG A TUCRNC01 (Gi1/1/4  Gi7/1/4)(441407)
BUA3MU|Eth-Trunk5.1000|up|up|LAG A TUCRNC01 (Gi1/1/4  Gi7/1/4)(441407) 3G
BUA3MU|Eth-Trunk6|up|down|LAG A TUCRNC02 (Gi1/1/5  Gi7/1/5)(441408)
BUA3MU|Eth-Trunk6.1000|up|up|LAG A TUCRNC02 (Gi1/1/5  Gi7/1/5)(441408) 3G
BUA3MU|Eth-Trunk7|up|down|LAG A TUCRNC02 (Gi1/1/6  Gi7/1/6)(441409)
BUA3MU|Eth-Trunk7.1000|up|up|LAG A TUCRNC02 (Gi1/1/6  Gi7/1/6)(441409) 3G
BUA3MU|Eth-Trunk8|up|down|LAG A TUCRNC02 (Gi1/1/7  Gi7/1/7)(441410)
BUA3MU|Eth-Trunk8.1000|up|up|LAG A TUCRNC02 (Gi1/1/7  Gi7/1/7)(441410) 3G
BUA3MU|Eth-Trunk9|up|down|LAG A TUCRNC02 (Gi1/1/8  Gi7/1/8)(441411)
BUA3MU|Eth-Trunk9.1000|up|up|LAG A TUCRNC02 (Gi1/1/8  Gi7/1/8)(441411) 3G
BUA3MU|Eth-Trunk10|up|down|LAG A BSCTUC4 (Gi1/1/14 Gi7/1/14)(505914)
BUA3MU|Eth-Trunk10.1000|up|up|LAG A BSCTUC4 (Gi1/1/14 Gi7/1/14)(628434) (505914) - 2G
BUA3MU|Eth-Trunk11|up|down|LAG A TUCRNC03 (Gi1/1/10 Gi7/1/10) (linea)
