shelfname|interface|portoperationalstate|protocol|info1
CAS4MU|100GE2/0/0|up|up|Enlace 100G DWDM BEL1NA_G0/19/0/3 Linea:15007830 - UPLINK NA
CAS4MU|100GE2/0/1|down|down|
CAS4MU|100GE6/0/0|up|up|Enlace 100G DWDM MUN1NA_G0/19/0/3 Linea:15007831 - UPLINK NA
CAS4MU|100GE6/0/1|down|down|
CAS4MU|Eth-Trunk10|up|down|ACCESO NGN CASU0  UMG8900 HUAWEI CASEROS AMBA
CAS4MU|GE0/0/0|down|down|
CAS4MU|GE1/0/0|up|down|ACCESO SEGURIZADO NGN CASU0  UMG8900 HUAWEI CASEROS AMBA Linea 15006306
CAS4MU|GE1/0/0.2|up|up|SIGN NGN CASU0 CASEROS L15006308
CAS4MU|GE1/0/0.3|up|up|RTP NGN CASU0 CASEROS L 15006306
CAS4MU|GE1/0/0.5|up|up|GESTION NGN CASU0 CASEROS L 15006306
CAS4MU|GE1/0/1|up|up|ACCESO SEGURIZADO NGN CASU0  UMG8900 HUAWEI CASEROS AMBA Linea 15006307
CAS4MU|GE1/0/2|up|down|
CAS4MU|GE1/0/2.2|up|up|SIGN NGN CASV0 CASEROS L15006308
CAS4MU|GE1/0/2.3|up|up|RTP NGN CASV0 CASEROS L 15006308
CAS4MU|GE1/0/2.5|up|up|GESTION NGN CASV0 CASEROS L 15006308
CAS4MU|GE1/0/3|up|down|
CAS4MU|GE1/0/4|up|down|[ACCESO HSI][VI] 0V711C 15003185
CAS4MU|GE1/0/4.2101|up|up|[GESTION] 0V711C ECI HIFS [VDS2]
CAS4MU|GE1/0/4.3101|up|up|[TOIP] 0V711C ECI HIFS [VDS2]
CAS4MU|GE1/0/4.4101|up|up|[DATOS] 0V711C ECI HIFS [VDS2][L2]
CAS4MU|GE1/0/5|up|down|[ACCESO HSI][FI] 0UV11C
CAS4MU|GE1/0/5.2101|up|up|[GESTION] 0UV11C ECI HiFOCuS [VDS2]
CAS4MU|GE1/0/5.3101|up|up|[TOIP] 0UV11C ECI HiFOCuS [VDS2]
CAS4MU|GE1/0/5.4101|up|up|[DATOS] 0UV11C ECI HiFOCuS [VDS2][L2]
CAS4MU|GE1/0/6|up|down|[ACCESO HSI][VI] 0V811C 15003186
CAS4MU|GE1/0/6.2101|up|up|[GESTION] 0V811C ECI HIFS [VDS2]
CAS4MU|GE1/0/6.3101|up|up|[TOIP] 0V811C ECI HIFS [VDS2]
CAS4MU|GE1/0/6.4101|up|up|[DATOS] 0V811C ECI HIFS [VDS2][L2]
CAS4MU|GE1/0/7|up|down|[ACCESO HSI][VI] 0UY11C 15003179
CAS4MU|GE1/0/7.2101|up|up|[GESTION] 0UY11C ECI HIFS [VDS2]
CAS4MU|GE1/0/7.3101|up|up|[TOIP] 0UY11C ECI HIFS [VDS2]
CAS4MU|GE1/0/7.4101|up|up|[DATOS] 0UY11C ECI HIFS [VDS2][L2]
CAS4MU|GE1/0/8|up|down|[ACCESO HSI][VI] CASC1D 15006796
CAS4MU|GE1/0/8.2101|up|up|[GESTION] CASC1D ZTE 9210 [ADS2]
CAS4MU|GE1/0/8.3101|up|up|[TOIP] CASC1D ZTE 9210 [ADS2]
CAS4MU|GE1/0/8.4101|up|up|[DATOS] CASC1D ZTE 9210 [ADS2][L2]
CAS4MU|GE1/0/9|up|down|[ACCESO HSI][VI] CASE1D 15006798
CAS4MU|GE1/0/9.2101|up|up|[GESTION] CASE1D ZTE 9210 [ADS2]
CAS4MU|GE1/0/9.3101|up|up|[TOIP] CASE1D ZTE 9210 [ADS2]
CAS4MU|GE1/0/9.4101|up|up|[DATOS] CASE1D ZTE 9210 [ADS2][L2]
CAS4MU|GE1/0/10|up|down|[ACCESO HSI][VI] CASD1D 15006797
CAS4MU|GE1/0/10.2101|up|up|[GESTION] CASD1D ZTE 9210 [ADS2]
CAS4MU|GE1/0/10.3101|up|up|[TOIP] CASD1D ZTE 9210 [ADS2]
CAS4MU|GE1/0/10.4101|up|up|[DATOS] CASD1D ZTE 9210 [ADS2][L2]
CAS4MU|GE1/0/11|up|down|[ACCESO HSI][VI] CASF1D 15006799
CAS4MU|GE1/0/11.2101|up|up|[GESTION] CASF1D ZTE 9210 [ADS2]
CAS4MU|GE1/0/11.3101|up|up|[TOIP] CASF1D ZTE 9210 [ADS2]
CAS4MU|GE1/0/11.4101|up|up|[DATOS] CASF1D ZTE 9210 [ADS2][L2]
CAS4MU|GE1/0/12|up|down|### VPN - AFIP - ref:163186 - Lin:2594529 ###
CAS4MU|GE1/0/12.36|up|up|### Integra - AFIP - ref:163186 - Lin:2594529 ###
CAS4MU|GE1/0/13|up|down|INTEGRA - CASIBA S. A. - Ref:188019 Lin:2598430
CAS4MU|GE1/0/13.3|up|up|INTEGRA - CASIBA S. A. - Ref:188019 Lin:2598430
