shelfname|interface|portoperationalstate|protocol|info1
CDR3MU|100GE4/0/0|up|up|Enlace 100G FO CEN1NA_G0/13/0/4  Linea:13006506 - UPLINK NA
CDR3MU|100GE4/0/1|down|down|
CDR3MU|100GE5/0/0|up|up|Enlace 100G FO COE1NA_G0/13/0/4  Linea:13006507 - UPLINK NA
CDR3MU|100GE5/0/1|down|down|
CDR3MU|Eth-Trunk1|up|down|[ACCESO HSI] CDRM01 13001267
CDR3MU|Eth-Trunk1.6|up|up|IPTV CDRM01 IGMP-PIM
CDR3MU|Eth-Trunk1.7|up|up|[DHCP] [IPTV] CDRM01 HUA 5600T [GPON]
CDR3MU|Eth-Trunk1.13|up|up|[DATOS] CDRM01_13 HUA 5600_T [GPON][L2]
CDR3MU|Eth-Trunk1.14|up|up|[DATOS] CDRM01_14 HUA 5600_T [GPON][L2]
CDR3MU|Eth-Trunk1.15|up|up|[DATOS] CDRM01_14 HUA 5600_T [GPON][L2]
CDR3MU|Eth-Trunk1.2101|up|up|[GESTION] CDRM01 HUA 5600_T [GPON]
CDR3MU|Eth-Trunk1.3101|up|up|[TOIP] CDRM01 HUA 5600_T [GPON]
CDR3MU|Eth-Trunk1.4101|up|up|[DATOS] CDRM01 HUA 5600_T [GPON][L2]
CDR3MU|Eth-Trunk2|up|down|[ACCESO HSI] CDRN01 13002985
CDR3MU|Eth-Trunk2.6|up|up|IPTV CDRN01 IGMP-PIM
CDR3MU|Eth-Trunk2.7|up|up|[DHCP] [IPTV] CDRN01 HUA 5600T [GPON]
CDR3MU|Eth-Trunk2.10|up|up|[DATOS] CDRN01_10 HUA 5600_T [GPON][L2]
CDR3MU|Eth-Trunk2.11|up|up|[DATOS] CDRN01_11 HUA 5600_T [GPON][L2]
CDR3MU|Eth-Trunk2.12|up|up|[DATOS] CDRN01_12 HUA 5600_T [GPON][L2]
CDR3MU|Eth-Trunk2.2101|up|up|[GESTION] CDRN01 HUA 5600_T [GPON]
CDR3MU|Eth-Trunk2.3101|up|up|[TOIP] CDRN01 HUA 5600_T [GPON]
CDR3MU|Eth-Trunk2.4101|up|up|[DATOS] CDRN01 HUA 5600_T [GPON][L2]
CDR3MU|GE0/0/0|down|down|
CDR3MU|GE1/0/0|up|down|Enlace 1G a CDRDCNRD1 Gi1/1/1
CDR3MU|GE1/0/0.2|up|up|DCN GESTION - VPLS ELAN_DCN_GESTION_ACCESO (Linea 13007043)
CDR3MU|GE1/0/1|up|down|eNODOB LAS_ROSAS_PLAZA - A03-S643 (684849) NODOB (684821) (684848)
CDR3MU|GE1/0/1.1170|up|up|eNODOB - LAS_ROSAS_PLAZA - A03-S643 - (1) (684849) - S1
CDR3MU|GE1/0/1.1171|up|up|eNODOB - LAS_ROSAS_PLAZA - A03-S643 - (2) (684849) - S1MME
CDR3MU|GE1/0/1.1172|up|up|eNODOB - LAS_ROSAS_PLAZA - A03-S643 - (3) (684849) - GOMRAN
CDR3MU|GE1/0/1.1173|up|up|NODOB - LAS_ROSAS_PLAZA - A03-S643 - (1) (684821) - 3G
CDR3MU|GE1/0/1.1174|up|up|NODOB - LAS_ROSAS_PLAZA - A03-S643- (1) (684848) - 2G
CDR3MU|GE1/0/2|up|down|eNODOB CORDOBA_SCHOENSTATT - A03-S820 (506146) NODOB (506135) (506137)
CDR3MU|GE1/0/2.1063|up|up|NODOB - CORDOBA_SCHOENSTATT - A03-S820 - (1) (506135) - 3G
CDR3MU|GE1/0/2.1064|up|up|eNODOB - CORDOBA_SCHOENSTATT - A03-S820 - (1) (506146) - S1
CDR3MU|GE1/0/2.1065|up|up|eNODOB - CORDOBA_SCHOENSTATT - A03-S820 - (2) (506146) - S1MME
CDR3MU|GE1/0/2.1066|up|up|eNODOB - CORDOBA_SCHOENSTATT - A03-S820 - (3) (506146) - GOMRAN
