shelfname|interface|portoperationalstate|protocol|info1
CYU1MU|GE0/0/0|down|down|
CYU1MU|GE0/1/0|up|down|HSI CYU11D - TNN1MU - Linea 9701195
CYU1MU|GE0/1/0.1|up|up|HSI CYU11D - TNN1MU
CYU1MU|GE0/1/1|up|down|HSI CYU21D - TNN1MU - Linea 60000433
CYU1MU|GE0/1/1.1|up|up|HSI CYU21D - TNN1MU
CYU1MU|GE0/1/2|up|down|ACCESO ZCTG01 HUA 5000 LInea 60000375 [NGN]
CYU1MU|GE0/1/2.1|up|up|HSI ZCTG01 - TNN1MU
CYU1MU|GE0/1/2.3|up|up|[RTP][SIGN] ZCTG01 HUA 5000 [NGN]
CYU1MU|GE0/1/2.4|up|up|[GESTION][IPMB] ZCTG01 HUA 5000 [NGN]
CYU1MU|GE0/1/2.5|up|up|[GESTION][PVM] ZCTG01 HUA 5000 [NGN]
CYU1MU|GE0/1/3|up|down|ACCESO CYUG01 HUA 5000 Linea 9701532 [NGN]
CYU1MU|GE0/1/3.3|up|up|[RTP][SIGN] CYUG01 HUA 5000 [NGN]
CYU1MU|GE0/1/3.4|up|up|[GESTION][IPMB] CYUG01 HUA 5000 [NGN]
CYU1MU|GE0/1/3.5|up|up|[GESTION][PVM] CYUG01 HUA 5000 [NGN]
CYU1MU|GE0/1/4|up|down|CONEXION RADIO 1STS101_IDU/XXXXX/XXXXX LANXXXXX
CYU1MU|GE0/1/4.13501000|up|up|eNODOB - SAN_CLEMENTE_DEL_TUYU_2 - CYU1MU  - A41-B019 - (1) (438872) - S1
CYU1MU|GE0/1/4.13501001|up|up|eNODOB - SAN_CLEMENTE_DEL_TUYU_2 - CYU1MU  - A41-B019 - (2) (438872) - S1MME
CYU1MU|GE0/1/4.13501002|up|up|eNODOB - SAN_CLEMENTE_DEL_TUYU_2 - CYU1MU  - A41-B019 - (3) (438872) - GOMRAN
CYU1MU|GE0/1/4.13501003|up|up|NODOB - SAN_CLEMENTE_DEL_TUYU_2 - CYU1MU  - A41-B019 - (1) (763171) - 3G
CYU1MU|GE0/1/4.13501004|up|up|NODOB - SAN_CLEMENTE_DEL_TUYU_2 - CYU1MU  - A41-B019 - (1) (763170) - 2G
CYU1MU|GE0/1/4.14041000|up|up|eNODOB - SAN_CLEMENTE_DEL_TUY_TERMINAL - CYU1MU GigabitEthernet 0/1/4 - A41-B836 - (1) (752654) - S1
CYU1MU|GE0/1/4.14041001|up|up|eNODOB - SAN_CLEMENTE_DEL_TUY_TERMINAL - CYU1MU GigabitEthernet 0/1/4 - A41-B836 - (2) (752654) - S1MME
CYU1MU|GE0/1/4.14041002|up|up|eNODOB - SAN_CLEMENTE_DEL_TUY_TERMINAL - CYU1MU GigabitEthernet 0/1/4 - A41-B836 - (3) (752654) - GOMRAN
CYU1MU|GE0/1/4.14041003|up|up|NODOB - SAN_CLEMENTE_DEL_TUY_TERMINAL - CYU1MU GigabitEthernet 0/1/4 - A41-B836 - (1) (752655) - 3G
CYU1MU|GE0/1/4.14041004|up|up|NODOB - SAN_CLEMENTE_DEL_TUY_TERMINAL - CYU1MU GigabitEthernet 0/1/4 - A41-B836 - (1) (752114) - 2G
CYU1MU|GE0/1/4.14191000|up|up|eNODOB - SAN_CLEMENTE_DEL_TUYU_MUNDO_MARINO A41-B486 (1) (430692) - S1
