shelfname|interface|portoperationalstate|protocol|info1
DER2MU|Eth-Trunk10|up|down|LAG 1+1 DER51D 13002778
DER2MU|Eth-Trunk10.2101|up|up|[GESTION] DER51D HUA 5600 [ADS2]
DER2MU|Eth-Trunk10.3101|up|up|[TOIP] DER51D HUA 5600 [ADS2]
DER2MU|Eth-Trunk10.4101|up|up|[DATOS] DER51D HUA 5600 [ADS2][L2]
DER2MU|Eth-Trunk11|up|down|LAG 1+1 DER61D 130027779
DER2MU|Eth-Trunk11.2101|up|up|[GESTION] DER61D HUA 5600 [ADS2]
DER2MU|Eth-Trunk11.3101|up|up|[TOIP] DER61D HUA 5600 [ADS2]
DER2MU|Eth-Trunk11.4101|up|up|[DATOS] DER61D HUA 5600 [ADS2][L2]
DER2MU|Eth-Trunk12|up|down|LAG 1+1 DER71D 13003464
DER2MU|Eth-Trunk12.2101|up|up|[GESTION] DER71D HUA 5600 [ADS2]
DER2MU|Eth-Trunk12.3101|up|up|[TOIP] DER71D HUA 5600 [ADS2]
DER2MU|Eth-Trunk12.4101|up|up|[DATOS] DER71D HUA 5600 [ADS2][L2]
DER2MU|Eth-Trunk22|up|down|LAG 1+1 DER41D 13002777
DER2MU|Eth-Trunk22.2101|up|up|[GESTION] DER41D HUA 5600 [ADS2]
DER2MU|Eth-Trunk22.3101|up|up|[TOIP] DER41D HUA 5600 [ADS2]
DER2MU|Eth-Trunk22.4101|up|up|[DATOS] DER41D HUA 5600 [ADS2][L2]
DER2MU|Eth-Trunk23|up|down|LAG 1+1 EQUIPO-OLT DERO01
DER2MU|Eth-Trunk23.2101|up|up|[GESTION] DERO01 ALU7302 [VDSL] L:11005580
DER2MU|Eth-Trunk23.3101|up|up|[TOIP] DERO01 ALU 7302 11005580[VDS2]
DER2MU|Eth-Trunk23.4101|up|up|[DATOS] DERO01 ALU7302 11005580 [VDS2][L2]
DER2MU|GE0/0/0|down|down|
DER2MU|GE1/0/0|up|down|eNODOB ALTO_COMEDERO_TECO - A21-S273 (447688) NODOB (756703) (756725)
DER2MU|GE1/0/0.1240|up|up|eNODOB - ALTO_COMEDERO_TECO - A21-S273 - (1) (447688) - S1
DER2MU|GE1/0/0.1241|up|up|eNODOB - ALTO_COMEDERO_TECO - A21-S273 - (2) (447688) - S1MME
DER2MU|GE1/0/0.1242|up|up|eNODOB - ALTO_COMEDERO_TECO - A21-S273 - (3) (447688) - GOMRAN
DER2MU|GE1/0/0.1314|up|up|NODOB - ALTO_COMEDERO_TECO - A21-S273 - (1) (756703) - 3G
DER2MU|GE1/0/0.1315|up|up|NODOB - ALTO_COMEDERO_TECO - A21-S273- (1) (756725) - 2G
DER2MU|GE1/0/1|up|up|[DATOS] DERO01 ALU7302 1/2 [VDSL] L:11005580
DER2MU|GE1/0/2|down|down|[DATOS] DERO01 ALU7302 2/2 [VDSL] L:11005580
DER2MU|GE1/0/3|down|down|NODO
DER2MU|GE1/0/4|down|down|JUJUY_ALTO_COMEDERO - A21-S003 - 3G
DER2MU|GE1/0/4.1305|down|down|NODOB - JUJUY_ALTO_COMEDERO 2DA BBU - A21-S003 - (1) (526669) - 3G
DER2MU|GE1/0/4.1306|down|down|NODOB - JUJUY_ALTO_COMEDERO 2DA BBU - A21-S003 - (2) (526669) - 3G S1MME
DER2MU|GE1/0/4.1307|down|down|NODOB - JUJUY_ALTO_COMEDERO 2DA BBU - A21-S003 - (3) (526669) - 3G GOMRAN
DER2MU|GE1/0/4.1308|down|down|NODOB - JUJUY_ALTO_COMEDERO 2DA BBU - A21-S003 - (3) (526669) - 3G GOMRAN
DER2MU|GE1/0/5|up|down|eNODOB JUJUY_ALMIRANTE_BROWN_POSTE_1 - DER2MU  - A21-S182 - S21-S183
DER2MU|GE1/0/5.1298|up|up|eNODOB JUJUY_ALMIRANTE_BROWN_POSTE_1 - DER2MU  - A21-S182 - S21-S183
DER2MU|GE1/0/5.1299|up|up|eNODOB JUJUY_ALMIRANTE_BROWN_POSTE_1 - DER2MU  - A21-S182 - S21-S183
DER2MU|GE1/0/5.1300|up|up|eNODOB JUJUY_ALMIRANTE_BROWN_POSTE_1 - DER2MU  - A21-S182 - S21-S183
DER2MU|GE1/0/5.1301|up|up|eNODOB JUJUY_ALMIRANTE_BROWN_POSTE_1 - DER2MU  - A21-S182 - S21-S183
DER2MU|GE1/0/5.1302|up|up|eNODOB JUJUY_ALMIRANTE_BROWN_POSTE_1 - DER2MU  - A21-S182 - S21-S183
DER2MU|GE1/0/6|up|up|CONEXION 1/2 DER41D HUA 5600
DER2MU|GE1/0/7|up|up|CONEXION 1/2 DER51D HUA 5600
DER2MU|GE1/0/8|up|up|CONEXION 1/2 DER61D HUA 5600
DER2MU|GE1/0/9|up|down|[ACCESO HSI][FI] 89NC01 13003176
