shelfname|interface|portoperationalstate|protocol|info1
ELP2MU|Eth-Trunk10|up|down|LAG 1+1 2BPG01 L 9702166
ELP2MU|Eth-Trunk10.1|up|up|HSI -2BPG01- Linea 9702166 - CAS1MB
ELP2MU|Eth-Trunk10.3|up|up|[RTP][SIGN] 2BPG01 HUA 5000 [NGN]
ELP2MU|Eth-Trunk10.4|up|up|[GESTION][IPMB] 2BPG01 HUA 5000 [NGN]
ELP2MU|Eth-Trunk10.5|up|up|[GESTION][PVM] 2BPG01 HUA 5000 [NGN]
ELP2MU|Eth-Trunk11|up|down|LAG 1+1 1BPG01 L 9702165
ELP2MU|Eth-Trunk11.1|up|up|HSI -1BPG01- Linea 9702166 - CAS1MB
ELP2MU|Eth-Trunk11.3|up|up|[RTP][SIGN] 1BPG01 HUA 5000 [NGN]
ELP2MU|Eth-Trunk11.4|up|up|[GESTION][IPMB] 1BPG01 HUA 5000 [NGN]
ELP2MU|Eth-Trunk11.5|up|up|[GESTION][PVM] 1BPG01 HUA 5000 [NGN]
ELP2MU|GE0/0/0|down|down|
ELP2MU|GE1/0/0(10G)|up|up|Enlace 10G FO BAL1MB_G0/0/1/3 Linea: 15004241 - UPLINK MSBNG
ELP2MU|GE1/0/1(10G)|up|up|Enlace 10G DWDM BAL1MB_G0/6/0/3 Linea:15008375 - UPLINK MSBNG
ELP2MU|GE1/1/0|up|down|eNODOB CIUDAD_JARDIN OPU085 (449248)
ELP2MU|GE1/1/0.1000|up|up|eNODOB CIUDAD_JARDIN OPU085 (1) (449248) - S1
ELP2MU|GE1/1/0.1001|up|up|eNODOB CIUDAD_JARDIN OPU085 (2) (449248) - S1MME
ELP2MU|GE1/1/0.1002|up|up|eNODOB CIUDAD_JARDIN OPU085 (3) (449248) - GOMRAN
ELP2MU|GE1/1/0.1003|up|up|eNODOB CIUDAD_JARDIN OPU085 (1) (518574) - 3G
ELP2MU|GE1/1/0.1004|up|up|eNODOB CIUDAD_JARDIN OPU085 (1) (522471) - 2G
ELP2MU|GE1/1/1|up|down|ADSL ELP41D - 9701639
ELP2MU|GE1/1/1.44|up|up|HSI ELP41D - CAS1MB
ELP2MU|GE1/1/2|up|down|ADSL ELP21D - 9701636
ELP2MU|GE1/1/2.60|up|up|HSI ELP21D - CAS1MB
ELP2MU|GE1/1/3|up|down|ADSL ELP61D - 9702993
ELP2MU|GE1/1/3.61|up|up|HSI ELP61D - CAS1MB
ELP2MU|GE1/1/3.3618|up|up|VPN Gold - VPN Head Quarter - ANSES - Ref: 672176 - Linea: 2810522 - Acc: ELP61D 1/17/3y4
ELP2MU|GE1/1/3.3620|up|up|PRESURIZACION CDAD JARDIN (EL PALOMAR) - REF:947277 - ACC:ELP61D 0/17/5
ELP2MU|GE1/1/3.3621|up|up|GIRE REFE 731922 LIN 2830151 ACC: ELP61D 17/6
ELP2MU|GE1/1/3.3622|up|up|VPN SILVER - GIRE S.A. - Ref:228339 Lin:2706050 Acc:ELP61D 17/7
ELP2MU|GE1/1/3.3626|up|up|AEROPUERTOS ARGENTINA 2000 SA - REF 256697 - LINEA 2716384 - Acc:ELP61D 17/11-12
ELP2MU|GE1/1/3.3628|up|up|VPN GOLD - DIA ARGENTINA - Ref:308884 Lin:2738481 Acc:ELP61D 17/13
ELP2MU|GE1/1/3.3630|up|up|VPN Head Quarter - Banco Nacion - Ref:539519 Lin:2754344 Acc:ELP61D 17/15
ELP2MU|GE1/1/3.3631|up|up|VPN SILVER - CORREO - Ref:674500 - Linea:2812229 - Acc:ELP61D 17/16
ELP2MU|GE1/1/3.3632|up|up|LDIP_TASA_Bco Piano(5667314)_Acc:ELP61D 17/17
ELP2MU|GE1/1/3.3633|up|up|VPN SILVER - CORREO - Ref:674499 - Linea:2812228 - Acc:ELP61D 17/18
ELP2MU|GE1/1/3.3638|up|up|LDIP_TASA_BAPRO(2809858)ELP61D 17/22-23
ELP2MU|GE1/1/3.3808|up|up|REF 594593 Linea 2771581 ICBC Peugeot ELP61D Placa 17 PF1-2
ELP2MU|GE1/1/3.3810|up|down|VPN Gold - VPN Head Quarter - ANSES - Ref: 672176 - Linea: 2810522 - Acc: ELP61D 1/17/3y4
ELP2MU|GE1/1/3.3812|up|up|PRESURIZACION CDAD JARDIN (EL PALOMAR) - REF:947277 - ACC:ELP61D 0/17/5
ELP2MU|GE1/1/3.3816|up|up|INTEGRA - FUERZA AEREA ARGENTINA - Ref:669334 - Linea:2808415 Acc:ELP61D 17/9-10
ELP2MU|GE1/1/3.3821|up|up|IntegraLight - D ANGELO PEDRO E HIJOS SRL - Ref:652432 - Lin:2802899 Acc:ELP61D 17/14
ELP2MU|GE1/1/3.3826|up|up|Integra Light refe 676324 linea 2813024 acc:ELP61D 17/19
ELP2MU|GE1/1/3.3828|up|up|IntegraLight - POLYMONT ARGENTINA S.A - Ref:648319 - Lin:2796877 Acc:ELP61D17/21-22
ELP2MU|GE1/1/4|up|down|ADSL ER510D - 9703176
ELP2MU|GE1/1/4.62|up|up|HSI ER510D - CAS1MB
ELP2MU|GE1/1/5|up|down|ADSL ELP81D - 9703869
ELP2MU|GE1/1/5.63|up|up|HSI ELP81D - CAS1MB
ELP2MU|GE1/1/6|up|down|ADSL ELP31D - 9704549
ELP2MU|GE1/1/6.64|up|up|HSI ELP31D - CAS1MB
ELP2MU|GE1/1/7|up|down|ADSL ELPM01 - 15003500
ELP2MU|GE1/1/7.66|up|up|HSI ELPM01 - CAS1MB
ELP2MU|GE1/1/8|up|down|eNODOB  SITAS OPU016 ELP2MU 1/1/8
ELP2MU|GE1/1/8.1000|up|up|eNODOB SITAS OPU016 ELP2MU 1/1/8 (1) 509536 - S1
ELP2MU|GE1/1/8.1001|up|up|eNODOB SITAS OPU016 ELP2MU 1/1/8 (2) 509536 - S1MME
ELP2MU|GE1/1/8.1002|up|up|eNODOB SITAS OPU016 ELP2MU 1/1/8 (3) 509536 - GOMRAN
ELP2MU|GE1/1/8.1003|up|up|eNODOB SITAS OPU016 ELP2MU 1/1/8 (1) 509537 - 3G
ELP2MU|GE1/1/8.1004|up|up|eNODOB SITAS OPU016 ELP2MU 1/1/8 (1) 509538 - 2G
ELP2MU|GE1/1/9|down|down|
ELP2MU|GE1/1/10|up|down|ACCESO 7ZVC01 - LINEA 15006111
ELP2MU|GE1/1/10.29|up|up|HSI 7ZVC01 - CAS1MB
ELP2MU|GE1/1/11|up|down|ACCESO 7ZZC01 - LINEA 15006112
ELP2MU|GE1/1/11.30|up|up|HSI 7ZZC01 - CAS1MB
ELP2MU|GE1/1/12|up|up|CONEXION 1/2 2BPG01 HSI
