shelfname|interface|portoperationalstate|protocol|info1
EPZ1MU|Eth0/0/0|up|up|HUAWEI, Ethernet0/0/0 Interface
EPZ1MU|GE0/1/0|up|down|CONEXION A DWEPZ01/2BB_1 - CTM3MU4/1/4 - Linea.70001276
EPZ1MU|GE0/1/0.1036|up|up|ATN950 EL PORTEZUELO CTM3MU 4/1/4.1036 Linea 70001276 - GESTION
EPZ1MU|GE0/1/0.1201|up|up|UPLINK A CTM3MU Gi4/1/4.1201 - 2G
EPZ1MU|GE0/1/0.1202|up|up|UPLINK A CTM3MU Gi4/1/4.1202 - 3G
EPZ1MU|GE0/1/0.1203|up|up|UPLINK A CTM3MU Gi4/1/4.1203 - S1
EPZ1MU|GE0/1/0.1204|up|up|UPLINK A CTM3MU Gi4/1/4.1204 - S1MME
EPZ1MU|GE0/1/0.1205|up|up|UPLINK A CTM3MU Gi4/1/4.1205 - GOMRAN
EPZ1MU|GE0/1/0.1206|up|up|UPLINK A CTM3MU Gi4/1/4.1206 - NGN
EPZ1MU|GE0/1/0.1208|up|up|UPLINK A CTM3MU Gi4/1/4.1208 - POPUSA
EPZ1MU|GE0/1/0.1209|up|up|UPLINK A CTM3MU Gi4/1/4.1209 - DCN-GESTION
EPZ1MU|GE0/1/0.1210|up|up|UPLINK A CTM3MU Gi4/1/4.1210 - SDH HUAWEI
EPZ1MU|GE0/1/0.1214|up|up|UPLINK A CTM3MU Gi4/1/4.1214 - RSCLARO
EPZ1MU|GE0/1/1|up|down|eNODOB - EL_PORTEZUELO - A10-S035(523169) NODOB (523169)(523201)
EPZ1MU|GE0/1/1.1000|up|up|eNODOB - EL_PORTEZUELO - A10-S035- (1) (523169) - S1
EPZ1MU|GE0/1/1.1001|up|up|eNODOB - EL_PORTEZUELO - A10-S035- (2) (523169) - S1MME
EPZ1MU|GE0/1/1.1002|up|up|eNODOB - EL_PORTEZUELO - A10-S035- (3) (523169) - GOMRAN
EPZ1MU|GE0/1/1.1003|up|up|NODOB - EL_PORTEZUELO - A10-S035- (1) (523219) - 3G
EPZ1MU|GE0/1/1.1004|up|up|NODOB - EL_PORTEZUELO - A10-S035- (1) (523201) - 2G
EPZ1MU|GE0/1/2|up|down|eNODOB LA_PUERTA - A10-S002 (523176) NODOB (521193) (523209)
EPZ1MU|GE0/1/2.1000|up|up|eNODOB - LA_PUERTA - EPZ1MU 0/1/0- A10-S002 - (2) (523176) - S1
EPZ1MU|GE0/1/2.1001|up|up|eNODOB - LA_PUERTA - EPZ1MU 0/1/0- A10-S002 - (2) (523176) - S1MME
EPZ1MU|GE0/1/2.1002|up|up|eNODOB - LA_PUERTA - EPZ1MU 0/1/0- A10-S002 - (3) (523176) - GOMRAN
EPZ1MU|GE0/1/2.1003|up|up|NODOB - LA_PUERTA - EPZ1MU 0/1/0- A10-S002 - (1) (521193) - 3G
EPZ1MU|GE0/1/2.1004|up|up|NODOB - LA_PUERTA - EPZ1MU 0/1/0- A10-S002 - (1) (523209) - 2G
EPZ1MU|GE0/1/2.1005|up|up|eNODOB - LA_PUERTA - EPZ1MU 0/1/0- A10-S002_RSCLR - (945148) - RSCLARO S1
EPZ1MU|GE0/1/2.1006|up|up|eNODOB - LA_PUERTA - EPZ1MU 0/1/0- A10-S002_RSCLR - (945148) - RSCLARO S1MME
EPZ1MU|GE0/1/3|up|down|eNODOB - LOS_VARELA - EPZ1MU 0/1/0 - A10-S050
EPZ1MU|GE0/1/3.1000|up|up|eNODOB - LOS_VARELA - EPZ1MU 0/1/0 - A10-S050 - (1) (523179) - S1
EPZ1MU|GE0/1/3.1001|up|up|eNODOB - LOS_VARELA - EPZ1MU 0/1/0 - A10-S050 - (2) (523179) - S1MME
EPZ1MU|GE0/1/3.1002|up|up|eNODOB - LOS_VARELA - EPZ1MU 0/1/0 - A10-S050 - (3) (523179) - GOMRAN
EPZ1MU|GE0/1/3.1003|up|up|NODOB - LOS_VARELA - EPZ1MU 0/1/0- A10-S050 - (1) (523229) - 3G
