shelfname|interface|portoperationalstate|protocol|info1
EZE1MU|Eth-Trunk1|up|down|LAG PTN HWI 35EZE01_G11/2 - UPLINK BEL5MU
EZE1MU|Eth-Trunk1.4092|up|up|Enlace a BEL5MU_ETH24.4092 Linea: 15009286
EZE1MU|Eth-Trunk2|up|down|LAG PTN HWI 35EZE01_G8/2 - UPLINK MUN4MU
EZE1MU|Eth-Trunk2.4091|up|up|Enlace a MUN4MU_ETH5.4091 Linea: 15009287
EZE1MU|GE0/0/0|down|down|
EZE1MU|GE1/0/0|down|down|
EZE1MU|GE1/0/1|up|down|# VPN - American Airlines Hangar - ref.:720230 - Lin.:2826075 #
EZE1MU|GE1/0/1.20|up|up|# L2L - American Airlines Hangar - ref.:873728 - Lin.:2854936 #
EZE1MU|GE1/0/1.100|up|up|# L2L - American Airlines Hangar - ref.:873728 - Lin.:2854936 #
EZE1MU|GE1/0/2|up|down|INTEGRA - KUEHNE NAGEL SA - REF:783102 LIN:2847194
EZE1MU|GE1/0/2.2|up|up|INTEGRA - KUEHNE NAGEL SA - REF:783102 LIN:2847194
EZE1MU|GE1/0/3|up|down|INTEGRA - LUFTHANSA LINEAS AEREAS - Ref:787467 - Linea:2849166
EZE1MU|GE1/0/3.3|up|up|INTEGRA - LUFTHANSA LINEAS AEREAS - Ref:787467 - Linea:2849166
EZE1MU|GE1/0/3.6|up|up|GESTION INTEGRA - LUFTHANSA LINEAS AEREAS - Ref:787467 - Linea:2849166
EZE1MU|GE1/0/4|up|down|SERVICIO INEGRA - LHS WORLWIDE SA   - REf: 787529
EZE1MU|GE1/0/4.2|up|up|SERVICIO INEGRA - LHS WORLWIDE SA   - REf: 787529
EZE1MU|GE1/0/5|up|down|### INTEGRA - GOYAIKE - Ref:793977 ###
EZE1MU|GE1/0/5.5|up|up|### INTEGRA - GOYAIKE - Ref:793977 ###
EZE1MU|GE1/0/6|up|down|INTEGRA PLATINUM - EANA - REF:787883 - LINEA:2849417
EZE1MU|GE1/0/6.6|up|up|INTEGRA PLATINUM - EANA - REF:787883 - LINEA:2849417
EZE1MU|GE1/0/7|up|down|L2L_L2LTECWORKEZE(2853222)REFE:795452_Ges.TECO
EZE1MU|GE1/0/7.10|up|up|L2L_TECWORKEZE(2853222)REFE:795452_Servicio
EZE1MU|GE1/0/7.4001|up|up|L2L_L2LTECWORKEZE(2853222)REFE:795452_Ges.TECO
EZE1MU|GE1/0/8|up|down|### L2L - UNITED AIRLINES - ref 878820 ###
EZE1MU|GE1/0/8.2|up|up|### L2L - UNITED AIRLINES - ref 878820 - Gestion CPE ###
EZE1MU|GE1/0/8.1230|up|up|### L2L - UNITED AIRLINES - ref 878820 ###
EZE1MU|GE1/0/9|up|down|INTERBAIRES - INTEGRA: REF:887125 - LIN:2861102
EZE1MU|GE1/0/9.9|up|up|### Integra - INTERBAIRES - ref:887125 - Lin:2861102 ###
EZE1MU|GE1/0/10|up|down|INTEGRA - LONGPORT ARGENTINA S.A. - REF.879851 - L.2858289
EZE1MU|GE1/0/10.10|up|up|INTEGRA - LONGPORT ARGENTINA S.A. - REF.879851 - L.2858289
EZE1MU|GE1/0/11|up|down|DDE-IP - INTERCARGO - Ref:891340 Lin 2863170
EZE1MU|GE1/0/11.11|up|up|DDE-IP - INTERCARGO - Ref:891340 Lin 2863170
EZE1MU|GE1/0/12|down|down|gestionTLSTELEPIU_CamarasTeletransito_Ref99054.Ges.TECO
EZE1MU|GE1/0/13|up|down|AA2000 - L2L REF:194977 L:2707118 + INTEGRA R:535456 + INTEGRA R:876006 AEROPUERTO EZEIZA
EZE1MU|GE1/0/13.30|up|up|AA2000 - L2L REF:194977 LIN:2707118 - GESTION
EZE1MU|GE1/0/13.50|up|up|AA2000 - INTEGRA - REF:876006
EZE1MU|GE1/0/13.193|up|up|AA2000 - L2L REF:194977 - BEL1MB ELAN_94355_1138
EZE1MU|GE1/0/13.644|up|up|AA2000 - INTEGRA - REF:535456
EZE1MU|GE1/0/14|up|down|VPN - INTERCARGO SAC - Refe:874425 - Lin:2855336 + Integra Ref:241748
EZE1MU|GE1/0/14.14|up|up|# VPN - INTERCARGO SAC - Refe:874425 - Lin:2855336 #
EZE1MU|GE1/0/14.28|up|up|Integra - INTERCARGO - Ref:241748
EZE1MU|GE1/0/15|up|down|# AEROLINEAS ARG - INTEGRA Refe:795396 + VPN Refe:795395 - LINEA:2853054 #
EZE1MU|GE1/0/15.15|up|up|# INTEGRA - AEROLINEAS ARG - Refe:795396 LINEA:2853054 #
EZE1MU|GE1/0/15.17|up|up|# VPN - AEROLINEAS ARG - Refe:795395 - Lin:2853053 #
EZE1MU|GE1/0/16|up|down|# VPN - INTERCARGO SAC - Refe:874426 - Lin:2855337 #
EZE1MU|GE1/0/16.16|up|up|# VPN - INTERCARGO SAC - Refe:874426 - Lin:2855337 #
EZE1MU|GE1/0/17|up|down|VPN PLATINUM/INTEGRA/VPN PLATINUM - EANA (AER EZEIZA) - REF: 610232/664136/944927 - LINEA: 2781090/2806172 - ACC: EZE1MU 1/0/17
EZE1MU|GE1/0/17.2|up|up|VPN - EANA (AER EZEIZA) - Ref:610232 - Lin:2781090
EZE1MU|GE1/0/17.3|up|up|VPN - EANA (AER EZEIZA) - Ref:610232 - Lin:2781090 - GESTION
EZE1MU|GE1/0/17.4|up|up|INTEGRA - EANA (AER EZEIZA) - Ref:664136 - Lin:2806172
EZE1MU|GE1/0/17.5|up|up|VPN PLATINUM - EMPRESA ARGENTINA DE NAVEGACION AEREA - REF: 944927 - LINEA: 2781090 - ACC: EZE1MU 1/0/17
EZE1MU|GE1/0/18|up|down|### INTEGRA - TERMAP - REF:877899 LINEA:2857231 ###
EZE1MU|GE1/0/18.18|up|up|### INTEGRA - TERMAP - REF:877899 LINEA:2857231 ###
EZE1MU|GE1/0/19|down|down|
EZE1MU|GE1/0/21|up|down|INTEGRA - INTERBAIRES S.A - REF:613335 - LINEA:2783111 EZEIZA
EZE1MU|GE1/0/21.2|up|up|INTEGRA - INTERBAIRES S.A - REF:613335 - LINEA:2783111
EZE1MU|GE1/0/21.3|up|up|INTEGRA - INTERBAIRES S.A - REF:613335 - LINEA:2783111 GESTION
EZE1MU|GE1/0/22|up|down|VPN Platimun REFE 917550 R N Personas
EZE1MU|GE1/0/22.3|up|up|VPN Platimun REFE 917550 R N Personas Linea 2865706
EZE1MU|GE1/0/23|down|down|INTEGRA - JET CARGO - REF: 916148 - LINEA: 2865406 - ACC: -
EZE1MU|GE1/0/23.23|down|down|INTEGRA - JET CARGO - REF: 916148 - LINEA: 2865406 - ACC: -
EZE1MU|GE1/1/0|up|down|INTEGRA - AMERICAN EXPRESS ARGENTINA - REF: 919791
EZE1MU|GE1/1/0.10|up|up|INTEGRA - AMERICAN EXPRESS ARGENTINA - REF: 919791
EZE1MU|GE1/1/1|up|down|AA2000 - L2L REF:618618 L:2785590 + INTEGRA R:255715 + VPN R:278050 + INTEGRA R:232651 EZEIZA
EZE1MU|GE1/1/1.4|up|up|INTEGRA - AA2000 - REF:255715
EZE1MU|GE1/1/1.22|up|up|AA2000 - REF:618618 - LIN:2785590 - GESTION CPE C3400
EZE1MU|GE1/1/1.193|up|up|L2L - AA2000 - REF:618618 - LIN:2785590 - BEL1MB ELAN_94355_1138
EZE1MU|GE1/1/1.260|up|up|AA2000 - L2L REF:618618 - GESTION SW
EZE1MU|GE1/1/1.642|up|up|INTEGRA - AA2000 - REF:232651
EZE1MU|GE1/1/1.643|up|up|VPN PLATINUM - AA2000 - REF:278050 Linea 2707118
EZE1MU|GE1/1/1.645|up|up|L2L - AA2000 - REF:618618 - LIN:2785590 - GESTION
EZE1MU|GE1/1/2|up|down|
EZE1MU|GE1/1/3|up|down|VPN - SENASA - REF:939832 - LIN:2867960
EZE1MU|GE1/1/3.10|up|up|VPN - SENASA - REF:939832 - LIN:2867960
EZE1MU|GE1/1/4|up|down|INTEGRA ANAC Ref:312082 - Lin:2739433
EZE1MU|GE1/1/4.2|up|up|INTEGRA ANAC Ref:312082 - Lin:2739433
EZE1MU|GE1/1/5|up|down|INTEGRA - CROSSRACER TRANSPORT SERVICES SA - REF: 613630 - LINEA: 2783224 - ACC: EZE1MU 1/1/5
EZE1MU|GE1/1/5.2|up|up|INTEGRA - CROSSRACER TRANSPORT SERVICES SA - REF: 613630 - LINEA: 2783224 - ACC: EZE1MU 1/1/5
EZE1MU|GE1/1/5.3|up|up|GESTION - CROSSRACER TRANSPORT SERVICES SA - REF: 613630 - LINEA: 2783224 - ACC: EZE1MU 1/1/5
EZE1MU|GE1/1/6|down|down|INTEGRA - DEHEZA S.A.I.C.F.I - REF: 942621 - LINEA:  - ACC: EZE1MU 1/1/6.2
EZE1MU|GE1/1/6.2|down|down|INTEGRA - DEHEZA S.A.I.C.F.I - REF: 942621 - LINEA:  - ACC: EZE1MU 1/1/6.2
EZE1MU|GE1/1/6.4|down|down|
EZE1MU|GE1/1/7|up|down|INTEGRA - AA2000 - Ref:682289
EZE1MU|GE1/1/7.5|up|up|INTEGRA - AA2000 - Ref:682289
EZE1MU|GE1/1/8|down|down|INTEGRA - STARBUCKS COFFEE ARGENTINA - REF: 938288 - LINEA: 2867626 - ACC: 1/1/8
EZE1MU|GE1/1/8.8|down|down|INTEGRA - STARBUCKS COFFEE ARGENTINA - REF: 938288 - LINEA: 2867626 - ACC: 1/1/8
EZE1MU|GE1/1/9|down|down|INTEGRA - STARBUCKS COFFEE ARG SRL - REF: 938290 - LINEA: 2867619 - ACC: EZE1MU 1/1/9
EZE1MU|GE1/1/9.9|down|down|INTEGRA - STARBUCKS COFFEE ARG SRL - REF: 938290 - LINEA: 2867619 - ACC: EZE1MU 1/1/9
EZE1MU|GE1/1/10|down|down|
EZE1MU|GE1/1/11|up|down|VPN - DNM - ref 606924 - linea 2778452
EZE1MU|GE1/1/11.2|up|up|VPN - DNM - ref 606924 - linea 2778452
EZE1MU|GE1/1/12|down|down|
EZE1MU|GE1/1/13|down|down|LANEXT - CENTURYLINK ARGENTINA S.A - REF: 948684 - LINEA: 2870045 - VPLS: ELAN_93004_948684
