shelfname|interface|portoperationalstate|protocol|info1
FSH3MU|100GE4/1/0|up|up|Enlace 100G FO RSC1NA_G0/16/0/7 Linea:11004616 - UPLINK NA
FSH3MU|100GE5/1/0|up|up|Enlace 100G FO IRD1NA_G0/2/0/3 Linea:11004615 - UPLINK NA
FSH3MU|Eth-Trunk4|up|down|LAG 1+1 BGSG01 9003444
FSH3MU|Eth-Trunk4.3|up|up|[RTP]  BGSG01 UA5000 [NGN]
FSH3MU|Eth-Trunk4.4|up|up|[GESTION][IPMB] BGSG01 UA5000 [NGN]
FSH3MU|Eth-Trunk4.5|up|up|[GESTION][PVM] BGSG01 UA5000 [NGN]
FSH3MU|Eth-Trunk4.3101|up|up|[TOIP] BGSG01 HUA 5000 [ADS2]
FSH3MU|Eth-Trunk4.3808|up|up|IntLight - FGC FUELS MARKETING SA - Ref:723086 - Lin:2827364 - Acc:BGSG01 0-16-00/01
FSH3MU|Eth-Trunk4.3812|up|up|Integra Light_GIOVAGNOLI_Ref:262599 Lin:2719596 Acc:BGSG01 0/16/004-005
FSH3MU|Eth-Trunk4.3814|up|up|IntegraLight - ITALPREN DE PUGLIESE HNOS S.R.L. - Ref:610323 - Lin:2781173 Acc:BGSG01D SHDSL-0-16-006
FSH3MU|Eth-Trunk4.3820|up|up|Integra Light - DELLA DONNA SRL - Ref:295191 Lin:2733891 Acc:BGSG01 0/16/12-13
FSH3MU|Eth-Trunk4.4101|up|up|[DATOS] BGSG01 HUA 5000 [ADS2][L3]
FSH3MU|Eth-Trunk12|up|down|LAG 1+1 FSHE1D L  11003388
FSH3MU|Eth-Trunk12.2101|up|up|[GESTION] FSHE1D HUA 5600 [ADS2]
FSH3MU|Eth-Trunk12.3101|up|down|[TOIP] FSHE1D HUA 5600 [ADS2]
FSH3MU|Eth-Trunk12.4101|up|up|[DATOS] FSHE1D HUA 5600 [ADS2][L2]
FSH3MU|Eth-Trunk14|up|down|LAG 1+1 FSHN1D L  11004022
FSH3MU|Eth-Trunk14.2101|up|up|[GESTION] FSHN1D HUA 5600 [ADS2]
FSH3MU|Eth-Trunk14.3101|up|up|[TOIP] FSHN1D HUA 5600 [ADS2]
FSH3MU|Eth-Trunk14.4101|up|up|[DATOS] FSHN1D HUA 5600 [ADS2][L2]
FSH3MU|Eth-Trunk15|up|down|LAG 1+1 NGN BGKG01 L
FSH3MU|Eth-Trunk15.3|up|up|[RTP][SIGN] BGKG01 HUA 5000 [NGN]
FSH3MU|Eth-Trunk15.4|up|up|[GESTION][IPMB] BGKG01 HUA 5000 [NGN]
FSH3MU|Eth-Trunk15.5|up|up|[GESTION][PVM] BGKG01 HUA 5000 [NGN]
FSH3MU|Eth-Trunk15.4101|up|up|[DATOS] BGKG01 HUA 5000 [ADS2][L2]
