shelfname|interface|portoperationalstate|protocol|info1
GLY2MU|Eth-Trunk1|down|down|LAG 35GLY01_G8/1-11/1
GLY2MU|Eth-Trunk1.4056|down|down|
GLY2MU|Eth-Trunk20|up|down|LAG 1+1 GLY61D
GLY2MU|Eth-Trunk20.1|up|up|LAG 1+1 HSI GLY61D - IRD1MB
GLY2MU|Eth-Trunk21|up|down|LAG 1+1 GLY51D
GLY2MU|Eth-Trunk21.1|up|up|LAG 1+1 HSI GLY51D - IRD2MB
GLY2MU|Eth-Trunk22|up|down|LAG 1+1 GLY71D
GLY2MU|Eth-Trunk22.1|up|up|LAG 1+1 HSI GLY71D - IRD1MB
GLY2MU|Eth-Trunk23|up|up|ENLACE:ROA1.GGY1 (Ge-6/0/6)
GLY2MU|GE0/0/0|down|down|
GLY2MU|GE1/0/0(10G)|up|down|Enlace 10G PTN GYU3MU_Eth-Trunk8 Linea:80002085 UPLINK AGN 35GLY01_G8/1
GLY2MU|GE1/0/0.4056(10G)|up|up|GYU3MU_Eth-Trunk8.4056
GLY2MU|GE1/0/1(10G)|up|down|VPN_VPNCABLEVIGLY(2799294)REFE:653086_Ges.Cliente
GLY2MU|GE1/0/1.3000(10G)|up|up|MULTICAST (FULL IP)
GLY2MU|GE1/0/1.3339(10G)|up|up|VPN_VPNCABLEVIGLY(2799294)REFE:653086_Ges.Cliente
GLY2MU|GE1/0/1.3357(10G)|up|up|Frontera TOIP GUALEGUAY - CABLEVISION
GLY2MU|GE1/1/1|up|down|
GLY2MU|GE1/1/2|up|down|ACCESO GLY41D - LINEA 11000004
GLY2MU|GE1/1/2.4|up|up|HSI GLY41D - IRD1MB
GLY2MU|GE1/1/3|up|down|ACCESO GLYM01 - LINEA 11001709
GLY2MU|GE1/1/3.5|up|up|HSI GLYM01 - IRD1MB
GLY2MU|GE1/1/3.16|up|up|VDSLCORP GLYM01 - IRD1MB
GLY2MU|GE1/1/4|up|down|ACCESO NGN  ZTE GUALEGUAYCHU-GLYG01-L:9704077
GLY2MU|GE1/1/4.2|up|up|[SIGN] GLYG01 ZTE 5200 [NGN]
GLY2MU|GE1/1/4.3|up|up|[RTP] GLYG01 ZTE 5200 [NGN]
GLY2MU|GE1/1/4.4|up|up|[GESTION] GLYG01 ZTE 5200 [NGN]
GLY2MU|GE1/1/5|up|down|NGN - UA5000 GU5G01 BARRIO 51 VIVIENDAS GUALEGUAY L11000537
GLY2MU|GE1/1/5.3|up|up|[RTP][SIGN] GU5G01 HUA 5000 [NGN]
GLY2MU|GE1/1/5.4|up|up|[GESTION][IPMB] GU5G01 HUA 5000 [NGN]
GLY2MU|GE1/1/5.5|up|up|[GESTION][PVM] GU5G01 HUA 5000 [NGN]
GLY2MU|GE1/1/5.100559|up|up|HSI GU5G01 - IRD1MB
GLY2MU|GE1/1/6|down|down|
GLY2MU|GE1/1/7|down|down|VPN-INTEGRA - FONDO FIDUCIARIO - REF:280398 - LIN:2730112
GLY2MU|GE1/1/7.2|down|down|VPN-INTEGRA - FONDO FIDUCIARIO - REF:280398 - LIN:2730112
GLY2MU|GE1/1/8|up|down|LAN EXTENSION - TELEFONICA MOVILES ARG. S.A. - Ref.332499
GLY2MU|GE1/1/8.3700|up|up|LAN EXTENSION - TELEFONICA MOVILES ARG. S.A. - Ref.332499
GLY2MU|GE1/1/9|up|up|VPN-ERICCSON GLY9-Lin.11100011-IRD1MB-Gestores
GLY2MU|GE1/1/10|up|down|TIP - PIAGGIO ANGEL PABLO - REFE:643851(2793748)_Ges.TECO
GLY2MU|GE1/1/10.2|up|up|TIP - PIAGGIO ANGEL PABLO - REFE:643851(2793748)_Gestion
GLY2MU|GE1/1/10.3|up|up|TIP - PIAGGIO ANGEL PABLO - REFE:643851(2793748)_Servicio
GLY2MU|GE1/1/11|up|down|ACCESO GLY31D - LINEA 9702578
GLY2MU|GE1/1/11.107|up|up|HSI GLY31D - IRD1MB
GLY2MU|GE1/1/11.3616|up|up|VPN Branch Office - PROYECTOS SRL - Ref:597470 Lin:2775482 Acc:GLY31D 0/15/0
GLY2MU|GE1/1/11.3618|up|up|VPN GOLD 2M BBVA BANCO FRANCES referencia 554985 GLY31D
GLY2MU|GE1/1/11.3620|up|up|VPN GOLD 3M BBVA BANCO FRANCES referencia 554972 GLY31D
GLY2MU|GE1/1/11.3622|up|up|VPN GOLD-I.A.F.A.S. PROV.DE ENTRE RIOS-REF:243121-LINEA:2711323- GLY31D 0/14/13
GLY2MU|GE1/1/11.3626|up|up|VPN Gold 2M - I.A.P.S.E.R - Ref:655471 - Lin:2803689 - Acc:GLY31D 0/15/10-11
GLY2MU|GE1/1/11.3628|up|up|VPN Head Quarter - ANSES - Ref:229415 Lin:2706623 Acc:GLY31D 0/15/12-13
GLY2MU|GE1/1/11.3636|up|up|### VPN Head Quarter - NUEVO BANCO DE ENTRE RIOS S.A. - Ref:88965 - Lin:2714899- Acc:GLY31D 15/20-21 ###
GLY2MU|GE1/1/11.3638|up|up|ENERGIA ERSA GLY31D
GLY2MU|GE1/1/11.3640|up|up|### VPN Head Quarter - CONMEGA A.C.E. - Ref:215066 - Lin:2723524 - Acc:GLY31D 15/24-25 ###
GLY2MU|GE1/1/11.3648|up|up|REF:602440 - COL. DE ESCRIBANOS DE ENTRE RIOS - GLY31D 14-0
GLY2MU|GE1/1/11.3649|up|up|VPN GOLD AFIP ## Ref: 163246 Lin: 2594547 Acc: GLY31D 0/14/1
