shelfname|interface|portoperationalstate|protocol|info1
INR1MU|Eth0/0/0|up|up|HUAWEI, Ethernet0/0/0 Interface
INR1MU|GE0/1/0|up|down|CONEXION A 1NINR01_11/2 MJU2MU Gi3/1/10 - Linea.70001443
INR1MU|GE0/1/0.1201|up|up|UPLINK A MJU2MU Gi3/1/10.1201 1NINR01_11 - DCN-GESTION
INR1MU|GE0/1/0.1202|up|up|UPLINK A MJU2MU Gi3/1/10.1202 1NINR01_11 - 2G
INR1MU|GE0/1/0.1203|up|up|UPLINK A MJU2MU Gi3/1/10.1203 1NINR01_11 - 3G
INR1MU|GE0/1/0.1204|up|up|UPLINK A MJU2MU Gi3/1/10.1204 1NINR01_11 - S1
INR1MU|GE0/1/0.1205|up|up|UPLINK A MJU2MU Gi3/1/10.1205 1NINR01_11 - S1MME
INR1MU|GE0/1/0.1206|up|up|UPLINK A MJU2MU Gi3/1/10.1206 1NINR01_11 - GOMRAN
INR1MU|GE0/1/0.1207|up|up|UPLINK A MJU2MU Gi3/1/10.1207 1NINR01_11 - NGN
INR1MU|GE0/1/0.1208|up|up|UPLINK A MJU2MU Gi3/1/10.1208 1NINR01_11 - POPUSA
INR1MU|GE0/1/0.1209|up|up|UPLINK A MJU2MU Gi3/1/10.1209 1NINR01_11 - SDH HUAWEI
INR1MU|GE0/1/0.1210|up|up|ATN950 INRIVILLE Linea 70001443 -MJU2MU Gi3/1/10.1210
INR1MU|GE0/1/1|up|down|eNODOB INRIVILLE - A02-S007 (756102) NODOB (756103) (756104)
INR1MU|GE0/1/1.1000|up|up|eNODOB - INRIVILLE - A02-S007 - (1) (756102) - S1
INR1MU|GE0/1/1.1001|up|up|eNODOB - INRIVILLE - A02-S007 - (2) (756102) - S1MME
INR1MU|GE0/1/1.1002|up|up|eNODOB - INRIVILLE - A02-S007 - (3) (756102) - GOMRAN
INR1MU|GE0/1/1.1003|up|up|NODOB - INRIVILLE - A02-S007 - (1) (756103) - 3G
INR1MU|GE0/1/1.1004|up|up|NODOB - INRIVILLE - A02-S007- (1)(756104) - 2G
INR1MU|GE0/1/2|up|down|FRONTERA REIP 1WINR02_6/1
INR1MU|GE0/1/2.1000|up|up|eNODOB - MONTE_BUEY - INR1MU 0/1/2 - A02-S053 - (1) (756239) - S1
INR1MU|GE0/1/2.1001|up|up|eNODOB - MONTE_BUEY - INR1MU 0/1/2 - A02-S053 - (2) (756239) - S1MME
INR1MU|GE0/1/2.1002|up|up|eNODOB - MONTE_BUEY - INR1MU 0/1/2 - A02-S053 - (3) (756239) - GOMRAN
INR1MU|GE0/1/2.1003|up|up|NODOB - MONTE_BUEY - INR1MU 0/1/2- A02-S053 - (1) (756240) - 3G
INR1MU|GE0/1/2.1004|up|up|NODOB - MONTE_BUEY - INR1MU 0/1/2- A02-S053 - (1) (756241) - 2G
INR1MU|GE0/1/3|down|down|HUAWEI, GigabitEthernet0/1/3 Interface
INR1MU|GE0/1/4|down|down|HUAWEI, GigabitEthernet0/1/4 Interface
INR1MU|GE0/1/5|down|down|HUAWEI, GigabitEthernet0/1/5 Interface
INR1MU|GE0/1/6|up|down|ACCESO ADSL + G. A INR11D - Linea13000022
INR1MU|GE0/1/6.1|up|up|HSI INR11D - RSC2MB
INR1MU|GE0/1/7|down|down|HUAWEI, GigabitEthernet0/1/7 Interface
INR1MU|GE0/2/0|down|down|HUAWEI, GigabitEthernet0/2/0 Interface
INR1MU|GE0/2/1|down|down|HUAWEI, GigabitEthernet0/2/1 Interface
INR1MU|GE0/2/2|down|down|HUAWEI, GigabitEthernet0/2/2 Interface
INR1MU|GE0/2/3|down|down|HUAWEI, GigabitEthernet0/2/3 Interface
INR1MU|GE0/2/4|down|down|HUAWEI, GigabitEthernet0/2/4 Interface
INR1MU|GE0/2/5|down|down|HUAWEI, GigabitEthernet0/2/5 Interface
INR1MU|GE0/2/6|down|down|HUAWEI, GigabitEthernet0/2/6 Interface
INR1MU|GE0/2/7|down|down|HUAWEI, GigabitEthernet0/2/7 Interface
INR1MU|GE0/3/0|down|down|HUAWEI, GigabitEthernet0/3/0 Interface
INR1MU|GE0/3/1|down|down|HUAWEI, GigabitEthernet0/3/1 Interface
INR1MU|GE0/3/2|down|down|HUAWEI, GigabitEthernet0/3/2 Interface
INR1MU|GE0/3/3|down|down|HUAWEI, GigabitEthernet0/3/3 Interface


